All For Love	Bryan Adams/Rod Stewart/Sting
Hero	Mariah Carey
Breathe Again	Toni Braxton
Again	Janet Jackson
All That She Wants	Ace Of Base
Said I Loved You...But I Lied	Michael Bolton
Please Forgive Me	Bryan Adams
Shoop	Salt-N-Pepa
Can We Talk	Tevin Campbell
The Power Of Love	Celine Dion
Gangsta Lean	DRS
Linger	The Cranberries
Getto Jam	Domino
Because The Night	10,000 Maniacs
What's My Name?	Snoop Dogg
Whoomp! (There It Is)	Tag Team
Mr. Vain	Culture Beat
Never Keeping Secrets	Babyface
Understanding	Xscape
I Can See Clearly Now (From "Cool Runnings")	Jimmy Cliff
Keep Ya Head Up	2Pac
I'd Do Anything For Love (But I Won't Do That)	Meat Loaf
Cry For You	Jodeci
Amazing	Aerosmith
U.N.I.T.Y.	Queen Latifah
Dreams	Gabrielle
Jessie	Joshua Kadison
Just Kickin' It	Xscape
The Sign	Ace Of Base
What Is Love	Haddaway
Found Out About You	Gin Blossoms
Dreamlover	Mariah Carey
Choose	Color Me Badd
All About Soul	Billy Joel
Never Should've Let You Go (From "Sister Act 2")	Hi-Five
Hey Mr. D.J.	Zhane
So Much In Love	All-4-One
Cantaloop (Flip Fantasia)	US3
Miss You In A Heartbeat	Def Leppard
The River Of Dreams	Billy Joel
Sex Me (Parts I & II)	R. Kelly
Life (Everybody Needs Somebody To Love)	Haddaway
Slow And Easy	Zapp & Roger
No Rain	Blind Melon
Come Baby Come	K7
Time And Chance	Color Me Badd
Cryin'	Aerosmith
Sweat (A La La La La Long)	Inner Circle
If	Janet Jackson
Having A Party	Rod Stewart
Will You Be There (In The Morning)	Heart
Higher Ground	UB40
Award Tour	A Tribe Called Quest
Goody Goody	Lisette Melendez
I'm In The Mood	CeCe Peniston
Groove Thang	Zhane
Now And Forever	Richard Marx
Always On My Mind	SWV
(I Know I Got) Skillz	Shaquille O'Neal
Stay	Eternal
Stay (Faraway, So Close!)	U2
Wild World	Mr. Big
Anniversary	Tony Toni Tone
Cannonball	The Breeders
Mary Jane's Last Dance	Tom Petty And The Heartbreakers
I'll Be Loving You	Collage
Two Steps Behind (From "Last Action Hero")	Def Leppard
(Lay Your Head On My) Pillow	Tony Toni Tone
Whatta Man	Salt-N-Pepa Featuring En Vogue
Real Muthaphuckkin G's	Eazy-E
Funk Dat/Why Is It?	Sagat
Yours	Shai
Both Sides Of The Story	Phil Collins
Betcha'll Never Find	Chantay Savage
Dirty Dawg	NKOTB
Give It Up	The Goodmen
I Love Music (From "Carlito's Way")	Rozalla
You Don't Have To Worry	Mary J. Blige
True Love	Elton John & Kiki Dee
We Ain't Goin' Out Like That	Cypress Hill
Sentimental	Kenny G
Dunkie Butt (Please Please Please)	12 Gauge
U Send Me Swingin'	Mint Condition
I'm In Love	Lisa Keith
John Deere Green	Joe Diffie
God Blessed Texas	Little Texas
Let It Snow	Boyz II Men Featuring Brian McKnight
Into Your Arms	The Lemonheads
Freakit	Das EFX
Fast As You	Dwight Yoakam
Indo Smoke (From "Poetic Justice")	Mista Grimm
Everybody Hurts	R.E.M.
Rubberband Girl	Kate Bush
One On One	To Be Continued...
Let Me Ride	Dr. Dre
Looking For Mr. Do Right	Jade
I Never Knew Love	Doug Stone
The Song Remembers When	Trisha Yearwood
Here Come The Lords	Lords Of The Underground
Really Doe	Ice Cube
