Bump N' Grind	R. Kelly
The Sign	Ace Of Base
The Most Beautiful Girl In The World	Prince
Without You/Never Forget You	Mariah Carey
Mmm Mmm Mmm Mmm	Crash Test Dummies
The Power Of Love	Celine Dion
So Much In Love	All-4-One
Now And Forever	Richard Marx
Return To Innocence	Enigma
Loser	Beck
Baby I Love Your Way (From "Reality Bites")	Big Mountain
I'll Remember (From "With Honors")	Madonna
I'm Ready	Tevin Campbell
Streets Of Philadelphia (From "Philadelphia")	Bruce Springsteen
Whatta Man	Salt-N-Pepa Featuring En Vogue
Gin And Juice	Snoop Doggy Dogg
You Mean The World To Me	Toni Braxton
Cantaloop (Flip Fantasia)	US3
Because Of Love	Janet Jackson
Indian Outlaw	Tim McGraw
Breathe Again	Toni Braxton
And Our Feelings	Babyface
Love Sneakin' Up On You	Bonnie Raitt
Born To Roll	Masta Ace Incorporated
Anything (From "Above The Rim")	SWV
Got Me Waiting	Heavy D & The Boyz
Mary Jane's Last Dance	Tom Petty And The Heartbreakers
Groove Thang	Zhane
Feenin'	Jodeci
All That She Wants	Ace Of Base
Dunkie Butt (Please Please Please)	12 Gauge
Completely	Michael Bolton
Because The Night	10,000 Maniacs
I'll Take You There (From "Threesome")	General Public
Please Forgive Me	Bryan Adams
You Know How We Do It	Ice Cube
Everyday	Phil Collins
Rock And Roll Dreams Come Through	Meat Loaf
I Swear	All-4-One
Player's Ball	OutKast
Sweet Potatoe Pie	Domino
Pumps And A Bump	M.C. Hammer
Found Out About You	Gin Blossoms
I Want You	Juliet Roberts
Hero	Mariah Carey
Regulate (From "Above The Rim")	Warren G & Nate Dogg
The More You Ignore Me, The Closer I Get	Morrissey
Come To My Window	Melissa Etheridge
Stay	Eternal
Dreams	The Cranberries
Dream On Dreamer	The Brand New Heavies
How Do You Like It?	Keith Sweat
Beautiful In My Eyes	Joshua Kadison
Somethin' To Ride To (Fonky Expedition)	The Conscious Daughters
Hey D.J. (From "Mi Vida Loca")	Lighter Shade Of Brown
Back & Forth	Aaliyah
Neon Moonlight	Rosco Martinez
Comin' On Strong	Sudden Change
I'm In The Mood	CeCe Peniston
C.R.E.A.M. (Cash Rules Everything Around Me)	Wu-Tang Clan
Mother	Danzig
It's All Good	M.C. Hammer
Having A Party	Rod Stewart
Understanding	Xscape
Misled	Celine Dion
You Don't Love Me (No, No, No)	Dawn Penn
Love On My Mind	Xscape
Just Another Day	Queen Latifah
I Swear	John Michael Montgomery
Electric Relaxation (Relax Yourself Girl)	A Tribe Called Quest
Leaving Las Vegas	Sheryl Crow
Play My Funk (From "Sugar Hill")	Simple E
U Send Me Swingin'	Mint Condition
Part Time Lover/I'm Still In Love With You	H-Town/Al B. Sure!
I Wish	Gabrielle
Low	Cracker
Mass Appeal	Gang Starr
Lullabye (Goodnight, My Angel)	Billy Joel
I'm Outstanding	Shaquille O'Neal
Always	Erasure
The Right Time (From "Four Weddings And A Funeral")	I To I
Zunga Zeng	K7
Choose	Color Me Badd
In Walked Love	Expose
You	Candlebox
El Trago (The Drink)	2 In A Room
Laid	James
Worker Man	Patra
Bizarre Love Triangle	FRENTE!
Gonna Love You Right (From "Sugar Hill")	After 7
It Ain't Hard To Tell	Nas
God	Tori Amos
I've Been Thinking About You	Jocelyn Enriquez
No Doubt About It	Neal McCoy
My Love	Little Texas
Regular Thang	Ovis
My Sharona (From "Reality Bites")	The Knack
Always On My Mind	SWV
Since I Don't Have You	Guns N' Roses
I Got Cha Opin	Black Moon
