I Swear	All-4-One
Regulate (From "Above The Rim")	Warren G & Nate Dogg
Any Time, Any Place/And On And On	Janet Jackson
Stay (I Missed You) (From "Reality Bites")	Lisa Loeb & Nine Stories
Don't Turn Around	Ace Of Base
Back & Forth	Aaliyah
Fantastic Voyage	Coolio
Can You Feel The Love Tonight (From "The Lion King")	Elton John
Funkdafied	Da Brat
If You Go	Jon Secada
I'll Remember (From "With Honors")	Madonna
You Mean The World To Me	Toni Braxton
Wild Night	John Mellencamp With Me'Shell Ndegeocello
Anytime You Need A Friend	Mariah Carey
Shine	Collective Soul
Your Body's Callin'	R. Kelly
I Miss You	Aaron Hall
Baby I Love Your Way (From "Reality Bites")	Big Mountain
The Sign	Ace Of Base
Crazy	Aerosmith
The Most Beautiful Girl In The World	Prince
Always	Erasure
Return To Innocence	Enigma
Don't Take The Girl	Tim McGraw
Beautiful In My Eyes	Joshua Kadison
Willing To Forgive	Aretha Franklin
Always In My Heart	Tevin Campbell
Back In The Day	Ahmad
Prayer For The Dying	Seal
Come To My Window	Melissa Etheridge
Anything (From "Above The Rim")	SWV
When Can I See You	Babyface
I'm Ready	Tevin Campbell
The Place Where You Belong (From "Beverly Hills Cop III")	Shai
100% Pure Love	Crystal Waters
Misled	Celine Dion
Fall Down	Toad The Wet Sprocket
I'll Take You There (From "Threesome")	General Public
Got Me Waiting	Heavy D & The Boyz
Bump N' Grind	R. Kelly
Whatta Man	Salt-N-Pepa Featuring En Vogue
The Way She Loves Me	Richard Marx
Moving On Up	M People
I'm Not Over You	CeCe Peniston
Selling The Drama	Live
Now And Forever	Richard Marx
Sending My Love	Zhane
Sweet Potatoe Pie	Domino
Pumps And A Bump	M.C. Hammer
Backwater	Meat Puppets
I Need Your Love	Boston
Booti Call	BLACKstreet
Funky Y-2-C	The Puppies
Sleeping In My Car	Roxette
I'll Remember You	Atlantic Starr
Love Sneakin' Up On You	Bonnie Raitt
Maybe Love Will Change Your Mind	Stevie Nicks
What's Up	DJ Miko
Old To The New	Nice & Smooth
Ease My Mind	Arrested Development
Thinkin' Problem	David Ball
Worker Man	Patra
Dreams	The Cranberries
Tootsee Roll	69 Boyz
The Right Kinda Lover	Patti LaBelle
Closer	Nine Inch Nails
Crooklyn (From "Crooklyn")	The Crooklyn Dodgers
Bizarre Love Triangle	FRENTE!
Love On My Mind	Xscape
How Do You Like It?	Keith Sweat
Part Time Lover/I'm Still In Love With You	H-Town/Al B. Sure!
It's Over Now	Cause And Effect
I Wish	Gabrielle
Afternoons & Coffeespoons	Crash Test Dummies
(She's) Some Kind Of Wonderful	Huey Lewis & The News
Girls & Boys	Blur
Your Love Is So Divine	Miranda
You Let Your Heart Go Too Fast	Spin Doctors
Nuttin' But Love	Heavy D & The Boyz
And Our Feelings	Babyface
Born To Roll	Masta Ace Incorporated
Objects In The Rear View Mirror May Appear Closer Than...	Meat Loaf
Take It Back	Pink Floyd
90's Girl	Blackgirl
Diary Of A Madman	Gravediggaz
You Better Wait	Steve Perry
Possession	Sarah McLachlan
Southernplayalisticadillacmuzik	OutKast
Nappy Heads	Fugees
Regular Thang	Ovis
Wink	Neal McCoy
Love Is All Around	Wet Wet Wet
Give It Up	Public Enemy
Captain Save A Hoe	E-40
Feenin'	Jodeci
You	Candlebox
Tell Me Where It Hurts	Kathy Troccoli
Whenever You Come Around	Vince Gill
Indian Outlaw	Tim McGraw
Warrior's Drum	King Just
