Creep	TLC
On Bended Knee	Boyz II Men
Another Night	Real McCoy
Take A Bow	Madonna
Baby	Brandy
You Gotta Be	Des'ree
Always	Bon Jovi
Sukiyaki	4PM
Before I Let You Go	BLACKstreet
I'm The Only One	Melissa Etheridge
Hold My Hand	Hootie & The Blowfish
The Rhythm Of The Night	Corona
Here Comes The Hotstepper (From "Ready To Wear")	Ini Kamoze
Candy Rain	Soul For Real
You Don't Know How It Feels	Tom Petty
If You Love Me	Brownstone
Constantly	Immature
The Sweetest Days	Vanessa Williams
Strong Enough	Sheryl Crow
I Wanna Be Down	Brandy
Every Day Of The Week	Jade
Bang And Blame	R.E.M.
I'll Make Love To You	Boyz II Men
You Want This/70's Love Groove	Janet Jackson
Big Poppa/Warning	The Notorious B.I.G.
Tootsee Roll	69 Boyz
Short Dick Man	20 Fingers Featuring Gillette
I Miss You	N2U
Mental Picture	Jon Secada
I'll Stand By You	Pretenders
All I Wanna Do	Sheryl Crow
In The House Of Stone And Light	Martin Page
100% Pure Love	Crystal Waters
Turn The Beat Around (From "The Specialist")	Gloria Estefan
I Know	Dionne Farris
Secret	Madonna
I Belong To You/How Many Ways	Toni Braxton
Mishale	Andru Donalds
Practice What You Preach	Barry White
Foolin' Around	Changing Faces
Wild Night	John Mellencamp With Me'Shell Ndegeocello
New Age Girl (From "Dumb And Dumber")	Deadeye Dick
House Of Love	Amy Grant With Vince Gill
When Can I See You	Babyface
Get Down	Craig Mack
Get Ready For This	2 Unlimited
Everlasting Love	Gloria Estefan
December 1963 (Oh, What A Night)	The 4 Seasons
Be Happy	Mary J. Blige
Playaz Club	Rappin' 4-Tay
Kitty Kitty	69 Boyz
This Lil' Game We Play	Subway (Featuring 702)
Whutcha Want?	Nine
Freak Like Me	Adina Howard
Bad Reputation	Freedy Johnston
Bring The Pain	Method Man
Tour	Capleton
I Never Seen A Man Cry (aka I Seen A Man Die)	Scarface
Hold On	Jamie Walters
Shame (From "A Low Down Dirty Shame")	Zhane
When We Dance	Sting
Sour Times (Nobody Loves Me)	Portishead
Always And Forever	Luther Vandross
Mad Izm	Channel Live
Pimp Of The Year	Dru Down
Promise Me	Lil Suzy
Living In Danger	Ace Of Base
She Don't Use Jelly	The Flaming Lips
Nika	Vicious
Whiney, Whiney (From "Dumb And Dumber")	Willi One Blood
(She's Got) Skillz	All-4-One
Dreamer	Livin' Joy
Do You See	Warren G
I Apologize	Anita Baker
Breakdown	Fu-Schnickens
Dream About You/Funky Melody	Stevie B
Cocktales	Too $hort
(I Could Only) Whisper Your Name	Harry Connick, Jr.
Age Ain't Nothing But A Number	Aaliyah
Doll Parts	Hole
Take You There	Pete Rock & C.L. Smooth
Something's Always Wrong	Toad The Wet Sprocket
Woman To Woman	Jewell
Dance Naked	John Mellencamp
Supa Star	Group Home
Fat Boy	Max-A-Million
U Will Know (From "Jason's Lyric")	B.M.U. (Black Men United)
I Can Go Deep (From "A Low Down Dirty Shame")	Silk
Rodeo	95 South
Where I Wanna Be Boy	Missjones
Sympathy For The Devil ("Interview With The Vampire")	Guns N' Roses
Move It Like This	K7
Till You Love Me	Reba McEntire
The Most Beautifullest Thing In This World	Keith Murray
That's Just What You Are	Aimee Mann
Fa All Y'all	Da Brat
Don't Say Goodbye Girl	Tevin Campbell
Blind Man	Aerosmith
Black Coffee	Heavy D & The Boyz
Redneck Stomp	Jeff Foxworthy
