Fantasy	Mariah Carey
Gangsta's Paradise (From "Dangerous Minds")	Coolio Featuring L.V.
Runaway	Janet Jackson
Kiss From A Rose	Seal
Tell Me	Groove Theory
As I Lay Me Down	Sophie B. Hawkins
Back For Good	Take That
Only Wanna Be With You	Hootie & The Blowfish
Who Can I Run To	Xscape
Name	Goo Goo Dolls
Roll To Me	Del Amitri
Carnival	Natalie Merchant
You Are Not Alone	Michael Jackson
Brokenhearted	Brandy
I'd Lie For You (And That's The Truth)	Meat Loaf
I Can Love You Like That	All-4-One
Run-Around	Blues Traveler
Do You Sleep?	Lisa Loeb & Nine Stories
Before You Walk Out Of My Life/Like This And Like That	Monica
Waterfalls	TLC
Breakfast At Tiffany's	Deep Blue Something
December	Collective Soul
Dreaming Of You	Selena
I Got 5 On It	Luniz
Pretty Girl	Jon B
I'll Be There For You/This House Is Not A Home	The Rembrandts
Sentimental	Deborah Cox
Bullet With Butterfly Wings	The Smashing Pumpkins
Let Me Be The One	Blessid Union Of Souls
Beautiful Life	Ace Of Base
Boombastic/In The Summertime	Shaggy
A Girl Like You (From "Empire Records")	Edwyn Collins
Comedown	Bush
Colors Of The Wind (From "Pocahontas")	Vanessa Williams
Anything	3T
'Til You Do Me Right	After 7
Don't Take It Personal (Just One Of Dem Days)	Monica
Ain't Nuthin' But A She Thing	Salt-N-Pepa
He's Mine	MoKenStef
Missing	Everything But The Girl
Sugar Hill	AZ
Incarcerated Scarfaces/Ice Cream	Raekwon
Someone To Love	Jon B. Featuring Babyface
Cell Therapy	Goodie Mob
Macarena (Bayside Boys Mix)	Los Del Rio
Set U Free	Planet Soul
1st Of Tha Month	Bone Thugs-N-Harmony
Liquid Swords	Genius/GZA
I Wanna B With U	Fun Factory
I Like It, I Love It	Tim McGraw
Danger	Blahzay Blahzay
Automatic Lover (Call For Love)	Real McCoy
Heaven	Solo
Summertime In The LBC (From "The Show")	The Dove Shack
Come With Me	Shai
The Riddler (From "Batman Forever")	Method Man
Hook	Blues Traveler
Feel The Funk (From "Dangerous Minds")	Immature
How High (From "The Show")	Redman/Method Man
Love U 4 Life	Jodeci
Throw Your Set In The Air	Cypress Hill
Time	Hootie & The Blowfish
Hurricane	The Click
Runnin'	The Pharcyde
Good	Better Than Ezra
Can I Touch You...There?	Michael Bolton
I Hate U	Prince
A Mover La Colita	Artie The 1 Man Party
Blessed	Elton John
Hooked On You	Silk
Magic Carpet Ride	The Mighty Dub Katz
Runaway	The Corrs
Where Ever You Are	Terry Ellis
I Miss You (Come Back Home) (From "New York Undercover")	Monifah
Player's Anthem	Junior M.A.F.I.A.
Solitude	Edwin McCain
Already Missing You	Gerald Levert & Eddie Levert, Sr.
Vibin'	Boyz II Men
Wings Of The Morning	Capleton
Brown Sugar	D'Angelo
Sexual Healing	Max-A-Million
We've Got It Goin' On	Backstreet Boys
You Used To Love Me	Faith Evans
Boom Boom Boom	The Outhere Brothers
Be My Lover	La Bouche
Forever Tonight	Peter Cetera & Crystal Bernard
Cruisin'	D'Angelo
East Side Rendezvous	Frost
Somethin' 4 Da Honeyz	Montell Jordan
Real Hip Hop	Das EFX
Bomdigi	Erick Sermon
MC's Act Like They Don't Know	KRS-One
Last Dayz	Onyx
I Will Remember You (Live)	Sarah McLachlan
West Up!	WC & The Maad Circle
Downtown Venus	P.M. Dawn
Molly (Sixteen Candles)	Sponge
Scatman (Ski-Ba-Bop-Ba-Dop-Bop)	Scatman John
(If You're Not In It For Love) I'm Outta Here!/The Woman In Me	Shania Twain
Jeeps, Lex Coups, Bimaz & Benz	Lost Boyz
