No Diggity	BLACKstreet (Featuring Dr. Dre)
It's All Coming Back To Me Now	Celine Dion
Un-Break My Heart	Toni Braxton
Macarena (Bayside Boys Mix)	Los Del Rio
I Love You Always Forever	Donna Lewis
Mouth	Merril Bainbridge
Nobody	Keith Sweat Featuring Athena Cage
Pony	Ginuwine
Where Do You Go	No Mercy
This Is For The Lover In You	Babyface Featuring LL Cool J, Howard Hewett, Jody Watley & Jeffrey Daniels
If It Makes You Happy	Sheryl Crow
Twisted	Keith Sweat
When You Love A Woman	Journey
I'm Still In Love With You	New Edition
Last Night (From "The Nutty Professor")	Az Yet
Change The World	Eric Clapton
Don't Let Go (Love)	En Vogue
Tell Me (From "Eddie")	Dru Hill
C'mon N' Ride It (The Train)	Quad City DJ's
Key West Intermezzo (I Saw You First)	John Mellencamp
You're Makin' Me High/Let It Flow	Toni Braxton
You Must Love Me (From "Evita")	Madonna
If Your Girl Only Knew	Aaliyah
What Kind Of Man Would I Be	Mint Condition
Counting Blue Cars	Dishwalla
Let's Make A Night To Remember	Bryan Adams
This Is Your Night	Amber
Falling	Montell Jordan
You Learn/You Oughta Know	Alanis Morissette
Sittin' On Top Of The World	Da Brat
Loungin	LL Cool J
Street Dreams	Nas
Bow Down	Westside Connection
Po Pimp	Do Or Die (Featuring Twista)
Missing You (From "Set It Off")	Brandy, Tamia, Gladys Knight & Chaka Khan
Give Me One Reason	Tracy Chapman
My Boo	Ghost Town DJ's
Who Will Save Your Soul	Jewel
Between You And Me	dc Talk
Only You	112 Featuring The Notorious B.I.G.
That Thing You Do! (From "That Thing You Do!")	The Wonders
Never Leave Me Alone	Nate Dogg Featuring Snoop Doggy Dogg
How Do U Want It/California Love	2Pac Featuring K-Ci And JoJo
No Time	Lil' Kim Featuring Puff Daddy
I Can't Sleep Baby (If I)	R. Kelly
Steelo	702
Follow You Down/Til I Hear It From You	Gin Blossoms
Bohemian Rhapsody (From "High School High")	The Braids
Macarena	Los Del Rio
Dance Into The Light	Phil Collins
Floatin' On Your Love	The Isley Brothers Featuring Angela Winbush
Nowhere To Go	Melissa Etheridge
Bittersweet Me	R.E.M.
One And One	Robert Miles Featuring Maria Nayler
Do You Miss Me	Jocelyn Enriquez
Birmingham	Amanda Marshall
The Things That You Do	Gina Thompson
How Could You (From "Bulletproof")	K-Ci & JoJo
Ready To Go	Republica
Ascension (Don't Ever Wonder)	Maxwell
When Boy Meets Girl	Total
Use Your Heart	SWV
At Night I Pray	Wild Orchid
Music Makes Me High	Lost Boyz
Strawberry Wine	Deana Carter
What's Love Got To Do With It (From "Supercop")	Warren G Featuring Adina Howard
Knocks Me Off My Feet	Donell Jones
Hit Me Off	New Edition
Come See Me	112
You Can Make History (Young Again)	Elton John
I Luv U Baby	The Original
Like I Do	For Real
Let's Get The Mood Right	Johnny Gill
Stupid Girl	Garbage
I Don't Need Your Love	Angelina
Your Secret Love	Luther Vandross
Tucker's Town	Hootie & The Blowfish
If We Fall In Love Tonight	Rod Stewart
Elevators (Me & You)	OutKast
Tonight Is The Night	Le Click
Why Does It Hurt So Bad (From "Waiting To Exhale")	Whitney Houston
Hero Of The Day	Metallica
Little Bitty	Alan Jackson
The Moment	Kenny G
Jellyhead	Crush
Tell Me (I'll Be Around)	Shades
Just The Way (Playas Play)	Alfonzo Hunter
Can't Knock The Hustle	JAY-Z
Everything Falls Apart/Small Wonders	dog's eye view
Touch Myself (From "Fled")	T-Boz
The Child (Inside)	Qkumba Zoo
I Fell In Love	Rockell
Missing You	Tina Turner
Devil's Haircut	Beck
Snapshot	RuPaul
Shake A Lil' Somethin'...	The 2 Live Crew
DJ Girl	Katalina
Don't Go Away	Fun Factory
Don't Look Back In Anger	Oasis
I'm So Happy I Can't Stop Crying	Sting
