Wannabe	Spice Girls
Un-Break My Heart	Toni Braxton
Can't Nobody Hold Me Down	Puff Daddy (Featuring Mase)
I Believe I Can Fly (From "Space Jam")	R. Kelly
Foolish Games/You Were Meant For Me	Jewel
Don't Let Go (Love)	En Vogue
In My Bed	Dru Hill
Don't Cry For Me Argentina (From "Evita")	Madonna
Nobody	Keith Sweat Featuring Athena Cage
Every Time I Close My Eyes	Babyface
I Believe In You And Me (From "The Preacher's Wife")	Whitney Houston
Discotheque	U2
Cold Rock A Party	MC Lyte
Ooh Aah... Just A Little Bit	Gina G
On & On	Erykah Badu
No Diggity	BLACKstreet (Featuring Dr. Dre)
Get It Together	702
I'm Still In Love With You	New Edition
Barely Breathing	Duncan Sheik
Mouth	Merril Bainbridge
Hard To Say I'm Sorry	Az Yet Featuring Peter Cetera
When You're Gone/Free To Decide	The Cranberries
Where Do You Go	No Mercy
Da' Dip	Freak Nasty
I Like It	The Blackout Allstars
When You Love A Woman	Journey
If It Makes You Happy	Sheryl Crow
Please Don't Go	No Mercy
Things'll Never Change/Rapper's Ball	E-40 Featuring Bo-Rock
I Love You Always Forever	Donna Lewis
I Want You	Savage Garden
Firestarter	The Prodigy
What's On Tonight	Montell Jordan
What They Do	The Roots
It's All Coming Back To Me Now	Celine Dion
I Finally Found Someone (From "The Mirror Has Two Faces")	Barbra Streisand & Bryan Adams
You're Makin' Me High/Let It Flow	Toni Braxton
Watch Me Do My Thing (From "All That")	Immature Featuring Smooth And Ed From Good Burger
Change The World	Eric Clapton
This Is Your Night	Amber
No Time	Lil' Kim Featuring Puff Daddy
Return Of The Mack	Mark Morrison
Pony	Ginuwine
Whateva Man	Redman
Last Night (From "The Nutty Professor")	Az Yet
Naked Eye	Luscious Jackson
Twisted	Keith Sweat
Counting Blue Cars	Dishwalla
You Must Love Me (From "Evita")	Madonna
Luchini aka (This Is It)	Camp Lo
Let Me Clear My Throat	DJ Kool
It's Your Body	Johnny Gill Featuring Roger Troutman
Just Another Day	John Mellencamp
Say... If You Feel Alright	Crystal Waters
Thirty-Three	The Smashing Pumpkins
Barrel Of A Gun	Depeche Mode
Nothin' But The Cavi Hit (From "Rhyme & Reason")	Mack 10 & Tha Dogg Pound
Desperately Wanting	Better Than Ezra
Fly Like An Eagle (From "Space Jam")	Seal
I'm Not Giving You Up	Gloria Estefan
Space Jam (From "Space Jam")	Quad City DJ's
Falling In Love (Is Hard On The Knees)	Aerosmith
The Theme (It's Party Time)	Tracey Lee
This Is For The Lover In You	Babyface Featuring LL Cool J, Howard Hewett, Jody Watley & Jeffrey Daniels
Tears	The Isley Brothers
If We Fall In Love Tonight	Rod Stewart
It's Alright, It's Ok	Leah Andreone
Come See Me	112
The Freshmen	The Verve Pipe
Get Up	Lost Boyz
I Always Feel Like (Somebody's Watching Me)	Tru Featuring Ice Cream Man (Master P)
We Danced Anyway	Deana Carter
Never Leave Me Alone	Nate Dogg Featuring Snoop Doggy Dogg
It's All About U	SWV
Without Love	Donna Lewis
Cupid	112
Don't Stop Movin'	Livin' Joy
Knocks Me Off My Feet	Donell Jones
Do G's Get To Go To Heaven?	Richie Rich
I'm Not Feeling You	Yvette Michele
Talk To Me	Wild Orchid
Here's Your Sign (Get The Picture)	Bill Engvall With Special Guest Travis Tritt
Colour Of Love	Amber
Between You And Me	dc Talk
It's In Your Eyes	Phil Collins
ATLiens	OutKast
Take Your Time	Tre
Friends	John Michael Montgomery
Ain't Nobody (From "Beavis And Butt-Head Do America")	LL Cool J
King Nothing	Metallica
Hero Of The Day	Metallica
I Fell In Love	Rockell
Runnin'	2Pac, Notorious B.I.G., Radio, Dramacydal & Stretch
You Don't Have To Love Me	Monifah
I'll Be	Foxy Brown Featuring Jay-Z
Street Dreams	Nas
Without Your Love	Angelina
Fired Up!	Funky Green Dogs
Electrolite	R.E.M.
Drop Dead Gorgeous	Republica
