Honey	Mariah Carey
Mo Money Mo Problems	The Notorious B.I.G. Featuring Puff Daddy & Mase
Quit Playing Games (With My Heart)	Backstreet Boys
How Do I Live	LeAnn Rimes
2 Become 1	Spice Girls
You Make Me Wanna...	Usher
I'll Be Missing You	Puff Daddy & Faith Evans Featuring 112
Semi-Charmed Life	Third Eye Blind
Barbie Girl	Aqua
Never Make A Promise	Dru Hill
All For You	Sister Hazel
Foolish Games/You Were Meant For Me	Jewel
Not Tonight	Lil' Kim Feat. Da Brat, Left Eye, Missy Elliott & Angie Mar
Up Jumps Da Boogie	Magoo And Timbaland
Invisible Man	98 Degrees
Do You Know (What It Takes)	Robyn
Sunny Came Home	Shawn Colvin
Building A Mystery	Sarah McLachlan
Bitch	Meredith Brooks
All Cried Out	Allure Featuring 112
Coco Jamboo	Mr. President
C U When U Get There (From "Nothing To Lose")	Coolio Featuring 40 Thevz
Return Of The Mack	Mark Morrison
Someone	SWV (Featuring Puff Daddy)
I Miss My Homies	Master P Featuring Pimp C And The Shocker
The Freshmen	The Verve Pipe
What About Us	Total
You Should Be Mine (Don't Waste Your Time)	Brian McKnight Featuring Mase
Barely Breathing	Duncan Sheik
G.H.E.T.T.O.U.T.	Changing Faces
Gotham City	R. Kelly
For You I Will (From "Space Jam")	Monica
Say You'll Be There	Spice Girls
Do You Like This	Rome
All I Want (From "GOOD Burger")	702
Hard To Say I'm Sorry	Az Yet Featuring Peter Cetera
ESPN Presents The Jock Jam	Various Artists
More Than This	10,000 Maniacs
My Love Is The Shhh!	Somethin' For The People Featuring Trina & Tamara
MMMBop	Hanson
Backyard Boogie	Mack 10
I Say A Little Prayer	Diana King
I Want You	Savage Garden
It's Your Love	Tim McGraw With Faith Hill
I Care 'Bout You	Milestone
Take It To The Streets	Rampage Featuring Billy Lawrence
I Can Love You	Mary J. Blige
6 Underground	Sneaker Pimps
To The Moon And Back	Savage Garden
Look Into My Eyes (From "Batman & Robin")	Bone Thugs-N-Harmony
After 12, Before 6	Sam Salter
When I Die	No Mercy
Go The Distance (From "Hercules")	Michael Bolton
Big Bad Mamma (From "Def Jam's How To Be A Player")	Foxy Brown Featuring Dru Hill
You Light Up My Life	LeAnn Rimes
Things Just Ain't The Same	Deborah Cox
I Wanna Be There	Blessid Union Of Souls
To Make You Feel My Love	Billy Joel
Hole In My Soul	Aerosmith
Butta Love	Next
As We Lay	Dana
No Tengo Dinero	Los Umbrellos
Smile	Scarface Featuring 2Pac & Johnny P
Have A Little Mercy	4.0
Whatever	En Vogue
Around The World	Daft Punk
Alone	Bee Gees
Fix	BLACKstreet With Special Guests Ol' Dirty Bastard & Slash
Down For Yours	Nastyboy Klick Featuring Roger Troutman
Need Your Love	Big Bub Featuring Queen Latifah & Heavy D
Don't Say	Jon B
You Bring Me Up	K-Ci & JoJo
Can't Let Go	Laurnea
Piece Of My Heart	Shaggy (Featuring Marsha)
Jack-Ass	Beck
It's Alright	Queen Latifah
Rhythm Of Love	DJ Company
Never, Never Gonna Give You Up	Lisa Stansfield
Tubthumping	Chumbawamba
When You Talk About Love	Patti LaBelle
Supernatural	Wild Orchid
Happy With You	Samantha Cole
Four Leaf Clover	Abra Moore
Can U Feel It	3rd Party
Butterfly Kisses	Raybon Bros.
Legend Of A Cowgirl	Imani Coppola
Smokin' Me Out	Warren G Featuring Ronald Isley
We Can Get Down	Myron
Can We (From "Booty Call")	SWV
It's No Good	Depeche Mode
Men Of Steel (From "Steel")	Shaquille O'Neal, Ice Cube, B Real, Peter Gunz & KRS-One
I'm Not A Fool	Immature
Can't Get You Out Of My Mind	Lil Suzy
Drink, Swear, Steal & Lie	Michael Peterson
Relax & Party	Ivory
In A Dream	Rockell
Thinking Of You	Tony Toni Tone
What's Stopping You	The O'Jays
Free	Ultra Nate
Don't Wanna Be A Player (From "Booty Call")	Joe
