Gettin' Jiggy Wit It	Will Smith
Nice & Slow	Usher
No, No, No	Destiny's Child
My Heart Will Go On	Celine Dion
Frozen	Madonna
Truly Madly Deeply	Savage Garden
Let's Ride	Montell Jordan Feat. Master P & Silkk The Shocker
Gone Till November	Wyclef Jean
Deja Vu [Uptown Baby]	Lord Tariq & Peter Gunz
What You Want	Mase Featuring Total
Too Close	Next
Body Bumpin' Yippie-Yi-Yo	Public Announcement
Bitter Sweet Symphony	The Verve
Together Again	Janet
All My Life	K-Ci & JoJo
Are You Jimmy Ray?	Jimmy Ray
I Want You Back	'N Sync
Swing My Way	K.P. & Envyi
You're Still The One	Shania Twain
How Do I Live	LeAnn Rimes
Do For Love	2Pac Featuring Eric Williams
Romeo And Juliet	Sylk-E. Fyne Featuring Chill
The Mummers' Dance	Loreena McKennitt
How's It Going To Be	Third Eye Blind
Make Em' Say Uhh!	Master P Feat. Fiend, Silkk The Shocker, Mia X & Mystikal
I Don't Ever Want To See You Again	Uncle Sam
Kiss The Rain	Billie Myers
I Don't Want To Wait	Paula Cole
The Party Continues	JD Featuring Da Brat
Too Much	Spice Girls
You Make Me Wanna...	Usher
Rain	SWV
Been Around The World	Puff Daddy & The Family (Feat. The Notorious B.I.G. & Mase)
A Rose Is Still A Rose	Aretha Franklin
A Song For Mama	Boyz II Men
Pink	Aerosmith
Victory	Puff Daddy & The Family Featuring The Notorious B.I.G. & Busta Rh
Candle In The Wind 1997/Something About The Way You Look Tonight	Elton John
Love You Down	INOJ/LATHUN
Show Me Love	Robyn
Semi-Charmed Life	Third Eye Blind
Tubthumping	Chumbawamba
All For You	Sister Hazel
Get At Me Dog	DMX Featuring Sheek Of The Lox
I Know Where It's At	All Saints
They Don't Know	Jon B
Quit Playing Games (With My Heart)	Backstreet Boys
Father	LL Cool J
I Do	Lisa Loeb
Dangerous	Busta Rhymes
All I Do	Somethin' For The People
The City Is Mine	Jay-Z Featuring BLACKstreet
Strawberries	Smooth
All My Love	Queen Pen Featuring Eric Williams
Sweet Surrender	Sarah McLachlan
It's All About Me	Mya & Sisqo
I'm Alright	Jo Dee Messina
Light In Your Eyes	Blessid Union Of Souls
Raise The Roof	Luke Featuring No Good But So Good
Just Be Straight With Me	Silkk The Shocker Featuring Master P, Destiny's Child, O'Dell, Mo
Given To Fly	Pearl Jam
Imagination	Tamia
If You Think I'm Jiggy	The Lox
What Would Happen	Meredith Brooks
Burn	Militia
Gitty Up	Salt-N-Pepa
I Will Come To You	Hanson
Bring It On	Keith Washington
It's Up To You	The Tuesdays
Am I Dreaming	Ol Skool [Featuring Keith Sweat & Xscape]
Then What?	Clay Walker
Cheers 2 U	Playa
We're Not Making Love No More	Dru Hill
Life In Mono	Mono
Reality	Elusion
Who Am I	Beenie Man
A Promise I Make	Dakota Moon
This Kiss	Faith Hill
Say You'll Stay	KAI
What If I Said	Anita Cochran (Duet With Steve Wariner)
My Heart Will Go On	Deja Vu
Brian Wilson	Barenaked Ladies
32 Flavors	Alana Davis
If I Never Stop Loving You	David Kersh
Still Po' Pimpin'	Do Or Die Featuring Johnny P & Twista
Off The Hook	Jody Watley
Just Clownin'	WC From Westside Connection
Going Back To Cali	The Notorious B.I.G.
It's Your Love	She Moves
Send My Love/Send One Your Love	Born Jamericans
Gotta Be...Movin' On Up	PRINCE BE & Ky-Mani
Ain't That Just The Way	Lutricia McNeal
The Memory Remains	Metallica
Tic Tic Tac	Fruit De La Passion
In A Dream	Rockell
Lollipop (Candyman)	Aqua
Nothin' Move But The Money	Mic Geronimo Featuring DMX & Black Rob
Jealousy	Kim Sanders
The Note	Daryle Singletary
Saint Of Me	The Rolling Stones
