Too Close	Next
You're Still The One	Shania Twain
Let's Ride	Montell Jordan Feat. Master P & Silkk The Shocker
All My Life	K-Ci & JoJo
Frozen	Madonna
Body Bumpin' Yippie-Yi-Yo	Public Announcement
Truly Madly Deeply	Savage Garden
Everybody [Backstreet's Back]	Backstreet Boys
Romeo And Juliet	Sylk-E. Fyne Featuring Chill
Sex And Candy	Marcy Playground
It's All About Me	Mya & Sisqo
Gone Till November	Wyclef Jean
I Want You Back	'N Sync
Nice & Slow	Usher
No, No, No	Destiny's Child
My Heart Will Go On	Celine Dion
What You Want	Mase Featuring Total
Deja Vu [Uptown Baby]	Lord Tariq & Peter Gunz
Money, Power & Respect	The Lox [Featuring DMX & Lil' Kim]
Make Em' Say Uhh!	Master P Feat. Fiend, Silkk The Shocker, Mia X & Mystikal
Victory	Puff Daddy & The Family Featuring The Notorious B.I.G. & Busta Rh
Gettin' Jiggy Wit It	Will Smith
Together Again	Janet
The Arms Of The One Who Loves You	Xscape
How's It Going To Be	Third Eye Blind
A Rose Is Still A Rose	Aretha Franklin
How Do I Live	LeAnn Rimes
Second Round K.O.	Canibus
I Don't Want To Wait	Paula Cole
Bitter Sweet Symphony	The Verve
Kiss The Rain	Billie Myers
Do For Love	2Pac Featuring Eric Williams
I Got The Hook Up!	Master P Featuring Sons Of Funk
The Party Continues	JD Featuring Da Brat
Raise The Roof	Luke Featuring No Good But So Good
Looking Through Your Eyes	LeAnn Rimes
You Make Me Wanna...	Usher
Clock Strikes	Timbaland & Magoo
Imagination	Tamia
I Don't Ever Want To See You Again	Uncle Sam
Are You Jimmy Ray?	Jimmy Ray
Candle In The Wind 1997/Something About The Way You Look Tonight	Elton John
The Mummers' Dance	Loreena McKennitt
This Kiss	Faith Hill
I'm Alright	Jo Dee Messina
Who Am I	Beenie Man
Get At Me Dog	DMX Featuring Sheek Of The Lox
Rain	SWV
Cheers 2 U	Playa
Gitty Up	Salt-N-Pepa
They Don't Know	Jon B
Swing My Way	K.P. & Envyi
Say It	Voices Of Theory
Too Much	Spice Girls
Love You Down	INOJ/LATHUN
Strawberries	Smooth
This Is How We Party	S.O.A.P.
My Heart Will Go On	Deja Vu
The Unforgiven II	Metallica
Recover Your Soul	Elton John
The City Is Mine	Jay-Z Featuring BLACKstreet
Still Po' Pimpin'	Do Or Die Featuring Johnny P & Twista
I Know Where It's At	All Saints
Bring It On	Keith Washington
Then What?	Clay Walker
Just Be Straight With Me	Silkk The Shocker Featuring Master P, Destiny's Child, O'Dell, Mo
It's Your Love	She Moves
Burn	Militia
A Promise I Make	Dakota Moon
Pink	Aerosmith
I Just Want To Dance With You	George Strait
Out Of My Bones	Randy Travis
It's Up To You	The Tuesdays
Love Me Good	Michael W. Smith
Father	LL Cool J
Light In Your Eyes	Blessid Union Of Souls
All My Love	Queen Pen Featuring Eric Williams
Off The Hook	Jody Watley
I'm From The Country	Tracy Byrd
Dangerous	Busta Rhymes
Blue On Black	The Kenny Wayne Shepherd Band
Life In Mono	Mono
Reality	Elusion
Do Your Thing	7 Mile
Moan & Groan	Mark Morrison
Sweet Surrender	Sarah McLachlan
Come Over To My Place	Davina
One Of These Days	Tim McGraw
If I Never Stop Loving You	David Kersh
Given To Fly	Pearl Jam
In A Dream	Rockell
All I Do	Somethin' For The People
Ding-A-Ling	Hi-Town DJs
Let's Forget About It	Lisa Loeb
Get Ready To Bounce	Brooklyn Bounce
What Would Happen	Meredith Brooks
Out Of Sight (YO)	Rufus Blaq
Sweet Honesty	M:G
If You Think I'm Jiggy	The Lox
Am I Dreaming	Ol Skool [Featuring Keith Sweat & Xscape]
