The Boy Is Mine	Brandy & Monica
You're Still The One	Shania Twain
My Way	Usher
Too Close	Next
Adia	Sarah McLachlan
Come With Me	Puff Daddy Featuring Jimmy Page
Ray Of Light	Madonna
Make It Hot	Nicole Featuring Missy "Misdemeanor" Elliott & Mocha
My All	Mariah Carey
Everybody [Backstreet's Back]	Backstreet Boys
They Don't Know	Jon B
Say It	Voices Of Theory
All My Life	K-Ci & JoJo
Truly Madly Deeply	Savage Garden
When The Lights Go Out	Five
Ghetto Supastar (That Is What You Are)	Pras Michel Feat. Ol' Dirty Bastard & Introducing Mya
Sex And Candy	Marcy Playground
Stop	Spice Girls
Looking Through Your Eyes	LeAnn Rimes
I Got The Hook Up!	Master P Featuring Sons Of Funk
I Get Lonely	Janet Featuring BLACKstreet
Friend Of Mine	Kelly Price
Whatcha Gone Do?	Link
Nobody Does It Better	Nate Dogg Featuring Warren G
The Arms Of The One Who Loves You	Xscape
Still Not A Player	Big Punisher Featuring Joe
Shorty (You Keep Playin' With My Mind)	Imajin Featuring Keith Murray
This Kiss	Faith Hill
How Do I Live	LeAnn Rimes
Gettin' Jiggy Wit It	Will Smith
Turn It Up [Remix]/Fire It Up	Busta Rhymes
Cleopatra's Theme	Cleopatra
Crush	Jennifer Paige
Let's Ride	Montell Jordan Feat. Master P & Silkk The Shocker
How's It Going To Be	Third Eye Blind
Make Em' Say Uhh!	Master P Feat. Fiend, Silkk The Shocker, Mia X & Mystikal
Cruel Summer	Ace Of Base
I Want You Back	'N Sync
Together Again	Janet
No, No, No	Destiny's Child
To The Moon And Back	Savage Garden
I Don't Want To Wait	Paula Cole
Heaven's What I Feel	Gloria Estefan
Raise The Roof	Luke Featuring No Good But So Good
Ooh La La	Rod Stewart
Body Bumpin' Yippie-Yi-Yo	Public Announcement
Cheers 2 U	Playa
Candle In The Wind 1997/Something About The Way You Look Tonight	Elton John
There's Your Trouble	Dixie Chicks
Do Your Thing	7 Mile
It's All About Me	Mya & Sisqo
Who Am I	Beenie Man
Ava Adore	The Smashing Pumpkins
Frozen	Madonna
Black Ice (Sky High)	Goodie Mob Featuring Outkast
Ding-A-Ling	Hi-Town DJs
There You Are	Sam Salter
You Won't Forget Me	La Bouche
Landslide	Fleetwood Mac
The Cup Of Life (The Official Song Of The World Cup, France '98)	Ricky Martin
Woof Woof	69 Boyz
Destiny	Myron
Freak Out	Nutta Butta Featuring Teddy Riley And Anonymous
If You Ever Have Forever In Mind	Vince Gill
I'm Alright	Jo Dee Messina
Spark	Tori Amos
Ninety Nine [Flash The Message]	John Forte
Horse & Carriage	Cam'Ron Featuring Mase
One Heart At A Time	Various Artists
Money, Power & Respect	The Lox [Featuring DMX & Lil' Kim]
Can't We Try	Rockell [Duet With Collage]
Wishlist	Pearl Jam
How Do I Say I'm Sorry	Tami Davis
I Do [Cherish You]	Mark Wills
Push It	Garbage
2 Way Street	Missjones
Recover Your Soul	Elton John
I Just Want To Dance With You	George Strait
Love The Way	EOL
Victory	Puff Daddy & The Family Featuring The Notorious B.I.G. & Busta Rh
The Actual	All City
A Man Holdin' On (To A Woman Lettin' Go)	Ty Herndon
Bitter Sweet Symphony	The Verve
Now That I Found You	Terri Clark
Whatuon	LaTanya Featuring Twista
I Honestly Love You (David Foster Vers.)	Olivia Newton-John
I'm From The Country	Tracy Byrd
Stepping Stone	Lari White
Money Ain't A Thang	JD Featuring Jay-Z
Imagination	Tamia
So Into You	Tamia
Baby Be There	Nu Flavor
There Goes My Baby	Trisha Yearwood
Here We Go Again	Aretha Franklin
Sin So Well	Rebekah
The Mummers' Dance	Loreena McKennitt
Clock Strikes	Timbaland & Magoo
Do For Love	2Pac Featuring Eric Williams
Second Round K.O.	Canibus
You Only Have To Say You Love Me	Hannah Jones
