One Week	Barenaked Ladies
The First Night	Monica
I Don't Want To Miss A Thing	Aerosmith
How Deep Is Your Love	Dru Hill Featuring Redman
Crush	Jennifer Paige
I'll Be	Edwin McCain
This Kiss	Faith Hill
Because Of You	98 Degrees
Touch It	Monifah
Time After Time	Inoj
My Way	Usher
Never Ever	All Saints
Lately	Divine
Westside	TQ
I Still Love You	Next
When The Lights Go Out	Five
Too Close	Next
The Boy Is Mine	Brandy & Monica
Daydreamin'	Tatyana Ali
Thinkin' Bout It	Gerald Levert
You're Still The One	Shania Twain
Just The Two Of Us	Will Smith
I Can Do That	Montell Jordan
The Power Of Good-Bye	Madonna
Adia	Sarah McLachlan
Lookin' At Me	Mase Featuring Puff Daddy
Truly Madly Deeply	Savage Garden
Still A G Thang	Snoop Dogg
Nobody's Supposed To Be Here	Deborah Cox
Splackavellie	Pressha
So Into You	Tamia
All My Life	K-Ci & JoJo
Friend Of Mine	Kelly Price
Movin' On	Mya Featuring Silkk The Shocker
Make It Hot	Nicole Featuring Missy "Misdemeanor" Elliott & Mocha
SuperThug (What What)	Noreaga
All The Places (I Will Kiss You)	Aaron Hall
Cruel Summer	Ace Of Base
Still Not A Player	Big Punisher Featuring Joe
Say It	Voices Of Theory
Ghetto Supastar (That Is What You Are)	Pras Michel Feat. Ol' Dirty Bastard & Introducing Mya
Nobody Else	Tyrese
Intergalactic	Beastie Boys
I Had No Right	P.M. Dawn
I Don't Want To Wait	Paula Cole
How's It Going To Be	Third Eye Blind
Together Again	Janet
Goodbye To My Homies	Master P Featuring Silkk The Shocker, Sons Of Funk And Mo B. Dick
Ray Of Light	Madonna
Sex And Candy	Marcy Playground
Shimmer	Fuel
Everything's Gonna Be Alright	Sweetbox
Invasion Of The Flat Booty B*****s	Too $hort
Come With Me	Puff Daddy Featuring Jimmy Page
26 Cents	The Wilkinsons
Ooh La La	Rod Stewart
No Fool No More	En Vogue
If You Could Read My Mind	Stars On 54: Ultra Nate, Amber, Jocelyn Enriquez
Wherever You Go	Voices Of Theory
Can I Get A...	Jay-Z Featuring Amil (Of Major Coinz) & Ja
Can't We Try	Rockell [Duet With Collage]
Yesterday	Debelah Morgan
Lost In Love	Nastyboy Klick
Touch Me	Solo
Better Days	WC Featuring Jon B.
Landslide	Fleetwood Mac
Jackie's Strength	Tori Amos
Money Ain't A Thang	JD Featuring Jay-Z
Horse & Carriage	Cam'Ron Featuring Mase
You Only Have To Say You Love Me	Hannah Jones
Music Sounds Better With You	Stardust
Cleopatra's Theme	Cleopatra
What U See Is What U Get	Xzibit
For You I Will	Aaron Tippin
Here We Go	Funkmaster Flex Presents Khadejia Featuring Product
Gotta Be	Jagged Edge
Nobody Does It Better	Nate Dogg Featuring Warren G
Only When I Lose Myself	Depeche Mode
Dr. Greenthumb	Cypress Hill
How's It Goin' Down	DMX Featuring Faith Evans
Woof Woof	69 Boyz
You Won't Forget Me	La Bouche
The Rockafeller Skank	Fatboy Slim
I Should Cheat On You	J'Son
Stop	Spice Girls
Ava Adore	The Smashing Pumpkins
Definition	Mos Def & Kweli Are Black Star
It's Alright	Memphis Bleek (& Jay-Z)
If I Lost You	Travis Tritt
Wide Open Spaces	Dixie Chicks
A Little Past Little Rock	Lee Ann Womack
Deadly Zone	Bounty Killer Featuring Mobb Deep & Rappin' Noyd
What I Didn't Know	Athenaeum
Find A Way	A Tribe Called Quest
If I Had The Chance	Cynthia
Delicious	Pure Sugar
Remember When	Color Me Badd
Paper	Queen Latifah Featuring Apache
'98 Thug Paradise	Tragedy, Capone, Infinite
I Wasn't With It	Jesse Powell
