The First Night	Monica
One Week	Barenaked Ladies
How Deep Is Your Love	Dru Hill Featuring Redman
I Don't Want To Miss A Thing	Aerosmith
Crush	Jennifer Paige
I'll Be	Edwin McCain
This Kiss	Faith Hill
Because Of You	98 Degrees
My Little Secret	Xscape
Lately	Divine
Touch It	Monifah
Westside	TQ
Come And Get With Me	Keith Sweat Featuring Snoop Dogg
When The Lights Go Out	Five
I Still Love You	Next
The Power Of Good-Bye	Madonna
Time After Time	Inoj
Too Close	Next
My Way	Usher
Never Ever	All Saints
Just The Two Of Us	Will Smith
You're Still The One	Shania Twain
Nobody's Supposed To Be Here	Deborah Cox
The Boy Is Mine	Brandy & Monica
Daydreamin'	Tatyana Ali
Thinkin' Bout It	Gerald Levert
I Can Do That	Montell Jordan
Adia	Sarah McLachlan
Truly Madly Deeply	Savage Garden
Lookin' At Me	Mase Featuring Puff Daddy
Still A G Thang	Snoop Dogg
Splackavellie	Pressha
All The Places (I Will Kiss You)	Aaron Hall
So Into You	Tamia
All My Life	K-Ci & JoJo
Make It Hot	Nicole Featuring Missy "Misdemeanor" Elliott & Mocha
Movin' On	Mya Featuring Silkk The Shocker
Friend Of Mine	Kelly Price
SuperThug (What What)	Noreaga
Love Me	112 Featuring Mase
Ghetto Supastar (That Is What You Are)	Pras Michel Feat. Ol' Dirty Bastard & Introducing Mya
Say It	Voices Of Theory
Still Not A Player	Big Punisher Featuring Joe
I Had No Right	P.M. Dawn
I Don't Want To Wait	Paula Cole
Intergalactic	Beastie Boys
How's It Going To Be	Third Eye Blind
Cruel Summer	Ace Of Base
Wherever You Go	Voices Of Theory
Together Again	Janet
Nobody Else	Tyrese
Goodbye To My Homies	Master P Featuring Silkk The Shocker, Sons Of Funk And Mo B. Dick
Shimmer	Fuel
Perfect	The Smashing Pumpkins
26 Cents	The Wilkinsons
Ray Of Light	Madonna
No Fool No More	En Vogue
Can I Get A...	Jay-Z Featuring Amil (Of Major Coinz) & Ja
Everything's Gonna Be Alright	Sweetbox
Invasion Of The Flat Booty B*****s	Too $hort
Come With Me	Puff Daddy Featuring Jimmy Page
If You Could Read My Mind	Stars On 54: Ultra Nate, Amber, Jocelyn Enriquez
Lost In Love	Nastyboy Klick
Ooh La La	Rod Stewart
Better Days	WC Featuring Jon B.
Yesterday	Debelah Morgan
Landslide	Fleetwood Mac
Don't Let It Go To Your Head	Brand Nubian
Money Ain't A Thang	JD Featuring Jay-Z
Can't We Try	Rockell [Duet With Collage]
Music Sounds Better With You	Stardust
Touch Me	Solo
How's It Goin' Down	DMX Featuring Faith Evans
Jackie's Strength	Tori Amos
For You I Will	Aaron Tippin
Only When I Lose Myself	Depeche Mode
Cleopatra's Theme	Cleopatra
The Rockafeller Skank	Fatboy Slim
Deadly Zone	Bounty Killer Featuring Mobb Deep & Rappin' Noyd
I Ain't Havin' That	Heltah Skeltah Featuring Starang Wondah Of O.G.C. & Doc Holiday
You Only Have To Say You Love Me	Hannah Jones
Gotta Be	Jagged Edge
Here We Go	Funkmaster Flex Presents Khadejia Featuring Product
Dr. Greenthumb	Cypress Hill
Horse & Carriage	Cam'Ron Featuring Mase
If I Lost You	Travis Tritt
What U See Is What U Get	Xzibit
It's Alright	Memphis Bleek (& Jay-Z)
A Little Past Little Rock	Lee Ann Womack
Ava Adore	The Smashing Pumpkins
Wide Open Spaces	Dixie Chicks
I Should Cheat On You	J'Son
Nobody Does It Better	Nate Dogg Featuring Warren G
Woof Woof	69 Boyz
If I Had The Chance	Cynthia
Definition	Mos Def & Kweli Are Black Star
What I Didn't Know	Athenaeum
Stop	Spice Girls
Delicious	Pure Sugar
Find A Way	A Tribe Called Quest
