...Baby One More Time	Britney Spears
Have You Ever?	Brandy
Nobody's Supposed To Be Here	Deborah Cox
I'm Your Angel	R. Kelly & Celine Dion
Jumper	Third Eye Blind
Angel Of Mine	Monica
Save Tonight	Eagle-Eye Cherry
Hands	Jewel
Slide	Goo Goo Dolls
Lullaby	Shawn Mullins
Angel	Sarah McLachlan
Doo Wop (That Thing)	Lauryn Hill
Lately	Divine
Trippin'	Total Featuring Missy Elliott
When You Believe	Whitney Houston & Mariah Carey
Because Of You	98 Degrees
Take Me There	BLACKstreet & Mya Featuring Mase & Blinky Blink
Believe	Cher
Miami	Will Smith
From This Moment On	Shania Twain
Love Like This	Faith Evans
Ghetto Cowboy	Mo Thugs Family Featuring Bone Thugs-N-Harmony
I Don't Want To Miss A Thing	Mark Chesnutt
These Are The Times	Dru Hill
Can I Get A...	Jay-Z Featuring Amil (Of Major Coinz) & Ja
(God Must Have Spent) A Little More Time On You	'N Sync
Taking Everything	Gerald Levert
Iris	Goo Goo Dolls
When A Woman's Fed Up	R. Kelly
Inside Out	Eve 6
Every Morning	Sugar Ray
This Kiss	Faith Hill
I Will Get There	Boyz II Men
Changes	2Pac
I'll Be	Edwin McCain
You Get What You Give	New Radicals
Stand Beside Me	Jo Dee Messina
My Favorite Mistake	Sheryl Crow
Fly Away	Lenny Kravitz
How Deep Is Your Love	Dru Hill Featuring Redman
For A Little While	Tim McGraw
Spirit Of A Boy, Wisdom Of A Man	Randy Travis
Too Close	Next
It's All Been Done	Barenaked Ladies
Wrong Again	Martina McBride
There You Have It	BlackHawk
Unbelievable	Diamond Rio
Right On The Money	Alan Jackson
Touch It	Monifah
Hold On To Me	John Michael Montgomery
No Place That Far	Sara Evans
Ex-Factor	Lauryn Hill
Back 2 Good	matchbox 20
Pretty Fly (For A White Guy)	The Offspring
Heartbreak Hotel	Whitney Houston Feat. Faith Evans & Kelly Price
Wrong Night	Reba
All I Have To Give	Backstreet Boys
Goodbye	Spice Girls
One Week	Barenaked Ladies
Rosa Parks	OutKast
Fly (The Angel Song)	The Wilkinsons
What It's Like	Everlast
Silly Ho	TLC
For You I Will	Aaron Tippin
You're Beginning To Get To Me	Clay Walker
You Were Mine	Dixie Chicks
Hard Knock Life (Ghetto Anthem)	JAY-Z
Pushin' Weight	Ice Cube Featuring Mr. Short Khop
Sweet Lady	Tyrese
Busy Man	Billy Ray Cyrus
Sweetest Thing	U2
Angel In Disguise	Brandy
That Don't Impress Me Much	Shania Twain
Hold Me	Brian McKnight Featuring Tone & Kobe Bryant
Faded Pictures	Case & Joe
Father Of Mine	Everclear
Meanwhile	George Strait
The Power Of Good-Bye	Madonna
Powerful Thing	Trisha Yearwood
Never There	Cake
You're Easy On The Eyes	Terri Clark
Home Alone	R. Kelly Featuring Keith Murray
Love Me	112 Featuring Mase
Thank U	Alanis Morissette
Luv Me, Luv Me	Shaggy Featuring Janet
Somebody's Out There Watching	The Kinleys
Someone You Used To Know	Collin Raye
Let Me Let Go	Faith Hill
It Must Be Love	Ty Herndon
A Bitter End	Deryl Dodd
Hot Spot	Foxy Brown
Celebrity Skin	Hole
Woof	Snoop Dogg Featuring Mystikal And Fiend
Talk Show Shhh!	Shae Jones
All The Places (I Will Kiss You)	Aaron Hall
Watch For The Hook	Cool Breeze Featuring OutKast, Goodie Mob & Witchdoctor
Wherever You Go	Voices Of Theory
Come And Get With Me	Keith Sweat Featuring Snoop Dogg
Husbands And Wives	Brooks & Dunn
Another Way	Tevin Campbell
