Believe	Cher
Angel Of Mine	Monica
Heartbreak Hotel	Whitney Houston Feat. Faith Evans & Kelly Price
Angel	Sarah McLachlan
All I Have To Give	Backstreet Boys
I Still Believe	Mariah Carey
Nobody's Supposed To Be Here	Deborah Cox
...Baby One More Time	Britney Spears
Every Morning	Sugar Ray
No Scrubs	TLC
Slide	Goo Goo Dolls
(God Must Have Spent) A Little More Time On You	'N Sync
You	Jesse Powell
Kiss Me	Sixpence None The Richer
Have You Ever?	Brandy
Faded Pictures	Case & Joe
Save Tonight	Eagle-Eye Cherry
It Ain't My Fault 1 & 2	Silkk The Shocker Featuring Mystikal
Miami	Will Smith
Jumper	Third Eye Blind
Stay The Same	Joey McIntyre
Ex-Factor	Lauryn Hill
Taking Everything	Gerald Levert
Sweet Lady	Tyrese
When A Woman's Fed Up	R. Kelly
I Don't Want To Miss A Thing	Mark Chesnutt
How Forever Feels	Kenny Chesney
Lullaby	Shawn Mullins
Back 2 Good	matchbox 20
If You (Lovin' Me)	Silk
Fly Away	Lenny Kravitz
I'm Not Ready	Keith Sweat
I'm Your Angel	R. Kelly & Celine Dion
You Were Mine	Dixie Chicks
Hands	Jewel
What It's Like	Everlast
Written In The Stars	Elton John & LeAnn Rimes
Meanwhile	George Strait
Can I Get A...	Jay-Z Featuring Amil (Of Major Coinz) & Ja
My Name Is	Eminem
Doo Wop (That Thing)	Lauryn Hill
These Are The Times	Dru Hill
When You Believe	Whitney Houston & Mariah Carey
No Place That Far	Sara Evans
You Got Me	The Roots Featuring Erykah Badu
Busy Man	Billy Ray Cyrus
All Night Long	Faith Evans Featuring Puff Daddy
C'est La Vie	B*Witched
Lately	Divine
The Animal Song	Savage Garden
Hold On To Me	John Michael Montgomery
Unbelievable	Diamond Rio
Powerful Thing	Trisha Yearwood
Ghetto Cowboy	Mo Thugs Family Featuring Bone Thugs-N-Harmony
You Get What You Give	New Radicals
Stand Beside Me	Jo Dee Messina
We Like To Party!	Vengaboys
I Can't Get Over You	Brooks & Dunn
I'll Think Of A Reason Later	Lee Ann Womack
What's So Different	Ginuwine
Ordinary Life	Chad Brock
Love Like This	Faith Evans
Changes	2Pac
Somebody's Out There Watching	The Kinleys
Woof	Snoop Dogg Featuring Mystikal And Fiend
What's It Gonna Be?!	Busta Rhymes Featuring Janet
Drive Me Wild	Sawyer Brown
Ha	Juvenile
Fly (The Angel Song)	The Wilkinsons
Pretty Fly (For A White Guy)	The Offspring
How Do I Deal	Jennifer Love Hewitt
Keepin' Up	Alabama
Wish You Were Here	Mark Wills
Watch For The Hook	Cool Breeze Featuring OutKast, Goodie Mob & Witchdoctor
Take Me There	BLACKstreet & Mya Featuring Mase & Blinky Blink
Girlfriend/Boyfriend	BLACKstreet With Janet
Crush	Dave Matthews Band
At The Stars	Better Than Ezra
Love Ain't Like That	Faith Hill
Father Of Mine	Everclear
Gone Crazy	Alan Jackson
Trippin'	Total Featuring Missy Elliott
One	Creed
Luv Me, Luv Me	Shaggy Featuring Janet
Home Alone	R. Kelly Featuring Keith Murray
Heavy	Collective Soul
Run	Collective Soul
Malibu	Hole
It's All Been Done	Barenaked Ladies
Blue Monday	Orgy
For A Little While	Tim McGraw
Anyone Else	Collin Raye
Rosa Parks	OutKast
Unsent	Alanis Morissette
I Will Get There	Boyz II Men
Never There	Cake
Sweetest Thing	U2
Praise You	Fatboy Slim
Nann	Trick Daddy Featuring Trina
That Don't Impress Me Much	Shania Twain
