Livin' La Vida Loca	Ricky Martin
No Scrubs	TLC
Kiss Me	Sixpence None The Richer
Every Morning	Sugar Ray
Believe	Cher
What's It Gonna Be?!	Busta Rhymes Featuring Janet
Heartbreak Hotel	Whitney Houston Feat. Faith Evans & Kelly Price
Who Dat	JT Money Featuring Sole
Fortunate	Maxwell
Give It To You	Jordan Knight
Please Remember Me	Tim McGraw
Slide	Goo Goo Dolls
What It's Like	Everlast
Fly Away	Lenny Kravitz
Where My Girls At?	702
Sweet Lady	Tyrese
If You (Lovin' Me)	Silk
Angel Of Mine	Monica
Anywhere	112 Featuring Lil'z
The Hardest Thing	98 Degrees
That Don't Impress Me Much	Shania Twain
808	Blaque
I Want It That Way	Backstreet Boys
...Baby One More Time	Britney Spears
Angel	Sarah McLachlan
Ex-Factor	Lauryn Hill
All I Have To Give	Backstreet Boys
I Still Believe	Mariah Carey
Back 2 Good	matchbox 20
We Like To Party!	Vengaboys
Almost Doesn't Count	Brandy
C'est La Vie	B*Witched
You Won't Ever Be Lonely	Andy Griggs
Wish You Were Here	Mark Wills
Save Tonight	Eagle-Eye Cherry
You	Jesse Powell
Praise You	Fatboy Slim
Can I Get A...	Jay-Z Featuring Amil (Of Major Coinz) & Ja
How Forever Feels	Kenny Chesney
Anyone Else	Collin Raye
Two Teardrops	Steve Wariner
Sitting Home	Total
All Night Long	Faith Evans Featuring Puff Daddy
My First Night With You	Mya
Write This Down	George Strait
Gone Crazy	Alan Jackson
My Favorite Girl	Dave Hollister
Man! I Feel Like A Woman!	Shania Twain
Hands Of A Working Man	Ty Herndon
It Ain't My Fault 1 & 2	Silkk The Shocker Featuring Mystikal
Anything But Down	Sheryl Crow
What's So Different	Ginuwine
Drive Me Wild	Sawyer Brown
I'll Think Of A Reason Later	Lee Ann Womack
Stay The Same	Joey McIntyre
Special	Garbage
What'd You Come Here For?	Trina & Tamara
When I Close My Eyes	Shanice
Down So Long	Jewel
Life	K-Ci & JoJo
One More Try	Divine
Blue Monday	Orgy
With You	Lila McCann
Hillbilly Shoes	Montgomery Gentry
Hate Me Now	Nas Featuring Puff Daddy
Ordinary Life	Chad Brock
I Drive Myself Crazy	'N Sync
My Own Worst Enemy	Lit
Everytime I Cry	Terri Clark
One	Creed
It's Not Right But It's Okay	Whitney Houston
Georgy Porgy	Eric Benet Featuring Faith Evans
Holla Holla	Ja Rule
Why Don't You Get A Job?	The Offspring
Whatever You Say	Martina McBride
Nann	Trick Daddy Featuring Trina
Get Involved	Raphael Saadiq & Q-Tip
You Were Mine	Dixie Chicks
Heavy	Collective Soul
No Pigeons	Sporty Thievz Featuring Mr. Woods
If You Had My Love	Jennifer Lopez
Girlfriend/Boyfriend	BLACKstreet With Janet
Tonight The Heartache's On Me	Dixie Chicks
Jigga What...	Jay-Z Featuring Big Jaz
Chante's Got A Man	Chante Moore
Maybe Not Tonight	Sammy Kershaw & Lorrie Morgan
I'm Leaving	Aaron Tippin
Crush	Dave Matthews Band
I'm Not Ready	Keith Sweat
She's A Bitch	Missy "Misdemeanor" Elliott
Written In The Stars	Elton John & LeAnn Rimes
The Animal Song	Savage Garden
Busy Man	Billy Ray Cyrus
Maria	Blondie
Little Good-Byes	SHeDAISY
A Night To Remember	Joe Diffie
Single White Female	Chely Wright
Players Holiday	T.W.D.Y. Featuring Too Short & Mac Mall
Harmless	Mulberry Lane
You Got Me	The Roots Featuring Erykah Badu
