Genie In A Bottle	Christina Aguilera
Bills, Bills, Bills	Destiny's Child
Tell Me It's Real	K-Ci & JoJo
Wild Wild West	Will Smith Featuring Dru Hill & Kool Mo Dee
If You Had My Love	Jennifer Lopez
Last Kiss	Pearl Jam
All Star	Smash Mouth
I Want It That Way	Backstreet Boys
Where My Girls At?	702
Summer Girls	LFO
It's Not Right But It's Okay	Whitney Houston
Jamboree	Naughty By Nature Featuring Zhane
Fortunate	Maxwell
I Will Remember You (Live)	Sarah McLachlan
Livin' La Vida Loca	Ricky Martin
Bailamos	Enrique Iglesias
The Day The World Went Away	Nine Inch Nails
Kiss Me	Sixpence None The Richer
The Hardest Thing	98 Degrees
Someday	Sugar Ray
Beautiful Stranger	Madonna
Sometimes	Britney Spears
Happily Ever After	Case
That Don't Impress Me Much	Shania Twain
No Scrubs	TLC
She's So High	Tal Bachman
Amazed	Lonestar
So Anxious	Ginuwine
Lesson In Leavin'	Jo Dee Messina
808	Blaque
God Must Have Spent A Little More Time On You	Alabama Featuring 'N Sync
Better Days (And The Bottom Drops Out)	Citizen King
Anywhere	112 Featuring Lil'z
You'll Be In My Heart	Phil Collins
Everything Is Everything	Lauryn Hill
Scar Tissue	Red Hot Chili Peppers
Spend My Life With You	Eric Benet Featuring Tamia
A Night To Remember	Joe Diffie
Out Of My Head	Fastball
Hey Leonardo (She Likes Me For Me)	Blessid Union Of Souls
What Ya Want	EVE & Nokio
I Could Not Ask For More	Edwin McCain
Chante's Got A Man	Chante Moore
No Pigeons	Sporty Thievz Featuring Mr. Woods
The Cup Of Life (The Official Song Of The World Cup, France '98)	Ricky Martin
Black Balloon	Goo Goo Dolls
Little Good-Byes	SHeDAISY
Every Morning	Sugar Ray
Single White Female	Chely Wright
Write This Down	George Strait
Almost Doesn't Count	Brandy
Smile	Vitamin C Featuring Lady Saw
Holla Holla	Ja Rule
You Had Me From Hello	Kenny Chesney
The Secret Of Life	Faith Hill
Unpretty	TLC
Lately	Tyrese
Please Remember Me	Tim McGraw
All That I Can Say	Mary J. Blige
Little Man	Alan Jackson
Jigga My N****	JAY-Z
You've Got A Way	Shania Twain
She's All I Ever Had	Ricky Martin
My Own Worst Enemy	Lit
Back That Thang Up	Juvenile Featuring Mannie Fresh & Lil' Wayne
I Do (Cherish You)	98 Degrees
Did You Ever Think	R. Kelly
Who Needs Pictures	Brad Paisley
Ready To Run	Dixie Chicks
Never Gonna Let You Go	Faith Evans
Whatever You Say	Martina McBride
American Woman	Lenny Kravitz
Smooth	Santana Featuring Rob Thomas
Sunshine	Coko
All N My Grill	Missy "Misdemeanor" Elliott Featuring Big Boi & Nicole
What's My Age Again?	Blink-182
Crazy Little Thing Called Love	Dwight Yoakam
Who Dat	JT Money Featuring Sole
I Will Go With You (Con Te Partiro)	Donna Summer
Nookie	Limp Bizkit
I'll Still Love You More	Trisha Yearwood
(Now You See Me) Now You Don't	Lee Ann Womack
Give It To You	Jordan Knight
Boom, Boom, Boom, Boom!!	Vengaboys
Almost Home	Mary Chapin Carpenter
You Won't Ever Be Lonely	Andy Griggs
Tonight The Heartache's On Me	Dixie Chicks
Everyone Falls In Love	Tanto Metro & Devonte
Vivrant Thing	Q-Tip
Players Holiday	T.W.D.Y. Featuring Too Short & Mac Mall
Watch Out Now	The Beatnuts Featuring Yellaklaw
With You	Lila McCann
Two Teardrops	Steve Wariner
Never Been Kissed	Sherrie Austin
Strong Enough	Cher
Sexual (Li Da Di)	Amber
It's Your Thing	Mercedes Featuring Master P
You Are Everything	Dru Hill
Lonely And Gone	Montgomery Gentry
Man! I Feel Like A Woman!	Shania Twain
