Bailamos	Enrique Iglesias
Genie In A Bottle	Christina Aguilera
Summer Girls	LFO
Unpretty	TLC
All Star	Smash Mouth
Bills, Bills, Bills	Destiny's Child
Where My Girls At?	702
Smooth	Santana Featuring Rob Thomas
If You Had My Love	Jennifer Lopez
Someday	Sugar Ray
Last Kiss	Pearl Jam
I Want It That Way	Backstreet Boys
Tell Me It's Real	K-Ci & JoJo
She's So High	Tal Bachman
Scar Tissue	Red Hot Chili Peppers
Jamboree	Naughty By Nature Featuring Zhane
Never Gonna Let You Go	Faith Evans
So Anxious	Ginuwine
It's All About You (Not About Me)	Tracie Spencer
Out Of My Head	Fastball
I Do (Cherish You)	98 Degrees
Smile	Vitamin C Featuring Lady Saw
She's All I Ever Had	Ricky Martin
Spend My Life With You	Eric Benet Featuring Tamia
It's Not Right But It's Okay	Whitney Houston
I Will Remember You (Live)	Sarah McLachlan
Black Balloon	Goo Goo Dolls
Jigga My N****	JAY-Z
Better Days (And The Bottom Drops Out)	Citizen King
Fortunate	Maxwell
What Ya Want	EVE & Nokio
Amazed	Lonestar
Hey Leonardo (She Likes Me For Me)	Blessid Union Of Souls
Lesson In Leavin'	Jo Dee Messina
Mambo No. 5 (A Little Bit Of...)	Lou Bega
Happily Ever After	Case
Back That Thang Up	Juvenile Featuring Mannie Fresh & Lil' Wayne
Single White Female	Chely Wright
You Had Me From Hello	Kenny Chesney
Kiss Me	Sixpence None The Richer
Steal My Sunshine	Len
I Could Not Ask For More	Edwin McCain
God Must Have Spent A Little More Time On You	Alabama Featuring 'N Sync
All That I Can Say	Mary J. Blige
The Hardest Thing	98 Degrees
The Secret Of Life	Faith Hill
You'll Be In My Heart	Phil Collins
Something Like That	Tim McGraw
Little Man	Alan Jackson
Anywhere	112 Featuring Lil'z
Ready To Run	Dixie Chicks
Back At One	Brian McKnight
Vivrant Thing	Q-Tip
Sometimes	Britney Spears
I Love You Came Too Late	Joey McIntyre
Beautiful Stranger	Madonna
You've Got A Way	Shania Twain
Little Good-Byes	SHeDAISY
If I Could Turn Back The Hands Of Time	R. Kelly
Heartbreaker	Mariah Carey Featuring Jay-Z
What's My Age Again?	Blink-182
Write This Down	George Strait
I Love You	Martina McBride
Everything Is Everything	Lauryn Hill
A Night To Remember	Joe Diffie
Music Of My Heart	'N Sync & Gloria Estefan
All N My Grill	Missy "Misdemeanor" Elliott Featuring Big Boi & Nicole
Wild Wild West	Will Smith Featuring Dru Hill & Kool Mo Dee
Girls' Best Friend	JAY-Z
My Own Worst Enemy	Lit
The Cup Of Life (The Official Song Of The World Cup, France '98)	Ricky Martin
Wanna Be A Baller	Lil' Troy Featuring Yungsta, Fat Pat, Lil' Will, Hawk, Big T
I'll Still Love You More	Trisha Yearwood
Meeting In My Bedroom	Silk
(Now You See Me) Now You Don't	Lee Ann Womack
Southern Gul	Erykah Badu Featuring Rahzel
Sunshine	Coko
American Woman	Lenny Kravitz
I Will Go With You (Con Te Partiro)	Donna Summer
Get Gone	Ideal
My Love Is Your Love	Whitney Houston
What Do You Say To That	George Strait
Lately	Tyrese
Almost Doesn't Count	Brandy
I'll Be Your Everything	Youngstown
Who Needs Pictures	Brad Paisley
Nookie	Limp Bizkit
Everyone Falls In Love	Tanto Metro & Devonte
Boom, Boom, Boom, Boom!!	Vengaboys
Lonely And Gone	Montgomery Gentry
Whatever You Say	Martina McBride
Chante's Got A Man	Chante Moore
Never Been Kissed	Sherrie Austin
Did You Ever Think	R. Kelly
The Day The World Went Away	Nine Inch Nails
Sexual (Li Da Di)	Amber
Lightning Does The Work	Chad Brock
Watch Out Now	The Beatnuts Featuring Yellaklaw
Who Dat	JT Money Featuring Sole
No Pigeons	Sporty Thievz Featuring Mr. Woods
