Unpretty	TLC
Bailamos	Enrique Iglesias
Summer Girls	LFO
She's All I Ever Had	Ricky Martin
Genie In A Bottle	Christina Aguilera
Lost In You	Garth Brooks as Chris Gaines
Smooth	Santana Featuring Rob Thomas
All Star	Smash Mouth
Where My Girls At?	702
Someday	Sugar Ray
Mambo No. 5 (A Little Bit Of...)	Lou Bega
Bills, Bills, Bills	Destiny's Child
I Want It That Way	Backstreet Boys
Last Kiss	Pearl Jam
Scar Tissue	Red Hot Chili Peppers
If You Had My Love	Jennifer Lopez
She's So High	Tal Bachman
I Do (Cherish You)	98 Degrees
Never Gonna Let You Go	Faith Evans
So Anxious	Ginuwine
Black Balloon	Goo Goo Dolls
Spend My Life With You	Eric Benet Featuring Tamia
Heartbreaker	Mariah Carey Featuring Jay-Z
Out Of My Head	Fastball
Back That Thang Up	Juvenile Featuring Mannie Fresh & Lil' Wayne
It's All About You (Not About Me)	Tracie Spencer
Tell Me It's Real	K-Ci & JoJo
Steal My Sunshine	Len
Jamboree	Naughty By Nature Featuring Zhane
Jigga My N****	JAY-Z
Something Like That	Tim McGraw
What Ya Want	EVE & Nokio
Vivrant Thing	Q-Tip
You Had Me From Hello	Kenny Chesney
Amazed	Lonestar
I Will Remember You (Live)	Sarah McLachlan
Smile	Vitamin C Featuring Lady Saw
Better Days (And The Bottom Drops Out)	Citizen King
Back At One	Brian McKnight
Fortunate	Maxwell
It's Not Right But It's Okay	Whitney Houston
Lesson In Leavin'	Jo Dee Messina
Little Man	Alan Jackson
My Love Is Your Love	Whitney Houston
Single White Female	Chely Wright
Hey Leonardo (She Likes Me For Me)	Blessid Union Of Souls
The Secret Of Life	Faith Hill
Kiss Me	Sixpence None The Richer
Ready To Run	Dixie Chicks
I Love You	Martina McBride
All That I Can Say	Mary J. Blige
Music Of My Heart	'N Sync & Gloria Estefan
I Could Not Ask For More	Edwin McCain
Happily Ever After	Case
You'll Be In My Heart	Phil Collins
Get Gone	Ideal
Girls' Best Friend	JAY-Z
If I Could Turn Back The Hands Of Time	R. Kelly
There She Goes	Sixpence None The Richer
What's My Age Again?	Blink-182
God Must Have Spent A Little More Time On You	Alabama Featuring 'N Sync
(You Drive Me) Crazy	Britney Spears
I Love You Came Too Late	Joey McIntyre
What Do You Say To That	George Strait
I'll Still Love You More	Trisha Yearwood
I Need To Know	Marc Anthony
Man! I Feel Like A Woman!	Shania Twain
Meeting In My Bedroom	Silk
Sometimes	Britney Spears
Larger Than Life	Backstreet Boys
We Can't Be Friends	Deborah Cox With R.L.
(Now You See Me) Now You Don't	Lee Ann Womack
Bling Bling	B.G. Featuring Baby, Turk, Mannie Fresh, Juvenile & Lil' Wayne
Candy	Mandy Moore
Wanna Be A Baller	Lil' Troy Featuring Yungsta, Fat Pat, Lil' Will, Hawk, Big T
I Want It All	Warren G Featuring Mack 10
Higher	Creed
Beautiful Stranger	Madonna
She's In Love	Mark Wills
I'm Already Taken	Steve Wariner
A Night To Remember	Joe Diffie
You've Got A Way	Shania Twain
Lonely And Gone	Montgomery Gentry
Little Good-Byes	SHeDAISY
All N My Grill	Missy "Misdemeanor" Elliott Featuring Big Boi & Nicole
Gotta Man	Eve
Angels Would Fall	Melissa Etheridge
American Woman	Lenny Kravitz
The Cup Of Life (The Official Song Of The World Cup, France '98)	Ricky Martin
Sunshine	Coko
Southern Gul	Erykah Badu Featuring Rahzel
Everything Is Everything	Lauryn Hill
I'll Be Your Everything	Youngstown
Nookie	Limp Bizkit
Lightning Does The Work	Chad Brock
Everyone Falls In Love	Tanto Metro & Devonte
Never Been Kissed	Sherrie Austin
All Things Considered	Yankee Grey
I Will Go With You (Con Te Partiro)	Donna Summer
Bliss	Tori Amos
