Heartbreaker	Mariah Carey Featuring Jay-Z
Music Of My Heart	'N Sync & Gloria Estefan
Smooth	Santana Featuring Rob Thomas
Unpretty	TLC
Mambo No. 5 (A Little Bit Of...)	Lou Bega
She's All I Ever Had	Ricky Martin
Genie In A Bottle	Christina Aguilera
My Love Is Your Love	Whitney Houston
Someday	Sugar Ray
I Need To Know	Marc Anthony
Scar Tissue	Red Hot Chili Peppers
If I Could Turn Back The Hands Of Time	R. Kelly
We Can't Be Friends	Deborah Cox With R.L.
Where My Girls At?	702
All Star	Smash Mouth
Bailamos	Enrique Iglesias
Steal My Sunshine	Len
I Do (Cherish You)	98 Degrees
Black Balloon	Goo Goo Dolls
She's So High	Tal Bachman
Back At One	Brian McKnight
Back That Thang Up	Juvenile Featuring Mannie Fresh & Lil' Wayne
I Want It That Way	Backstreet Boys
(You Drive Me) Crazy	Britney Spears
Lost In You	Garth Brooks as Chris Gaines
Spend My Life With You	Eric Benet Featuring Tamia
Vivrant Thing	Q-Tip
I Want It All	Warren G Featuring Mack 10
I Love You	Martina McBride
Larger Than Life	Backstreet Boys
Something Like That	Tim McGraw
So Anxious	Ginuwine
Get Gone	Ideal
Man! I Feel Like A Woman!	Shania Twain
Bills, Bills, Bills	Destiny's Child
Gotta Man	Eve
Summer Girls	LFO
There She Goes	Sixpence None The Richer
Ready To Run	Dixie Chicks
Bug A Boo	Destiny's Child
If You Had My Love	Jennifer Lopez
Out Of My Head	Fastball
Satisfy You	Puff Daddy Featuring R. Kelly
U Know What's Up	Donell Jones
Bling Bling	B.G. Featuring Baby, Turk, Mannie Fresh, Juvenile & Lil' Wayne
Last Kiss	Pearl Jam
Never Gonna Let You Go	Faith Evans
What Do You Say To That	George Strait
I'm Already Taken	Steve Wariner
Amazed	Lonestar
Angels Would Fall	Melissa Etheridge
Girls' Best Friend	JAY-Z
What Ya Want	EVE & Nokio
American Woman	Lenny Kravitz
Lesson In Leavin'	Jo Dee Messina
Waiting For Tonight	Jennifer Lopez
Lonely And Gone	Montgomery Gentry
Higher	Creed
What's My Age Again?	Blink-182
You Had Me From Hello	Kenny Chesney
Stay The Night	IMx
Home To You	John Michael Montgomery
She's In Love	Mark Wills
It's All About You (Not About Me)	Tracie Spencer
Candy	Mandy Moore
Hey Leonardo (She Likes Me For Me)	Blessid Union Of Souls
Meet Virginia	Train
Little Man	Alan Jackson
I Wanna Love You Forever	Jessica Simpson
I'll Still Love You More	Trisha Yearwood
Big Deal	LeAnn Rimes
Jigga My N****	JAY-Z
I'll Go Crazy	Andy Griggs
I Could Not Ask For More	Edwin McCain
When I Said I Do	Clint Black
Meeting In My Bedroom	Silk
You'll Be In My Heart	Phil Collins
The Chemicals Between Us	Bush
All That I Can Say	Mary J. Blige
Learn To Fly	Foo Fighters
B-Please	Snoop Dogg Featuring Xzibit & Nate Dogg
Missing You	Brooks & Dunn
All Things Considered	Yankee Grey
The Dolphin's Cry	Live
15 Minutes	Marc Nelson
All N My Grill	Missy "Misdemeanor" Elliott Featuring Big Boi & Nicole
Wanna Be A Baller	Lil' Troy Featuring Yungsta, Fat Pat, Lil' Will, Hawk, Big T
Beauty	Dru Hill
Lightning Does The Work	Chad Brock
Happily Ever After	Case
Jamboree	Naughty By Nature Featuring Zhane
The Secret Of Life	Faith Hill
(Now You See Me) Now You Don't	Lee Ann Womack
I'll Be Your Everything	Youngstown
Everyone Falls In Love	Tanto Metro & Devonte
Sexual (Li Da Di)	Amber
Smile	Vitamin C Featuring Lady Saw
Everything Is Everything	Lauryn Hill
Beautiful Stranger	Madonna
Steam	Ty Herndon
