Smooth	Santana Featuring Rob Thomas
Back At One	Brian McKnight
I Need To Know	Marc Anthony
Mambo No. 5 (A Little Bit Of...)	Lou Bega
I Wanna Love You Forever	Jessica Simpson
My Love Is Your Love	Whitney Houston
I Knew I Loved You	Savage Garden
Waiting For Tonight	Jennifer Lopez
U Know What's Up	Donell Jones
Unpretty	TLC
Steal My Sunshine	Len
Satisfy You	Puff Daddy Featuring R. Kelly
Where My Girls At?	702
Heartbreaker	Mariah Carey Featuring Jay-Z
Girl On TV	LFO
Get Gone	Ideal
Bring It All To Me	Blaque
(You Drive Me) Crazy	Britney Spears
Someday	Sugar Ray
Back That Thang Up	Juvenile Featuring Mannie Fresh & Lil' Wayne
Hot Boyz	Missy "Misdemeanor" Elliott Featuring NAS, EVE & Q-Tip
24/7	Kevon Edmonds
Then The Morning Comes	Smash Mouth
Scar Tissue	Red Hot Chili Peppers
Will 2K	Will Smith Featuring K-Ci
Meet Virginia	Train
I Do (Cherish You)	98 Degrees
Genie In A Bottle	Christina Aguilera
15 Minutes	Marc Nelson
Larger Than Life	Backstreet Boys
I Love You	Martina McBride
Learn To Fly	Foo Fighters
When I Said I Do	Clint Black
Stay The Night	IMx
If You Love Me	Mint Condition
All Star	Smash Mouth
Big Deal	LeAnn Rimes
Gotta Man	Eve
Bling Bling	B.G. Featuring Baby, Turk, Mannie Fresh, Juvenile & Lil' Wayne
She's So High	Tal Bachman
4, 5, 6	Sole Featuring JT Money & Kandi
Breathe	Faith Hill
He Didn't Have To Be	Brad Paisley
We Can't Be Friends	Deborah Cox With R.L.
Home To You	John Michael Montgomery
Hanginaround	Counting Crows
Black Balloon	Goo Goo Dolls
Got Your Money	Ol' Dirty Bastard Featuring Kelis
That's The Way It Is	Celine Dion
American Woman	Lenny Kravitz
What A Girl Wants	Christina Aguilera
Shake Your Bon-Bon	Ricky Martin
There She Goes	Sixpence None The Richer
Get It On Tonite	Montell Jordan
Something Like That	Tim McGraw
Bug A Boo	Destiny's Child
Higher	Creed
Come On Over	Shania Twain
She's All I Ever Had	Ricky Martin
All Things Considered	Yankee Grey
I Want It All	Warren G Featuring Mack 10
Don't Say You Love Me	M2M
What Do You Say	Reba
Pop A Top	Alan Jackson
What Do You Say To That	George Strait
If I Could Turn Back The Hands Of Time	R. Kelly
The Chemicals Between Us	Bush
The Greatest Romance Ever Sold	Prince
Angels	Robbie Williams
Music Of My Heart	'N Sync & Gloria Estefan
Give You What You Want (Fa Sure)	Chico DeBarge
Cowboy Take Me Away	Dixie Chicks
Got To Get It	Sisqo Featuring Make It Hot
Take A Picture	Filter
Deep Inside	Mary J. Blige
My Best Friend	Tim McGraw
The Rockafeller Skank	Fatboy Slim
Candy	Mandy Moore
I'll Go Crazy	Andy Griggs
The Dolphin's Cry	Live
She Thinks My Tractor's Sexy	Kenny Chesney
I'm Already Taken	Steve Wariner
Guerrilla Radio	Rage Against The Machine
Caught Out There	Kelis
Steam	Ty Herndon
You Can Do It	Ice Cube Featuring Mack 10 & Ms. Toi
A Man Ain't Made Of Stone	Randy Travis
Sexual (Li Da Di)	Amber
All The Small Things	Blink-182
Rhythm Divine	Enrique Iglesias
Re-arranged	Limp Bizkit
NAStradamus	Nas
Still D.R.E.	Dr. Dre Featuring Snoop Dogg
N 2 Gether Now	Limp Bizkit Featuring Method Man
Live, Laugh, Love	Clay Walker
Beauty	Dru Hill
B-Please	Snoop Dogg Featuring Xzibit & Nate Dogg
Lonely And Gone	Montgomery Gentry
Tha Block Is Hot	Lil' Wayne Featuring Juvenile & B.G.
L.A. Song	Beth Hart
