Be With You	Enrique Iglesias
Try Again	Aaliyah
I Turn To You	Christina Aguilera
The Real Slim Shady	Eminem
I Wanna Know	Joe
Everything You Want	Vertical Horizon
It's Gonna Be Me	'N Sync
Bent	matchbox twenty
Higher	Creed
There You Go	P!nk
Breathe	Faith Hill
You Sang To Me	Marc Anthony
Absolutely (Story Of A Girl)	Nine Days
He Wasn't Man Enough	Toni Braxton
Oops!...I Did It Again	Britney Spears
I Try	Macy Gray
Thong Song	Sisqo
Big Pimpin'	Jay-Z Featuring UGK
Back Here	BBMak
Swear It Again	Westlife
Maria Maria	Santana Featuring The Product G&B
Jumpin', Jumpin'	Destiny's Child
Separated	Avant
Desert Rose	Sting Featuring Cheb Mami
Wifey	Next
Let's Get Married	Jagged Edge
Yes!	Chad Brock
I Wish	Carl Thomas
Where I Wanna Be	Donell Jones
Doesn't Really Matter	Janet
Amazed	Lonestar
The Next Episode	Dr. Dre Featuring Snoop Dogg
Broadway	Goo Goo Dolls
Say My Name	Destiny's Child
I Hope You Dance	Lee Ann Womack
Smooth	Santana Featuring Rob Thomas
(Hot S**t) Country Grammar	Nelly
No More	Ruff Endz
The One	Backstreet Boys
Simple Kind Of Life	No Doubt
What'Chu Like	Da Brat Featuring Tyrese
Dance Tonight	Lucy Pearl
Purest Of Pain (A Puro Dolor)	Son By Four
Kryptonite	3 Doors Down
Otherside	Red Hot Chili Peppers
Party Up (Up In Here)	DMX
Crash And Burn	Savage Garden
Crybaby	Mariah Carey Featuring Snoop Dogg
Better Off Alone	Alice Deejay
I Wanna Be With You	Mandy Moore
Unconditional	Clay Davidson
I Think I'm In Love With You	Jessica Simpson
Couldn't Last A Moment	Collin Raye
Prayin' For Daylight	Rascal Flatts
I'll Be	Reba McEntire
What About Now	Lonestar
The Chain Of Love	Clay Walker
Some Things Never Change	Tim McGraw
I Need You	LeAnn Rimes
I Will Love Again	Lara Fabian
Incomplete	Sisqo
I Think God Can Explain	Splender
That's The Way	Jo Dee Messina
Whatever	Ideal Featuring Lil' Mo
Flowers On The Wall	Eric Heatherly
The Way You Love Me	Faith Hill
Could I Have This Kiss Forever	Whitney Houston & Enrique Iglesias
It Must Be Love	Alan Jackson
With Arms Wide Open	Creed
Shackles (Praise You)	Mary Mary
Same Script, Different Cast	Whitney Houston & Deborah Cox
One Voice	Billy Gilman
She's More	Andy Griggs
Taking You Home	Don Henley
Wobble Wobble	504 Boyz
Cold Day In July	Dixie Chicks
Wonderful	Everclear
I Disappear	Metallica
Sour Girl	Stone Temple Pilots
What I Need To Do	Kenny Chesney
Best Of Me	Mya Featuring Jadakiss
Mirror Mirror	M2M
You'll Always Be Loved By Me	Brooks & Dunn
Buy Me A Rose	Kenny Rogers With Alison Krauss & Billy Dean
When You Need My Love	Darryl Worley
Take That	Torrey Carter Featuring Missy "Misdemeanor" Elliott
Shut Up	Trick Daddy Featuring Duece Poppito, Trina, Co
It's So Hard	Big Punisher Featuring Donell Jones
Someday Out Of The Blue	Elton John
3 Little Words	Nu Flavor
Monica	Before Dark
More	Trace Adkins
Carlene	Phil Vassar
Faded	SoulDecision Featuring Thrust
What You Want	DMX Featuring Sisqo
You Owe Me	NAS Featuring Ginuwine
Dancing Queen	A*Teens
Don't Call Me Baby	Madison Avenue
Got Beef	Snoop Dogg Presents Tha Eastsidaz Featuring Jayo Felony And Blaqthoven
Riddle	En Vogue
