Music	Madonna
Doesn't Really Matter	Janet
Jumpin', Jumpin'	Destiny's Child
Bent	matchbox twenty
Incomplete	Sisqo
Kryptonite	3 Doors Down
(Hot S**t) Country Grammar	Nelly
I Wanna Know	Joe
Come On Over Baby (All I Want Is You)	Christina Aguilera
No More	Ruff Endz
With Arms Wide Open	Creed
Wifey	Next
He Wasn't Man Enough	Toni Braxton
Absolutely (Story Of A Girl)	Nine Days
Most Girls	P!nk
I Need You	LeAnn Rimes
Back Here	BBMak
It's Gonna Be Me	'N Sync
Give Me Just One Night (Una Noche)	98 Degrees
Bounce With Me	Lil Bow Wow Featuring Xscape
Higher	Creed
Shake Ya Ass	Mystikal
Try Again	Aaliyah
Let's Get Married	Jagged Edge
Wonderful	Everclear
Desert Rose	Sting Featuring Cheb Mami
Faded	SoulDecision Featuring Thrust
That's The Way	Jo Dee Messina
Everything You Want	Vertical Horizon
Lucky	Britney Spears
Case Of The Ex (Whatcha Gonna Do)	Mya
Liar	Profyle
Don't Think I'm Not	Kandi
Just Be A Man About It	Toni Braxton
Aaron's Party (Come Get It)	Aaron Carter
It's My Life	Bon Jovi
You're A God	Vertical Horizon
Breathe	Faith Hill
Purest Of Pain (A Puro Dolor)	Son By Four
You Sang To Me	Marc Anthony
There You Go	P!nk
Bag Lady	Erykah Badu
What About Now	Lonestar
I Will...But	SHeDAISY
Callin' Me	Lil' Zane Featuring 112
The Way You Love Me	Faith Hill
It Must Be Love	Alan Jackson
Dance With Me	Debelah Morgan
What You Want	DMX Featuring Sisqo
The Next Episode	Dr. Dre Featuring Snoop Dogg
The Light	Common
Kiss This	Aaron Tippin
Go On	George Strait
Who Let The Dogs Out	Baha Men
Your Everything	Keith Urban
Best Of Intentions	Travis Tritt
I Think I'm In Love With You	Jessica Simpson
Country Comes To Town	Toby Keith
The Way I Am	Eminem
Let's Make Love	Faith Hill With Tim McGraw
One Voice	Billy Gilman
What'Chu Like	Da Brat Featuring Tyrese
It's Always Somethin'	Joe Diffie
The Little Girl	John Michael Montgomery
Gotta Tell You	Samantha Mumba
Last Resort	Papa Roach
Treat Her Like A Lady	Joe
Open My Heart	Yolanda Adams
Pinch Me	Barenaked Ladies
Deep Inside Of You	Third Eye Blind
You'll Always Be Loved By Me	Brooks & Dunn
I Hope You Dance	Lee Ann Womack
Feels Like Love	Vince Gill
Between Me And You	Ja Rule Featuring Christina Milian
There You Are	Martina McBride
My Baby You	Marc Anthony
I Wanna Be With You	Mandy Moore
Independent Women Part I	Destiny's Child
Can't Fight The Moonlight	LeAnn Rimes
Hey Papi	Jay-Z Featuring Memphis Bleek & Amil
Whatever	Ideal Featuring Lil' Mo
Summer Rain	Carl Thomas
Taking You Home	Don Henley
Change Your Mind	Sister Hazel
Californication	Red Hot Chili Peppers
Can't Go For That	Tamia
Could I Have This Kiss Forever	Whitney Houston & Enrique Iglesias
Don't Call Me Baby	Madison Avenue
I Will Love Again	Lara Fabian
Bad Boyz	Shyne Featuring Barrington Levy
You Should've Told Me	Kelly Price
Dance Tonight	Lucy Pearl
That's The Kind Of Mood I'm In	Patty Loveless
Sour Girl	Stone Temple Pilots
I Disappear	Metallica
Pull Over	Trina
You Won't Be Lonely Now	Billy Ray Cyrus
Simple Kind Of Life	No Doubt
Ta Da	Lil' Mo
I'll Be	Reba McEntire
