Independent Women Part I	Destiny's Child
It Wasn't Me	Shaggy Feat. Ricardo "RikRok" Ducent
He Loves U Not	Dream
Love Don't Cost A Thing	Jennifer Lopez
If You're Gone	matchbox twenty
Again	Lenny Kravitz
Ms. Jackson	OutKast
Case Of The Ex (Whatcha Gonna Do)	Mya
With Arms Wide Open	Creed
The Way You Love Me	Faith Hill
Stronger	Britney Spears
This I Promise You	'N Sync
Stutter	Joe Featuring Mystikal
Kryptonite	3 Doors Down
I Just Wanna Love U (Give It 2 Me)	JAY-Z
Don't Tell Me	Madonna
Put It On Me	Ja Rule Featuring Lil' Mo & Vita
Crazy For This Girl	Evan And Jaron
Danger (Been So Long)	Mystikal Featuring Nivea
I Wish	R. Kelly
Beautiful Day	U2
E.I.	Nelly
Crazy	K-Ci & JoJo
Angel	Shaggy Featuring Rayvon
Dance With Me	Debelah Morgan
Most Girls	P!nk
Liquid Dreams	O-Town
I Hope You Dance	Lee Ann Womack
Gotta Tell You	Samantha Mumba
Hemorrhage (In My Hands)	Fuel
Shape Of My Heart	Backstreet Boys
No More (Baby I'ma Do Right)	3LW
Promise	Jagged Edge
What's Your Fantasy	Ludacris Featuring Shawnna
Bow Wow (That's My Name)	Lil Bow Wow
South Side	Moby Featuring Gwen Stefani
Without You	Dixie Chicks
My First Love	Avant Featuring KeKe Wyatt
My Next Thirty Years	Tim McGraw
My Everything	98 Degrees
Just Friends (Sunny)	Musiq
Born To Fly	Sara Evans
Tell Her	Lonestar
Pinch Me	Barenaked Ladies
Butterfly	Crazy Town
So In Love With Two	Mikaila
Ashes By Now	Lee Ann Womack
There Is No Arizona	Jamie O'Neal
You Make Me Sick	P!nk
One Woman Man	Dave Hollister
Burn	Jo Dee Messina
Emotional	Carl Thomas
Between Me And You	Ja Rule Featuring Christina Milian
You Shouldn't Kiss Me Like This	Toby Keith
But For The Grace Of God	Keith Urban
It's Over Now	112
Thank You	Dido
Jaded	Aerosmith
Babylon	David Gray
I Lost It	Kenny Chesney
Still On Your Side	BBMak
Project Chick	Cash Money Millionaires
Stranger In My House	Tamia
We Danced	Brad Paisley
Wild Horses	Garth Brooks
Nobody Wants To Be Lonely	Ricky Martin Duet With Christina Aguilera
This Everyday Love	Rascal Flatts
Southern Hospitality	Ludacris
Mamacita	Public Announcement
Just Another Day In Paradise	Phil Vassar
Is That Your Chick	Memphis Bleek Featuring Jay-Z & Missy Elliott
Loser	3 Doors Down
Could It Be	Jaheim
One More Day	Diamond Rio
By Your Side	Sade
I Did It	Dave Matthews Band
www.memory	Alan Jackson
X	Xzibit
Who I Am	Jessica Andrews
911	Wyclef Jean Featuring Mary J. Blige
Breathless	The Corrs
Outside	Aaron Lewis Of Staind With Fred Durst
A Good Day To Run	Darryl Worley
After Party	Koffee Brown
Meanwhile Back At The Ranch	The Clark Family Experience
Rollin'	Limp Bizkit
Cha-Cha Slide	Mr. C The Slide Man
Stan	Eminem Featuring Dido
Lady (Hear Me Tonight)	Modjo
My Baby You	Marc Anthony
Oh No	Mos Def & Pharoahe Monch Featuring Nate Dogg
She Bangs	Ricky Martin
You Should've Told Me	Kelly Price
Oklahoma	Billy Gilman
Girls Dem Sugar	Beenie Man Featuring Mya
How Many Licks?	Lil' Kim Featuring Sisqo
Soul Sista	Bilal
Georgia	Carolyn Dawn Johnson
Liar	Profyle
The Itch	Vitamin C
