Stutter	Joe Featuring Mystikal
It Wasn't Me	Shaggy Feat. Ricardo "RikRok" Ducent
Love Don't Cost A Thing	Jennifer Lopez
Again	Lenny Kravitz
Ms. Jackson	OutKast
Don't Tell Me	Madonna
Angel	Shaggy Featuring Rayvon
If You're Gone	matchbox twenty
Put It On Me	Ja Rule Featuring Lil' Mo & Vita
Independent Women Part I	Destiny's Child
He Loves U Not	Dream
Butterfly	Crazy Town
Nobody Wants To Be Lonely	Ricky Martin Duet With Christina Aguilera
I Hope You Dance	Lee Ann Womack
Crazy	K-Ci & JoJo
The Way You Love Me	Faith Hill
With Arms Wide Open	Creed
Crazy For This Girl	Evan And Jaron
Promise	Jagged Edge
Jaded	Aerosmith
Danger (Been So Long)	Mystikal Featuring Nivea
Kryptonite	3 Doors Down
Thank You	Dido
Case Of The Ex (Whatcha Gonna Do)	Mya
Southern Hospitality	Ludacris
Beautiful Day	U2
No More (Baby I'ma Do Right)	3LW
I Just Wanna Love U (Give It 2 Me)	JAY-Z
South Side	Moby Featuring Gwen Stefani
This I Promise You	'N Sync
Could It Be	Jaheim
Hemorrhage (In My Hands)	Fuel
You Make Me Sick	P!nk
Around The World (La La La La La)	ATC
Liquid Dreams	O-Town
You Shouldn't Kiss Me Like This	Toby Keith
But For The Grace Of God	Keith Urban
Stranger In My House	Tamia
It's Over Now	112
There Is No Arizona	Jamie O'Neal
One More Day	Diamond Rio
Burn	Jo Dee Messina
Stronger	Britney Spears
Who I Am	Jessica Andrews
Ashes By Now	Lee Ann Womack
Free	Mya
What's Your Fantasy	Ludacris Featuring Shawnna
I Wish	R. Kelly
A Long Walk	Jill Scott
Wild Horses	Garth Brooks
One Woman Man	Dave Hollister
After Party	Koffee Brown
Hanging By A Moment	Lifehouse
Breathless	The Corrs
My Everything	98 Degrees
The Call	Backstreet Boys
Ride Wit Me	Nelly Featuring City Spud
My Next Thirty Years	Tim McGraw
Tell Her	Lonestar
Outside	Aaron Lewis Of Staind With Fred Durst
Who's That Girl?	Eve
This Everyday Love	Rascal Flatts
If My Heart Had Wings	Faith Hill
My First Love	Avant Featuring KeKe Wyatt
Love	Musiq Soulchild
Thank You For Loving Me	Bon Jovi
Drive	Incubus
Just Friends (Sunny)	Musiq
Emotional	Carl Thomas
Shape Of My Heart	Backstreet Boys
Babylon	David Gray
Don't Talk	Jon B
Loser	3 Doors Down
Just Another Girl	Monica
I Did It	Dave Matthews Band
One Step Closer	Linkin Park
Project Chick	Cash Money Millionaires
A Good Day To Run	Darryl Worley
Missing You	Case
Is That Your Chick	Memphis Bleek Featuring Jay-Z & Missy Elliott
Born To Fly	Sara Evans
Lady (Hear Me Tonight)	Modjo
Soul Sista	Bilal
So In Love With Two	Mikaila
Pour Me	Trick Pony
We Danced	Brad Paisley
One More Time	Daft Punk
Cha-Cha Slide	Mr. C The Slide Man
I Lost It	Kenny Chesney
Snoop Dogg	Snoop Dogg
X	Xzibit
Still On Your Side	BBMak
Oh No	Mos Def & Pharoahe Monch Featuring Nate Dogg
Get Crunked Up	Iconz Featuring Tony Manshino
By Your Side	Sade
Rollin'	Limp Bizkit
You All Dat	Baha Men With Imani Coppola
Change The Game	Jay-Z, Beanie Sigel And Memphis Bleek
Look At Us	Sarina Paris
Georgia	Carolyn Dawn Johnson
