Butterfly	Crazy Town
All For You	Janet
Angel	Shaggy Featuring Rayvon
Survivor	Destiny's Child
Again	Lenny Kravitz
Thank You	Dido
Jaded	Aerosmith
Get Over Yourself	Eden's Crush
Stutter	Joe Featuring Mystikal
Put It On Me	Ja Rule Featuring Lil' Mo & Vita
Crazy	K-Ci & JoJo
Promise	Jagged Edge
If You're Gone	matchbox twenty
Hanging By A Moment	Lifehouse
Love Don't Cost A Thing	Jennifer Lopez
Nobody Wants To Be Lonely	Ricky Martin Duet With Christina Aguilera
Ride Wit Me	Nelly Featuring City Spud
Bizounce	Olivia
South Side	Moby Featuring Gwen Stefani
Don't Tell Me	Madonna
I Hope You Dance	Lee Ann Womack
It Wasn't Me	Shaggy Feat. Ricardo "RikRok" Ducent
No More (Baby I'ma Do Right)	3LW
Love	Musiq Soulchild
Heard It All Before	Sunshine Anderson
Never Had A Dream Come True	S Club 7
The Way You Love Me	Faith Hill
Who I Am	Jessica Andrews
One More Day	Diamond Rio
Crazy For This Girl	Evan And Jaron
Oochie Wally	QB Finest Featuring Nas & Bravehearts
Follow Me	Uncle Kracker
It's Over Now	112
Breathless	The Corrs
Ms. Jackson	OutKast
Southern Hospitality	Ludacris
Missing You	Case
What Would You Do?	City High
Danger (Been So Long)	Mystikal Featuring Nivea
I'm Like A Bird	Nelly Furtado
It's A Great Day To Be Alive	Travis Tritt
You Shouldn't Kiss Me Like This	Toby Keith
If My Heart Had Wings	Faith Hill
Could It Be	Jaheim
Around The World (La La La La La)	ATC
He Loves U Not	Dream
Ain't Nothing 'Bout You	Brooks & Dunn
Free	Mya
Kryptonite	3 Doors Down
A Long Walk	Jill Scott
After Party	Koffee Brown
If I Fall You're Going Down With Me	Dixie Chicks
Stranger In My House	Tamia
So Fresh, So Clean	OutKast
Who's That Girl?	Eve
Don't Happen Twice	Kenny Chesney
Drops Of Jupiter (Tell Me)	Train
But For The Grace Of God	Keith Urban
Get Ur Freak On	Missy "Misdemeanor" Elliott
Grown Men Don't Cry	Tim McGraw
She Misses Him	Tim Rushlow
Maybe I Deserve	Tank
Request Line	The Black Eyed Peas Featuring Macy Gray
Bow Wow (That's My Name)	Lil Bow Wow
Best I Ever Had (Grey Sky Morning)	Vertical Horizon
One More Time	Daft Punk
Mrs. Steven Rudy	Mark McGuinn
Yellow	Coldplay
Outside	Aaron Lewis Of Staind With Fred Durst
Drive	Incubus
Pour Me	Trick Pony
Fiesta	R. Kelly Featuring Jay-Z
Lay Low	Snoop Dogg Featuring Master P, Nate Dogg, Butch Cassidy & Tha Eastsidaz
Look At Us	Sarina Paris
Don't Talk	Jon B
Play	Jennifer Lopez
Take It To Da House	Trick Daddy Featuring The SNS Express
Video	India.Arie
Just Another Girl	Monica
You Make Me Sick	P!nk
Soul Sista	Bilal
There It Is	Ginuwine
Right Where I Need To Be	Gary Allan
There Is No Arizona	Jamie O'Neal
One Step Closer	Linkin Park
Too Little Too Late	Barenaked Ladies
I Like Them Girls	Tyrese
Superwoman Pt. II	Lil' Mo Featuring Fabolous
Burn	Jo Dee Messina
Lady (Hear Me Tonight)	Modjo
One Woman Man	Dave Hollister
Chickenhead	Project Pat
Thank You For Loving Me	Bon Jovi
She Couldn't Change Me	Montgomery Gentry
My Everything	98 Degrees
La Bomba	Azul Azul
Guilty Until Proven Innocent	Jay-Z Featuring R. Kelly
I Did It	Dave Matthews Band
Emotional	Carl Thomas
Change The Game	Jay-Z, Beanie Sigel And Memphis Bleek
