All For You	Janet
Survivor	Destiny's Child
Lady Marmalade	Christina Aguilera, Lil' Kim, Mya & P!nk
Hanging By A Moment	Lifehouse
Ride Wit Me	Nelly Featuring City Spud
Follow Me	Uncle Kracker
Thank You	Dido
What Would You Do?	City High
I'm Like A Bird	Nelly Furtado
Get Ur Freak On	Missy "Misdemeanor" Elliott
Angel	Shaggy Featuring Rayvon
Missing You	Case
Stutter	Joe Featuring Mystikal
South Side	Moby Featuring Gwen Stefani
Peaches & Cream	112
Fiesta	R. Kelly Featuring Jay-Z
Drops Of Jupiter (Tell Me)	Train
Never Had A Dream Come True	S Club 7
My Baby	Lil' Romeo
Let Me Blow Ya Mind	Eve Featuring Gwen Stefani
Play	Jennifer Lopez
Superwoman Pt. II	Lil' Mo Featuring Fabolous
What It Feels Like For A Girl	Madonna
Again	Lenny Kravitz
Heard It All Before	Sunshine Anderson
Ain't Nothing 'Bout You	Brooks & Dunn
I Hope You Dance	Lee Ann Womack
If You're Gone	matchbox twenty
Drive	Incubus
Put It On Me	Ja Rule Featuring Lil' Mo & Vita
Grown Men Don't Cry	Tim McGraw
Love	Musiq Soulchild
Don't Happen Twice	Kenny Chesney
Butterfly	Crazy Town
Jaded	Aerosmith
So Fresh, So Clean	OutKast
It's A Great Day To Be Alive	Travis Tritt
If I Fall You're Going Down With Me	Dixie Chicks
Oochie Wally	QB Finest Featuring Nas & Bravehearts
Stranger In My House	Tamia
Get Over Yourself	Eden's Crush
Maybe I Deserve	Tank
Crazy	K-Ci & JoJo
Mrs. Steven Rudy	Mark McGuinn
I'm Already There	Lonestar
There You'll Be	Faith Hill
Right Where I Need To Be	Gary Allan
The Way You Love Me	Faith Hill
Mad Season	matchbox twenty
Irresistible	Jessica Simpson
Take It To Da House	Trick Daddy Featuring The SNS Express
I Could Not Ask For More	Sara Evans
One More Day	Diamond Rio
It's Been Awhile	Staind
Bizounce	Olivia
This Is Me	Dream
Yellow	Coldplay
If You Can Do Anything Else	George Strait
I Like Them Girls	Tyrese
I Cry	Ja Rule Featuring Lil' Mo
Lay Low	Snoop Dogg Featuring Master P, Nate Dogg, Butch Cassidy & Tha Eastsidaz
Look At Us	Sarina Paris
Who I Am	Jessica Andrews
Baby, Come Over (This Is Our Night)	Samantha Mumba
She Couldn't Change Me	Montgomery Gentry
Until The End Of Time	2Pac
Video	India.Arie
More Than That	Backstreet Boys
When Somebody Loves You	Alan Jackson
Breathless	The Corrs
Hit 'Em Up Style (Oops!)	Blu Cantrell
Two People Fell In Love	Brad Paisley
Nobody Wants To Be Lonely	Ricky Martin Duet With Christina Aguilera
Southern Hospitality	Ludacris
My Way	Limp Bizkit
Wait A Minute	Ray J Featuring Lil' Kim
Can't Believe	Faith Evans Featuring Carl Thomas
A Long Walk	Jill Scott
The Space Between	Dave Matthews Band
Let's Get It	Three The... G. Dep, P. Diddy & Black Rob
Everybody Doesn't	Amanda
There It Is	Ginuwine
Imitation Of Life	R.E.M.
La Bomba	Azul Azul
Dream On	Depeche Mode
Around The World (La La La La La)	ATC
Angel	Lionel Richie
Who's That Girl?	Eve
Best I Ever Had (Grey Sky Morning)	Vertical Horizon
There She Goes	Babyface
If My Heart Had Wings	Faith Hill
Puppy Love	Lil Bow Wow Featuring Jagged Edge
One Step Closer	Linkin Park
After Party	Koffee Brown
Outside	Aaron Lewis Of Staind With Fred Durst
Guilty Until Proven Innocent	Jay-Z Featuring R. Kelly
She Misses Him	Tim Rushlow
Austin	Blake Shelton
One More Time	Daft Punk
Let's Get Dirty (I Can't Get In Da Club)	Redman Featuring DJ Kool
