Bootylicious	Destiny's Child
Loverboy	Mariah Carey Featuring Cameo
Hit 'Em Up Style (Oops!)	Blu Cantrell
All Or Nothing	O-Town
U Remind Me	Usher
Let Me Blow Ya Mind	Eve Featuring Gwen Stefani
Drops Of Jupiter (Tell Me)	Train
Hanging By A Moment	Lifehouse
Peaches & Cream	112
Fallin'	Alicia Keys
Where The Party At	Jagged Edge With Nelly
I'm Real	Jennifer Lopez Featuring Ja Rule
It's Been Awhile	Staind
Drive	Incubus
What Would You Do?	City High
When It's Over	Sugar Ray
Someone To Call My Lover	Janet
Fill Me In	Craig David
Purple Hills	D12
Get Ur Freak On	Missy "Misdemeanor" Elliott
Irresistible	Jessica Simpson
I Wanna Be Bad	Willa Ford
Follow Me	Uncle Kracker
Lady Marmalade	Christina Aguilera, Lil' Kim, Mya & P!nk
Ride Wit Me	Nelly Featuring City Spud
Take You Out	Luther Vandross
She's All I Got	Jimmy Cozier
Music	Erick Sermon Featuring Marvin Gaye
Superwoman Pt. II	Lil' Mo Featuring Fabolous
Austin	Blake Shelton
The Space Between	Dave Matthews Band
Fiesta	R. Kelly Featuring Jay-Z
Contagious	The Isley Brothers Featuring Ronald Isley
Here's To The Night	Eve 6
Thank You	Dido
One Minute Man	Missy "Misdemeanor" Elliott
I'm Already There	Lonestar
When I Think About Angels	Jamie O'Neal
She Couldn't Change Me	Montgomery Gentry
Izzo (H.O.V.A.)	JAY-Z
Flavor Of The Weak	American Hi-Fi
I'm Like A Bird	Nelly Furtado
All For You	Janet
I'm Just Talkin' About Tonight	Toby Keith
More Than That	Backstreet Boys
I Do!!	Toya
If You're Gone	matchbox twenty
I Hope You Dance	Lee Ann Womack
There You'll Be	Faith Hill
Wait A Minute	Ray J Featuring Lil' Kim
Where The Blacktop Ends	Keith Urban
Area Codes	Ludacris Featuring Nate Dogg
Family Affair	Mary J. Blige
What I Really Meant To Say	Cyndi Thomson
Pop	'N Sync
I'm A Believer	Smash Mouth
Two People Fell In Love	Brad Paisley
Just In Case	Jaheim
Can't Believe	Faith Evans Featuring Carl Thomas
Bad Boy For Life	P. Diddy, Black Rob & Mark Curry
Downtime	Jo Dee Messina
The Way	Jill Scott
Start The Commotion	The Wiseguys
This Is Me	Dream
Only Time	Enya
Bad Day	Fuel
What It Is	Violator Featuring Busta Rhymes
We Need A Resolution	Aaliyah Featuring Timbaland
Only In America	Brooks & Dunn
There She Goes	Babyface
I'm A Thug	Trick Daddy
Be Like That	3 Doors Down
I Could Not Ask For More	Sara Evans
The Rock Show	Blink-182
Differences	Ginuwine
My Baby	Lil' Romeo
Laredo	Chris Cagle
Schism	Tool
Grown Men Don't Cry	Tim McGraw
While You Loved Me	Rascal Flatts
I Would've Loved You Anyway	Trisha Yearwood
Why They Call It Falling	Lee Ann Womack
Play	Jennifer Lopez
Mad Season	matchbox twenty
Miss California	Dante Thomas Featuring Pras
I Cry	Ja Rule Featuring Lil' Mo
When Somebody Loves You	Alan Jackson
Can't Deny It	Fabolous Featuring Nate Dogg
Right Where I Need To Be	Gary Allan
Just A Baby Boy	Snoop Dogg Featuring Tyrese & Mr. Tan
I Like Them Girls	Tyrese
Sandstorm	Darude
If You Can Do Anything Else	George Strait
Baby, Come Over (This Is Our Night)	Samantha Mumba
I'll Fly With You (L'amour Toujours)	Gigi D'Agostino
La Bomba	Azul Azul
On A Night Like This	Trick Pony
My Projects	Coo Coo Cal
Castles In The Sky	Ian Van Dahl Featuring Marsha
Angel	Lionel Richie
