How You Remind Me	Nickelback
U Got It Bad	Usher
Family Affair	Mary J. Blige
Get The Party Started	P!nk
Always On Time	Ja Rule Featuring Ashanti
My Sacrifice	Creed
Whenever, Wherever	Shakira
Hero	Enrique Iglesias
Differences	Ginuwine
A Woman's Worth	Alicia Keys
Livin' It Up	Ja Rule Featuring Case
Gone	'N Sync
Wherever You Will Go	The Calling
Rock The Boat	Aaliyah
In The End	Linkin Park
I Do!!	Toya
Turn Off The Light	Nelly Furtado
We Thuggin'	Fat Joe Featuring R. Kelly
Butterflies	Michael Jackson
Hey Baby	No Doubt Featuring Bounty Killer
Superman (It's Not Easy)	Five For Fighting
Caramel	City High Featuring Eve
Only Time	Enya
Where The Stars And Stripes And The Eagle Fly	Aaron Tippin
#1	Nelly
I'm Real	Jennifer Lopez Featuring Ja Rule
7 Days	Craig David
Roll Out (My Business)	Ludacris
Fallin'	Alicia Keys
Break Ya Neck	Busta Rhymes
Son Of A Gun	Janet Featuring Missy Elliott, P. Diddy & Carly Simon
Emotion	Destiny's Child
It's Been Awhile	Staind
Standing Still	Jewel
Lights, Camera, Action!	Mr. Cheeks
Dig In	Lenny Kravitz
Hanging By A Moment	Lifehouse
Where Were You (When The World Stopped Turning)	Alan Jackson
The Whole World	OutKast Featuring Killer Mike
Bouncin' Back (Bumpin' Me Against The Wall)	Mystikal
Alive	P.O.D.
Drops Of Jupiter (Tell Me)	Train
Uh Huh	B2K
I Wanna Talk About Me	Toby Keith
Good Morning Beautiful	Steve Holy
Run	George Strait
Blurry	Puddle Of Mudd
No More Drama	Mary J. Blige
Can't Fight The Moonlight	LeAnn Rimes
Take Away	Missy "Misdemeanor" Elliott Featuring Ginuwine & Tweet
The World's Greatest	R. Kelly
Brotha	Angie Stone
Ain't It Funny	Jennifer Lopez Featuring Ja Rule
You Gets No Love	Faith Evans
Young'n (Holla Back)	Fabolous
I'm Tryin'	Trace Adkins
Lifetime	Maxwell
Welcome To Atlanta	Jermaine Dupri & Ludacris
Wrapped Around	Brad Paisley
Wrapped Up In You	Garth Brooks
Riding With Private Malone	David Ball
Round And Round	Jonell & Method Man
Wish You Were Here	Incubus
Everywhere	Michelle Branch
From Her Mama (Mama Got A**)	Juvenile
Girls, Girls, Girls	JAY-Z
Goodbye	Jagged Edge
Let's Stay Home Tonight	Joe
Don't You Forget It	Glenn Lewis
Bring On The Rain	Jo Dee Messina With Tim McGraw
Fade	Staind
Part II	Method Man & Redman
AM To PM	Christina Milian
Dance With Me	112
Nothing In This World	KeKe Wyatt Featuring Avant
Chop Suey	System Of A Down
Defy You	The Offspring
Wasting My Time	Default
The Long Goodbye	Brooks & Dunn
The Star Spangled Banner	Whitney Houston
God Bless The USA	Lee Greenwood
Stuck In A Moment You Can't Get Out Of	U2
Smooth Criminal	Alien Ant Farm
I'm A Slave 4 U	Britney Spears
Love Of A Woman	Travis Tritt
Control	Puddle Of Mudd
With Me	Lonestar
Love Of My Life	Brian McKnight
Fatty Girl	Ludacris, LL Cool J & Keith Murray
Ugly	Bubba Sparxxx
Got Ur Self A...	Nas
Never Too Far/Hero Medley	Mariah Carey
Drowning	Backstreet Boys
Where I Come From	Alan Jackson
Thank You	Lil Bow Wow Featuring Jagged Edge & Fundisha
Do U Wanna Roll (Dolittle Theme)	R.L., Snoop Dogg & Lil' Kim
Ooohhhwee	Master P Featuring Weebie
You Rock My World	Michael Jackson
What Am I Gonna Do	Tyrese
God Bless America	Daniel Rodriguez
