Foolish	Ashanti
What's Luv?	Fat Joe Featuring Ashanti
Ain't It Funny	Jennifer Lopez Featuring Ja Rule
U Don't Have To Call	Usher
Girlfriend	'N Sync Featuring Nelly
I Need A Girl (Part One)	P. Diddy Featuring Usher & Loon
Blurry	Puddle Of Mudd
Oops (Oh My)	Tweet
In The End	Linkin Park
A Thousand Miles	Vanessa Carlton
Don't Let Me Get Me	P!nk
Escape	Enrique Iglesias
Wherever You Will Go	The Calling
How You Remind Me	Nickelback
All You Wanted	Michelle Branch
Pass The Courvoisier Part II	Busta Rhymes Featuring P. Diddy & Pharrell
I Love You	Faith Evans
Can't Get You Out Of My Head	Kylie Minogue
Underneath Your Clothes	Shakira
Here Is Gone	Goo Goo Dolls
Always On Time	Ja Rule Featuring Ashanti
Saturday (Oooh! Ooooh!)	Ludacris Featuring Sleepy Brown
Wasting My Time	Default
A New Day Has Come	Celine Dion
Rainy Dayz	Mary J. Blige Featuring Ja Rule
The Middle	Jimmy Eat World
My List	Toby Keith
Makin' Good Love	Avant
Anything	Jaheim Featuring Next
Can't Fight The Moonlight	LeAnn Rimes
My Sacrifice	Creed
Youth Of The Nation	P.O.D.
Drive (For Daddy Gene)	Alan Jackson
More Than A Woman	Aaliyah
Young	Kenny Chesney
U Got It Bad	Usher
That's When I Love You	Phil Vassar
Lights, Camera, Action!	Mr. Cheeks
Uh Huh	B2K
Hella Good	No Doubt
I'm Movin' On	Rascal Flatts
The Whole World	OutKast Featuring Killer Mike
halfcrazy	Musiq
What If She's An Angel	Tommy Shane Steiner
Superman (It's Not Easy)	Five For Fighting
Hands Clean	Alanis Morissette
Family Affair	Mary J. Blige
Too Bad	Nickelback
Hero	Enrique Iglesias
Welcome To Atlanta	Jermaine Dupri & Ludacris
I Don't Have To Be Me ('til Monday)	Steve Azar
Living And Living Well	George Strait
Addictive	Truth Hurts Featuring Rakim
Blessed	Martina McBride
I Breathe In, I Breathe Out	Chris Cagle
The Cowboy In Me	Tim McGraw
Down A** Chick	Ja Rule Featuring Charli "Chuck" Baltimore
Oh Boy	Cam'Ron Featuring Juelz Santana
How Come You Don't Call Me	Alicia Keys
Modern Day Bonnie And Clyde	Travis Tritt
I Should Be Sleeping	Emerson Drive
Nothing In This World	KeKe Wyatt Featuring Avant
Roc The Mic	Beanie Sigel & Freeway
Awnaw	Nappy Roots
For You	Staind
Soak Up The Sun	Sheryl Crow
This Woman's Work	Maxwell
What About Us?	Brandy
I'm Gonna Be Alright	Jennifer Lopez Featuring Nas
One Mic	Nas
Video	India.Arie
Take Ya Home	Lil Bow Wow
Gots Ta Be	B2K
Feels Good (Don't Worry Bout A Thing)	Naughty By Nature Featuring 3LW
The Long Goodbye	Brooks & Dunn
Crawling In The Dark	Hoobastank
No More Drama	Mary J. Blige
That's Just Jessie	Kevin Denney
Wish I Didn't Miss You	Angie Stone
Never	Amanda Perez
Rapture (Tastes So Sweet)	iio
Any Other Night	Sharissa
You Know That I Love You	Donell Jones
Still Fly	Big Tymers
Take You Home With Me a.k.a. Body	R. Kelly & Jay-Z
It's Goin' Down	X-Ecutioners
Hey Luv (Anything)	Mobb Deep Featuring 112
Give It To Her	Tanto Metro & Devonte
Chop Suey	System Of A Down
No Matta What (Party All Night)	Toya
Tell Me What's It Gonna Be	Brian McKnight Featuring Jermaine Dupri
Some Days You Gotta Dance	Dixie Chicks
Overprotected	Britney Spears
Take A Message	Remy Shand
Song For The Lonely	Cher
Bouncin' Back (Bumpin' Me Against The Wall)	Mystikal
The World's Greatest	R. Kelly
Closet Freak	Cee-Lo
Be Here	Raphael Saadiq Featuring D'Angelo
Take Away	Missy "Misdemeanor" Elliott Featuring Ginuwine & Tweet
