Hot In Herre	Nelly
Without Me	Eminem
Complicated	Avril Lavigne
Hero	Chad Kroeger Featuring Josey Scott
I Need A Girl (Part Two)	P. Diddy & Ginuwine Featuring Loon, Mario Winans & Tammy Ruggeri
Oh Boy	Cam'Ron Featuring Juelz Santana
The Middle	Jimmy Eat World
Dilemma	Nelly Featuring Kelly Rowland
A Thousand Miles	Vanessa Carlton
I'm Gonna Be Alright	Jennifer Lopez Featuring Nas
Down 4 U	Irv Gotti Presents The Inc. Featuring Ja Rule, Ashanti, Charli Baltimore & Vita
Just A Friend 2002	Mario
Foolish	Ashanti
Still Fly	Big Tymers
Heaven	DJ Sammy & Yanou Featuring Do
Addictive	Truth Hurts Featuring Rakim
Happy	Ashanti
No Such Thing	John Mayer
Soak Up The Sun	Sheryl Crow
Nothin'	N.O.R.E.
Days Go By	Dirty Vegas
Just Like A Pill	P!nk
I Need A Girl (Part One)	P. Diddy Featuring Usher & Loon
What's Luv?	Fat Joe Featuring Ashanti
halfcrazy	Musiq
Full Moon	Brandy
Blurry	Puddle Of Mudd
The Good Stuff	Kenny Chesney
Gangsta Lovin'	Eve Featuring Alicia Keys
Courtesy Of The Red, White And Blue (The Angry American)	Toby Keith
Wasting My Time	Default
All You Wanted	Michelle Branch
Hella Good	No Doubt
Wherever You Will Go	The Calling
Call Me	Tweet
Not A Day Goes By	Lonestar
By The Way	Red Hot Chili Peppers
The One	Gary Allan
U Don't Have To Call	Usher
Grindin'	Clipse
Why Don't We Fall In Love	Amerie
Long Time Gone	Dixie Chicks
One Last Breath	Creed
Living And Living Well	George Strait
How You Remind Me	Nickelback
Move B***h	Ludacris Featuring Mystikal & Infamous 2.0
My Neck, My Back	Khia Featuring DSD
My Heart Is Lost To You	Brooks & Dunn
Don't Let Me Get Me	P!nk
I'm Gonna Miss Her (The Fishin' Song)	Brad Paisley
Walking Away	Craig David
Gots Ta Be	B2K
I Miss My Friend	Darryl Worley
Unbroken	Tim McGraw
Drive (For Daddy Gene)	Alan Jackson
When You Lie Next To Me	Kellie Coffey
Tonight I Wanna Be Your Man	Andy Griggs
Running Away	Hoobastank
Someone To Love You	Ruff Endz
Ten Rounds With Jose Cuervo	Tracy Byrd
You Know That I Love You	Donell Jones
Underneath Your Clothes	Shakira
Two Wrongs	Wyclef Jean Featuring Claudette Ortiz
Rainy Dayz	Mary J. Blige Featuring Ja Rule
Drift & Die	Puddle Of Mudd
Down A** Chick	Ja Rule Featuring Charli "Chuck" Baltimore
I Don't Have To Be Me ('til Monday)	Steve Azar
The Impossible	Joe Nichols
A Little Less Conversation	Elvis Presley vs JXL
I Keep Looking	Sara Evans
Where Are You Going	Dave Matthews Band
For All Time	Soluna
Love At First Sight	Kylie Minogue
Baby	Ashanti
Good Times	Styles
She Loves Me Not	Papa Roach
Gotta Get Thru This	Daniel Bedingfield
Makin' Good Love	Avant
Here Is Gone	Goo Goo Dolls
Way Of Life	Lil Wayne
Help Me Understand	Trace Adkins
Too Bad	Nickelback
If I Could Go!	Angie Martinez Featuring Lil' Mo & Sacario
What If A Woman	Joe
Give It To Her	Tanto Metro & Devonte
Hate To Say I Told You So	The Hives
Don't Say Goodbye	Paulina Rubio
Say I Yi Yi	Ying Yang Twins
I Should Be Sleeping	Emerson Drive
Tainted	Slum Village Featuring Dwele
In Da Wind	Trick Daddy Featuring Cee-Lo & Big Boi
Po' Folks	Nappy Roots Featuring Anthony Hamilton
Here To Stay	Korn
I've Got You	Marc Anthony
Quitame Ese Hombre	Pilar Montenegro
Feels Good (Don't Worry Bout A Thing)	Naughty By Nature Featuring 3LW
Gimme The Light	Sean Paul
Where Do We Go From Here	Filter
Toxicity	System Of A Down
Wish I Didn't Miss You	Angie Stone
