Dilemma	Nelly Featuring Kelly Rowland
Gangsta Lovin'	Eve Featuring Alicia Keys
Complicated	Avril Lavigne
Hot In Herre	Nelly
Cleanin' Out My Closet	Eminem
I Need A Girl (Part Two)	P. Diddy & Ginuwine Featuring Loon, Mario Winans & Tammy Ruggeri
Just A Friend 2002	Mario
Happy	Ashanti
One Last Breath	Creed
Just Like A Pill	P!nk
Nothin'	N.O.R.E.
Down 4 U	Irv Gotti Presents The Inc. Featuring Ja Rule, Ashanti, Charli Baltimore & Vita
Move B***h	Ludacris Featuring Mystikal & Infamous 2.0
Gotta Get Thru This	Daniel Bedingfield
No Such Thing	John Mayer
Heaven	DJ Sammy & Yanou Featuring Do
A Thousand Miles	Vanessa Carlton
Hero	Chad Kroeger Featuring Josey Scott
The Middle	Jimmy Eat World
If I Could Go!	Angie Martinez Featuring Lil' Mo & Sacario
Hey Ma	Cam'Ron Featuring Juelz Santana, Freekey Zekey & Toya
I'm Gonna Be Alright	Jennifer Lopez Featuring Nas
Long Time Gone	Dixie Chicks
The Good Stuff	Kenny Chesney
Good Times	Styles
Unbroken	Tim McGraw
Soak Up The Sun	Sheryl Crow
I Miss My Friend	Darryl Worley
Ten Rounds With Jose Cuervo	Tracy Byrd
Love At First Sight	Kylie Minogue
Feel It Boy	Beenie Man Featuring Janet
The Impossible	Joe Nichols
Still Fly	Big Tymers
I Care 4 U	Aaliyah
I Keep Looking	Sara Evans
Trade It All	Fabolous Featuring P. Diddy & Jagged Edge
Beautiful Mess	Diamond Rio
Ordinary Day	Vanessa Carlton
Underneath It All	No Doubt Featuring Lady Saw
Where Are You Going	Dave Matthews Band
Somebody Like You	Keith Urban
Why Don't We Fall In Love	Amerie
Cry	Faith Hill
By The Way	Red Hot Chili Peppers
Wherever You Will Go	The Calling
Like I Love You	Justin Timberlake
Without Me	Eminem
Stingy	Ginuwine
Two Wrongs	Wyclef Jean Featuring Claudette Ortiz
Foolish	Ashanti
Baby	Ashanti
Goodbye To You	Michelle Branch
Running Away	Hoobastank
Somewhere Out There	Our Lady Peace
Courtesy Of The Red, White And Blue (The Angry American)	Toby Keith
Out Of My Heart (Into Your Head)	BBMak
Po' Folks	Nappy Roots Featuring Anthony Hamilton
Aerials	System Of A Down
Luv U Better	LL Cool J
Burnin' Up	Faith Evans Featuring Missy "Misdemeanor" Elliott
Work In Progress	Alan Jackson
American Child	Phil Vassar
Objection (Tango)	Shakira
Big Machine	Goo Goo Dolls
I Do (Wanna Get Close To You)	3LW Featuring P. Diddy & Loon
She Was	Mark Chesnutt
Grindin'	Clipse
Where Would You Be	Martina McBride
Oh Yeah!	Big Tymers Featuring Tateeze, Boo & Gotti
dontchange	Musiq
In Da Wind	Trick Daddy Featuring Cee-Lo & Big Boi
Sk8er Boi	Avril Lavigne
Days Go By	Dirty Vegas
Gimme The Light	Sean Paul
Work It	Missy "Misdemeanor" Elliott
Sweetness	Jimmy Eat World
Flake	Jack Johnson
The Rising	Bruce Springsteen
Don't Mess With My Man	Nivea Featuring Brian & Brandon Casey
Walking Away	Craig David
Someone To Love You	Ruff Endz
All Eyez On Me	Monica
I'm Gonna Miss Her (The Fishin' Song)	Brad Paisley
She Loves Me Not	Papa Roach
When The Last Time	Clipse
The One	Gary Allan
I'd Rather	Luther Vandross
Drift & Die	Puddle Of Mudd
Love Of My Life (An Ode To Hip Hop)	Erykah Badu Featuring Common
Call Me	Tweet
Way Of Life	Lil Wayne
Tainted	Slum Village Featuring Dwele
My Friends Over You	New Found Glory
Full Moon	Brandy
I've Got You	Marc Anthony
Hate To Say I Told You So	The Hives
Steve McQueen	Sheryl Crow
Put Me Down	Donell Jones
My Neck, My Back	Khia Featuring DSD
Tonight I Wanna Be Your Man	Andy Griggs
