A Moment Like This	Kelly Clarkson
Dilemma	Nelly Featuring Kelly Rowland
Gangsta Lovin'	Eve Featuring Alicia Keys
Complicated	Avril Lavigne
Cleanin' Out My Closet	Eminem
One Last Breath	Creed
I Need A Girl (Part Two)	P. Diddy & Ginuwine Featuring Loon, Mario Winans & Tammy Ruggeri
Hey Ma	Cam'Ron Featuring Juelz Santana, Freekey Zekey & Toya
Just Like A Pill	P!nk
Move B***h	Ludacris Featuring Mystikal & Infamous 2.0
Work It	Missy "Misdemeanor" Elliott
Hot In Herre	Nelly
Gotta Get Thru This	Daniel Bedingfield
Happy	Ashanti
If I Could Go!	Angie Martinez Featuring Lil' Mo & Sacario
Nothin'	N.O.R.E.
Like I Love You	Justin Timberlake
Underneath It All	No Doubt Featuring Lady Saw
I Care 4 U	Aaliyah
Trade It All	Fabolous Featuring P. Diddy & Jagged Edge
Luv U Better	LL Cool J
Good Times	Styles
Sk8er Boi	Avril Lavigne
No Such Thing	John Mayer
A Thousand Miles	Vanessa Carlton
Heaven	DJ Sammy & Yanou Featuring Do
Baby	Ashanti
Just A Friend 2002	Mario
The Impossible	Joe Nichols
Beautiful Mess	Diamond Rio
Somebody Like You	Keith Urban
Goodbye To You	Michelle Branch
Down 4 U	Irv Gotti Presents The Inc. Featuring Ja Rule, Ashanti, Charli Baltimore & Vita
Ten Rounds With Jose Cuervo	Tracy Byrd
Cry	Faith Hill
Po' Folks	Nappy Roots Featuring Anthony Hamilton
Ordinary Day	Vanessa Carlton
Hero	Chad Kroeger Featuring Josey Scott
The Middle	Jimmy Eat World
Soak Up The Sun	Sheryl Crow
Gimme The Light	Sean Paul
Stingy	Ginuwine
Lose Yourself	Eminem
dontchange	Musiq
Somewhere Out There	Our Lady Peace
Running Away	Hoobastank
Where Are You Going	Dave Matthews Band
Dirrty	Christina Aguilera Featuring Redman
The Good Stuff	Kenny Chesney
I Miss My Friend	Darryl Worley
Work In Progress	Alan Jackson
By The Way	Red Hot Chili Peppers
Where Would You Be	Martina McBride
American Child	Phil Vassar
Objection (Tango)	Shakira
Oh Yeah!	Big Tymers Featuring Tateeze, Boo & Gotti
Aerials	System Of A Down
When The Last Time	Clipse
Landslide	Dixie Chicks
I Do (Wanna Get Close To You)	3LW Featuring P. Diddy & Loon
Don't Mess With My Man	Nivea Featuring Brian & Brandon Casey
Two Wrongs	Wyclef Jean Featuring Claudette Ortiz
My Town	Montgomery Gentry
I Keep Looking	Sara Evans
Unbroken	Tim McGraw
The Game Of Love	Santana Featuring Michelle Branch
These Days	Rascal Flatts
Burnin' Up	Faith Evans Featuring Missy "Misdemeanor" Elliott
Stole	Kelly Rowland
Prayer	Disturbed
She'll Leave You With A Smile	George Strait
Courtesy Of The Red, White And Blue (The Angry American)	Toby Keith
Don't Know Why	Norah Jones
Who's Your Daddy?	Toby Keith
Flake	Jack Johnson
Long Time Gone	Dixie Chicks
Electrical Storm	U2
Love At First Sight	Kylie Minogue
Sweetness	Jimmy Eat World
In Da Wind	Trick Daddy Featuring Cee-Lo & Big Boi
Big Machine	Goo Goo Dolls
Love Of My Life (An Ode To Hip Hop)	Erykah Badu Featuring Common
Grindin'	Clipse
Feel It Boy	Beenie Man Featuring Janet
Why Don't We Fall In Love	Amerie
I'd Rather	Luther Vandross
She Was	Mark Chesnutt
Steve McQueen	Sheryl Crow
My Friends Over You	New Found Glory
Walking Away	Craig David
The Rising	Bruce Springsteen
Little Things	India.Arie
Drift & Die	Puddle Of Mudd
The Streets	WC Featuring Nate Dogg
She Loves Me Not	Papa Roach
Call Me	Tweet
Are We Cuttin'	Pastor Troy Featuring Ms. Jade
When You Lie Next To Me	Kellie Coffey
I've Got You	Marc Anthony
Out Of My Heart (Into Your Head)	BBMak
