Lose Yourself	Eminem
Work It	Missy "Misdemeanor" Elliott
Jenny From The Block	Jennifer Lopez Featuring Styles & Jadakiss
Air Force Ones	Nelly Featuring Kyjuan, Ali & Murphy Lee
'03 Bonnie & Clyde	Jay-Z Featuring Beyonce Knowles
Underneath It All	No Doubt Featuring Lady Saw
The Game Of Love	Santana Featuring Michelle Branch
Don't Mess With My Man	Nivea Featuring Brian & Brandon Casey
Gimme The Light	Sean Paul
Beautiful	Christina Aguilera
Love Of My Life (An Ode To Hip Hop)	Erykah Badu Featuring Common
Bump, Bump, Bump	B2K & P. Diddy
Luv U Better	LL Cool J
She Hates Me	Puddle Of Mudd
Landslide	Dixie Chicks
Hey Ma	Cam'Ron Featuring Juelz Santana, Freekey Zekey & Toya
dontchange	Musiq
Dilemma	Nelly Featuring Kelly Rowland
When The Last Time	Clipse
One Last Breath	Creed
Die Another Day	Madonna
Who's Your Daddy?	Toby Keith
Your Body Is A Wonderland	John Mayer
Miss You	Aaliyah
Family Portrait	P!nk
I'm With You	Avril Lavigne
She'll Leave You With A Smile	George Strait
These Days	Rascal Flatts
Disease	matchbox twenty
Thugz Mansion	2Pac
Stole	Kelly Rowland
Like I Love You	Justin Timberlake
Fabulous	Jaheim Featuring Tha Rayne
19 Somethin'	Mark Wills
Ignition	R. Kelly
Complicated	Avril Lavigne
Somebody Like You	Keith Urban
I Should Be...	Dru Hill
Sk8er Boi	Avril Lavigne
Red Rag Top	Tim McGraw
React	Erick Sermon Featuring Redman
Thug Lovin'	Ja Rule Featuring Bobby Brown
All My Life	Foo Fighters
Cry Me A River	Justin Timberlake
Fall Into Me	Emerson Drive
Picture	Kid Rock Featuring Sheryl Crow Or Allison Moorer
Po' Folks	Nappy Roots Featuring Anthony Hamilton
Baby	Ashanti
When I'm Gone	3 Doors Down
Wanksta	50 Cent
I Care 4 U	Aaliyah
You Know You're Right	Nirvana
Lifestyles Of The Rich And Famous	Good Charlotte
Do That...	Baby Featuring P. Diddy
A Lot Of Things Different	Kenny Chesney
Talkin' To Me	Amerie
Satisfaction	Eve
Made You Look	Nas
I Just Wanna Be Mad	Terri Clark
The Baby	Blake Shelton
Beautiful Mess	Diamond Rio
Don't Know Why	Norah Jones
I'm Gonna Getcha Good!	Shania Twain
These Are The Days	O-Town
A Moment Like This	Kelly Clarkson
Always	Saliva
Something	Lasgo
Make It Clap	Busta Rhymes Featuring Spliff Star
Paradise	LL Cool J Featuring Amerie
The Zephyr Song	Red Hot Chili Peppers
Somewhere Out There	Our Lady Peace
Bother	Stone Sour
Cochise	Audioslave
Prayer	Disturbed
The Red	Chevelle
Girl Talk	TLC
From Tha Chuuuch To Da Palace	Snoop Dogg
Cry	Faith Hill
In A Little While	Uncle Kracker
Every River	Brooks & Dunn
One Of Those Days	Whitney Houston
Spin	Lifehouse
Dirrty	Christina Aguilera Featuring Redman
Single For The Rest Of My Life	Isyss
Sick Of Being Lonely	Field Mob
Hit The Freeway	Toni Braxton Featuring Loon
My Town	Montgomery Gentry
Goodbye To You	Michelle Branch
Aerials	System Of A Down
Rock The Party	Benzino
The Streets	WC Featuring Nate Dogg
Ordinary Day	Vanessa Carlton
Oh Yeah!	Big Tymers Featuring Tateeze, Boo & Gotti
Work In Progress	Alan Jackson
Come Into My World	Kylie Minogue
Thug Holiday	Trick Daddy Featuring LaTocha Scott
Where Would You Be	Martina McBride
I'd Rather	Luther Vandross
Come Close To Me	Common Featuring Mary J. Blige
Little Things	India.Arie
