This Is The Night	Clay Aiken
Flying Without Wings	Ruben Studdard
21 Questions	50 Cent Featuring Nate Dogg
Get Busy	Sean Paul
Magic Stick	Lil' Kim Featuring 50 Cent
Crazy In Love	Beyonce Featuring Jay Z
I Know What You Want	Busta Rhymes & Mariah Carey Featuring The Flipmode Squad
Bring Me To Life	Evanescence Featuring Paul McCoy
Rock Wit U (Awww Baby)	Ashanti
Unwell	matchbox twenty
So Gone	Monica
Can't Let You Go	Fabolous Featuring Mike Shorey & Lil' Mo
Ignition	R. Kelly
Rock Your Body	Justin Timberlake
Drift Away	Uncle Kracker Featuring Dobie Gray
Miss Independent	Kelly Clarkson
When I'm Gone	3 Doors Down
No Letting Go	Wayne Wonder
Don't Wanna Try	Frankie J
In Da Club	50 Cent
Right Thurr	Chingy
Beer For My Horses	Toby Keith Duet With Willie Nelson
My Front Porch Looking In	Lonestar
Never Leave You - Uh Ooh, Uh Oooh!	Lumidee
Snake	R. Kelly Featuring Big Tigger
Never Scared	Bone Crusher Featuring Killer Mike & T.I.
Intuition	Jewel
If You're Not The One	Daniel Bedingfield
Fighter	Christina Aguilera
P.I.M.P.	50 Cent
Put That Woman First	Jaheim
Picture	Kid Rock Featuring Sheryl Crow Or Allison Moorer
In Those Jeans	Ginuwine
Into You	Fabolous Featuring Tamia Or Ashanti
Are You Happy Now?	Michelle Branch
Where Is The Love?	The Black Eyed Peas
Stay Gone	Jimmy Wayne
Pump It Up	Joe Budden
Like A Stone	Audioslave
Get Low	Lil Jon & The East Side Boyz Featuring Ying Yang Twins
Like Glue	Sean Paul
Forever And For Always	Shania Twain
Say Yes	Floetry
Act A Fool	Ludacris
Love You Out Loud	Rascal Flatts
Big Yellow Taxi	Counting Crows Featuring Vanessa Carlton
Calling All Angels	Train
Red Dirt Road	Brooks & Dunn
4 Ever	Lil' Mo Featuring Fabolous
Clocks	Coldplay
Speed	Montgomery Gentry
Three Wooden Crosses	Randy Travis
Like A Pimp	David Banner Featuring Lil' Flip
I Believe	Diamond Rio
I'm Glad	Jennifer Lopez
Come Over	Aaliyah
What Would You Do?	The Isley Brothers Featuring Ronald Isley
I Want You	Thalia Featuring Fat Joe
The Remedy (I Won't Worry)	Jason Mraz
Stuck	Stacie Orrico
I Wish I Wasn't	Heather Headley
Almost Home	Craig Morgan
Celebrity	Brad Paisley
Headstrong	Trapt
The Love Song	Jeff Bates
Shake Ya Tailfeather	Nelly, P. Diddy & Murphy Lee
Swing, Swing	The All-American Rejects
In Love Wit Chu	Da Brat Featuring Cherish
Feel Good Time	P!nk Featuring William Orbit
Sing For The Moment	Eminem
Dance With My Father	Luther Vandross
Tell Me Something Bad About Tulsa	George Strait
Addicted	Simple Plan
Somewhere I Belong	Linkin Park
It's Five O'Clock Somewhere	Alan Jackson & Jimmy Buffett
Frontin'	Pharrell Featuring Jay-Z
Send The Pain Below	Chevelle
No Shoes, No Shirt, No Problems	Kenny Chesney
Help Pour Out The Rain (Lacey's Song)	Buddy Jewell
Have You Forgotten?	Darryl Worley
My Love Is Like... Wo	Mya
Times Like These	Foo Fighters
I Love You	Dru Hill
What A Beautiful Day	Chris Cagle
Breathe	Blu Cantrell Featuring Sean Paul
Big Star	Kenny Chesney
Seven Nation Army	The White Stripes
Stupid Girl	Cold
What Was I Thinkin'	Dierks Bentley
Hell Yeah	Ginuwine Featuring Baby
Raining On Sunday	Keith Urban
I Can	Nas
She's My Kind Of Rain	Tim McGraw
God Bless The U.S.A.	American Idol Finalists
Still Ballin	2Pac Featuring Trick Daddy
Tal Vez	Ricky Martin
Concrete Angel	Martina McBride
Beware Of The Boys (Mundian To Bach Ke)	Panjabi MC Featuring Jay-Z
Try It On My Own	Whitney Houston
Price To Play	Staind
