Crazy In Love	Beyonce Featuring Jay Z
Right Thurr	Chingy
Never Leave You - Uh Ooh, Uh Oooh!	Lumidee
P.I.M.P.	50 Cent
Rock Wit U (Awww Baby)	Ashanti
Unwell	matchbox twenty
Magic Stick	Lil' Kim Featuring 50 Cent
Where Is The Love?	The Black Eyed Peas
Into You	Fabolous Featuring Tamia Or Ashanti
In Those Jeans	Ginuwine
Get Low	Lil Jon & The East Side Boyz Featuring Ying Yang Twins
Shake Ya Tailfeather	Nelly, P. Diddy & Murphy Lee
Frontin'	Pharrell Featuring Jay-Z
Drift Away	Uncle Kracker Featuring Dobie Gray
Like Glue	Sean Paul
Are You Happy Now?	Michelle Branch
Bring Me To Life	Evanescence Featuring Paul McCoy
Miss Independent	Kelly Clarkson
So Gone	Monica
Get Busy	Sean Paul
It's Five O'Clock Somewhere	Alan Jackson & Jimmy Buffett
Forever And For Always	Shania Twain
Thoia Thoing	R. Kelly
My Love Is Like... Wo	Mya
Intuition	Jewel
I Want You	Thalia Featuring Fat Joe
Calling All Angels	Train
No Shoes, No Shirt, No Problems	Kenny Chesney
Red Dirt Road	Brooks & Dunn
Let's Get Down	Bow Wow Featuring Baby
Celebrity	Brad Paisley
When I'm Gone	3 Doors Down
The Remedy (I Won't Worry)	Jason Mraz
Love At 1st Sight	Mary J. Blige Featuring Method Man
What Was I Thinkin'	Dierks Bentley
Beer For My Horses	Toby Keith Duet With Willie Nelson
My Front Porch Looking In	Lonestar
21 Questions	50 Cent Featuring Nate Dogg
Can't Hold Us Down	Christina Aguilera Featuring Lil' Kim
Dance With My Father	Luther Vandross
Real Good Man	Tim McGraw
Don't Wanna Try	Frankie J
Senorita	Justin Timberlake
The Boys Of Summer	The Ataris
Come Over	Aaliyah
This Is The Night	Clay Aiken
Why Don't You & I	Santana Featuring Alex Band Or Chad Kroeger
I Know What You Want	Busta Rhymes & Mariah Carey Featuring The Flipmode Squad
Rock Your Body	Justin Timberlake
Ignition	R. Kelly
Addicted	Simple Plan
Help Pour Out The Rain (Lacey's Song)	Buddy Jewell
So Yesterday	Hilary Duff
If You're Not The One	Daniel Bedingfield
Girls And Boys	Good Charlotte
Did My Time	Korn
Baby Boy	Beyonce Featuring Sean Paul
Then They Do	Trace Adkins
99.9% Sure (I've Never Been Here Before)	Brian McComas
Faint	Linkin Park
Headstrong	Trapt
Can't Stop, Won't Stop	Young Gunz
Signs Of Love Makin'	Tyrese
Like A Pimp	David Banner Featuring Lil' Flip
So Far Away	Staind
Light Your A** On Fire	Busta Rhymes
This One's For The Girls	Martina McBride
A Few Questions	Clay Walker
Stay Gone	Jimmy Wayne
I Wish I Wasn't	Heather Headley
Flying Without Wings	Ruben Studdard
Fighter	Christina Aguilera
Damn!	YoungBloodZ Featuring Lil Jon
Send The Pain Below	Chevelle
Who Wouldn't Wanna Be Me	Keith Urban
What The World Needs	Wynonna
Hole In The World	Eagles
Breathe	Blu Cantrell Featuring Sean Paul
Just Because	Jane's Addiction
Show Me How To Live	Audioslave
She Only Smokes When She Drinks	Joe Nichols
Seven Nation Army	The White Stripes
Officially Missing You	Tamia
Never Scared	Bone Crusher Featuring Killer Mike & T.I.
Swing, Swing	The All-American Rejects
Na Na Na	112 Featuring Super Cat
Love You Out Loud	Rascal Flatts
Three Wooden Crosses	Randy Travis
Almost Home	Craig Morgan
24's	T.I.
Amazing	Josh Kelley
Still Ballin	2Pac Featuring Trick Daddy
Feelin' Freaky	Nick Cannon Featuring B2K
I'm Glad	Jennifer Lopez
Stupid Girl	Cold
Crazy	Javier
Snake	R. Kelly Featuring Big Tigger
What Would You Do?	The Isley Brothers Featuring Ronald Isley
Pump It Up	Joe Budden
Act A Fool	Ludacris
