Goodies	Ciara Featuring Petey Pablo
My Boo	Usher And Alicia Keys
Lean Back	Terror Squad
My Place	Nelly Featuring Jaheim
Sunshine	Lil' Flip Featuring Lea
She Will Be Loved	Maroon 5
Lose My Breath	Destiny's Child
Locked Up	Akon Featuring Styles P.
My Happy Ending	Avril Lavigne
Diary	Alicia Keys Featuring Tony! Toni! Tone!
Pieces Of Me	Ashlee Simpson
If I Ain't Got You	Alicia Keys
Why?	Jadakiss Featuring Anthony Hamilton
Slow Motion	Juvenile Featuring Soulja Slim
Dip It Low	Christina Milian
Headsprung	LL Cool J
Just Lose It	Eminem
On The Way Down	Ryan Cabrera
One Thing	Finger Eleven
Breakaway	Kelly Clarkson
Turn Me On	Kevin Lyttle Featuring Spragga Benz
Breaking The Habit	Linkin Park
Let's Get It Started	The Black Eyed Peas
Heaven	Los Lonely Boys
The Reason	Hoobastank
I Like That	Houston Featuring Chingy, Nate Dogg & I-20
This Love	Maroon 5
Breathe, Stretch, Shake	Mase Featuring P. Diddy
Let's Go	Trick Daddy Featuring Lil Jon & Twista
Move Ya Body	Nina Sky Featuring Jabba
Nolia Clap	Juvenile, Wacko & Skip
Days Go By	Keith Urban
Oye Mi Canto	N.O.R.E. Featuring Daddy Yankee, Nina Sky, Gem Star & Big Mato
No Problem	Lil Scrappy
Suds In The Bucket	Sara Evans
Yeah!	Usher Featuring Lil Jon & Ludacris
Leave (Get Out)	JoJo
Broken	Seether Featuring Amy Lee
Jesus Walks	Kanye West
Drop It Like It's Hot	Snoop Dogg Featuring Pharrell
Charlene	Anthony Hamilton
Here For The Party	Gretchen Wilson
I Hate Everything	George Strait
Confessions Part II	Usher
Hush	LL Cool J Featuring 7 Aurelius
Vertigo	U2
Live Like You Were Dying	Tim McGraw
1985	Bowling For Soup
Meant To Live	Switchfoot
Too Much Of A Good Thing	Alan Jackson
Go D.J.	Lil Wayne
Stays In Mexico	Toby Keith
In A Real Love	Phil Vassar
That's What It's All About	Brooks & Dunn
Dare You To Move	Switchfoot
Feels Like Today	Rascal Flatts
Dangerously In Love	Beyonce
Tilt Ya Head Back	Nelly & Christina Aguilera
Nothing On But The Radio	Gary Allan
Breathe	Fabolous
Mr. Mom	Lonestar
Shadow	Ashlee Simpson
Let's Get Away	T.I.
You & Me	J-Kwon Featuring Sadiyyah
Flap Your Wings	Nelly
American Idiot	Green Day
Balla Baby	Chingy
U Should've Known Better	Monica
Accidentally In Love	Counting Crows
Baby It's You	JoJo Featuring Bow Wow
I Go Back	Kenny Chesney
Just Like You	Three Days Grace
She Thinks She Needs Me	Andy Griggs
If Nobody Believed In You	Joe Nichols
Fall To Pieces	Velvet Revolver
So Sexy	Twista Featuring R. Kelly
Somebody Told Me	The Killers
Shake That Sh**	Shawnna Featuring Ludacris
Girls Lie Too	Terri Clark
Take Me Out	Franz Ferdinand
So Cold	Breaking Benjamin
White Tee's	Dem Franchize Boyz
Call My Name	Prince
King Of The Dancehall	Beenie Man
You're My Everything	Anita Baker
Feelin' Way Too Damn Good	Nickelback
Nasty Girl	Nitty
Let Me In	Young Buck
U Saved Me	R. Kelly
Knuck If You Buck	Crime Mob Featuring Lil Scrappy
Car Wash	Christina Aguilera Featuring Missy Elliott
Whiskey Lullaby	Brad Paisley Featuring Alison Krauss
Still In Love	Teena Marie Featuring Baby
Cold	Crossfade
Away From The Sun	3 Doors Down
Tempted To Touch	Rupee
Used To Love U	John Legend
I Got A Feelin'	Billy Currington
Float On	Modest Mouse
Whatever U Want	Christina Milian Featuring Joe Budden
