My Boo	Usher And Alicia Keys
Drop It Like It's Hot	Snoop Dogg Featuring Pharrell
Lose My Breath	Destiny's Child
Over And Over	Nelly Featuring Tim McGraw
Wonderful	Ja Rule Featuring R. Kelly & Ashanti
Goodies	Ciara Featuring Petey Pablo
Let's Go	Trick Daddy Featuring Lil Jon & Twista
Breakaway	Kelly Clarkson
Let Me Love You	Mario
Breathe	Fabolous
She Will Be Loved	Maroon 5
Oye Mi Canto	N.O.R.E. Featuring Daddy Yankee, Nina Sky, Gem Star & Big Mato
1, 2 Step	Ciara Featuring Missy Elliott
Go D.J.	Lil Wayne
Just Lose It	Eminem
I Don't Want To Be	Gavin DeGraw
Shorty Wanna Ride	Young Buck
Lean Back	Terror Squad
My Happy Ending	Avril Lavigne
Dare You To Move	Switchfoot
Charlene	Anthony Hamilton
Balla Baby	Chingy
Broken	Seether Featuring Amy Lee
Diary	Alicia Keys Featuring Tony! Toni! Tone!
One Thing	Finger Eleven
Baby It's You	JoJo Featuring Bow Wow
Hush	LL Cool J Featuring 7 Aurelius
On The Way Down	Ryan Cabrera
1985	Bowling For Soup
Locked Up	Akon Featuring Styles P.
Vertigo	U2
Heaven	Los Lonely Boys
Mr. Mom	Lonestar
The Reason	Hoobastank
Nothing On But The Radio	Gary Allan
Lovers And Friends	Lil Jon & The East Side Boyz Featuring Usher & Ludacris
The Woman With You	Kenny Chesney
Back When	Tim McGraw
If I Ain't Got You	Alicia Keys
Daughters	John Mayer
Soldier	Destiny's Child Featuring T.I. & Lil Wayne
Some Beach	Blake Shelton
That's What It's All About	Brooks & Dunn
What U Gon' Do	Lil Jon & The East Side Boyz Featuring Lil Scrappy
Tempted To Touch	Rupee
This Love	Maroon 5
What You Waiting For?	Gwen Stefani
Get Back	Ludacris
Welcome To My Life	Simple Plan
Let's Get It Started	The Black Eyed Peas
Somebody Told Me	The Killers
My Place	Nelly Featuring Jaheim
Nolia Clap	Juvenile, Wacko & Skip
In A Real Love	Phil Vassar
Only U	Ashanti
Karma	Lloyd Banks Featuring Avant
How Am I Doin'	Dierks Bentley
Encore	Eminem, Dr. Dre & 50 Cent
Big Chips	R. Kelly & Jay-Z
Awful, Beautiful Life	Darryl Worley
Party For Two	Shania Twain With Billy Currington Or Mark McGrath
Breaking The Habit	Linkin Park
Suds In The Bucket	Sara Evans
No Problem	Lil Scrappy
How We Do	The Game Featuring 50 Cent
U Make Me Wanna	Jadakiss Featuring Mariah Carey
Nothin 'Bout Love Makes Sense	LeAnn Rimes
Days Go By	Keith Urban
Fall To Pieces	Velvet Revolver
Take Me Home	Terror Squad
Boulevard Of Broken Dreams	Green Day
I Changed My Mind	Keyshia Cole Featuring Shyne
Vitamin R (Leading Us Along)	Chevelle
Give A Little Bit	Goo Goo Dolls
New York	Ja Rule Featuring Fat Joe & Jadakiss
Knuck If You Buck	Crime Mob Featuring Lil Scrappy
Getting Away With Murder	Papa Roach
Breathe, Stretch, Shake	Mase Featuring P. Diddy
So Cold	Breaking Benjamin
I Hate Everything	George Strait
Dangerously In Love	Beyonce
Used To Love U	John Legend
Stays In Mexico	Toby Keith
I Smoke, I Drank	Body Head Bangerz Featuring YoungBloodz
American Idiot	Green Day
Numb/Encore	Jay-Z/Linkin Park
Why?	Jadakiss Featuring Anthony Hamilton
Bring Em Out	T.I.
Just Like You	Three Days Grace
Cold	Crossfade
Gasolina	Daddy Yankee
Real Big	Mannie Fresh
Karma	Alicia Keys
Bridging The Gap	Nas Featuring Olu Dara
Call My Name	Prince
(Reach Up For The) Sunrise	Duran Duran
White Tee's	Dem Franchize Boyz
You're My Everything	Anita Baker
You're The One	Guerilla Black Featuring Mario Winans
Here For The Party	Gretchen Wilson
