Let Me Love You	Mario
1, 2 Step	Ciara Featuring Missy Elliott
Lovers And Friends	Lil Jon & The East Side Boyz Featuring Usher & Ludacris
Soldier	Destiny's Child Featuring T.I. & Lil Wayne
Drop It Like It's Hot	Snoop Dogg Featuring Pharrell
How We Do	The Game Featuring 50 Cent
Disco Inferno	50 Cent
Boulevard Of Broken Dreams	Green Day
My Boo	Usher And Alicia Keys
Over And Over	Nelly Featuring Tim McGraw
I Don't Want To Be	Gavin DeGraw
Breakaway	Kelly Clarkson
Get Back	Ludacris
Bring Em Out	T.I.
Only U	Ashanti
Wonderful	Ja Rule Featuring R. Kelly & Ashanti
Karma	Lloyd Banks Featuring Avant
True	Ryan Cabrera
Daughters	John Mayer
Since U Been Gone	Kelly Clarkson
Lose My Breath	Destiny's Child
She Will Be Loved	Maroon 5
Beautiful Soul	Jesse McCartney
Caught Up	Usher
Numb/Encore	Jay-Z/Linkin Park
Mockingbird	Eminem
Dare You To Move	Switchfoot
Rich Girl	Gwen Stefani Featuring Eve
Karma	Alicia Keys
Goodies	Ciara Featuring Petey Pablo
What U Gon' Do	Lil Jon & The East Side Boyz Featuring Lil Scrappy
Gasolina	Daddy Yankee
Awful, Beautiful Life	Darryl Worley
Mud On The Tires	Brad Paisley
Let's Go	Trick Daddy Featuring Lil Jon & Twista
You're My Better Half	Keith Urban
Bless The Broken Road	Rascal Flatts
U Make Me Wanna	Jadakiss Featuring Mariah Carey
When I Think About Cheatin'	Gretchen Wilson
New York	Ja Rule Featuring Fat Joe & Jadakiss
Get Right	Jennifer Lopez
Charlene	Anthony Hamilton
Lady	Lenny Kravitz
Some Beach	Blake Shelton
Nobody's Home	Avril Lavigne
One Thing	Finger Eleven
Some Cut	Trillville Featuring Cutty
Ordinary People	John Legend
Give A Little Bit	Goo Goo Dolls
On The Way Down	Ryan Cabrera
Truth Is	Fantasia
Vertigo	U2
It's Like That	Mariah Carey
Nothin 'Bout Love Makes Sense	LeAnn Rimes
Back When	Tim McGraw
Encore	Eminem, Dr. Dre & 50 Cent
Monday Morning Church	Alan Jackson
Sunday Morning	Maroon 5
O	Omarion
Nothin' To Lose	Josh Gracin
He Gets That From Me	Reba McEntire
Let's Get Blown	Snoop Dogg
Obsession (No Es Amor)	Frankie J Featuring Baby Bash
Like Toy Soldiers	Eminem
U Don't Know Me	T.I.
Go D.J.	Lil Wayne
Nothing On But The Radio	Gary Allan
Baby It's You	JoJo Featuring Bow Wow
Baby Girl	Sugarland
Look What You've Done	Jet
Mr. Mom	Lonestar
Shorty Wanna Ride	Young Buck
I May Hate Myself In The Morning	Lee Ann Womack
Let Them Be Little	Billy Dean
Tempted To Touch	Rupee
Holy Water	Big & Rich
Baby	Fabolous Featuring Mike Shorey
Welcome To My Life	Simple Plan
How Am I Doin'	Dierks Bentley
Okay	Nivea Featuring Lil Jon & YoungBloodZ
Party For Two	Shania Twain With Billy Currington Or Mark McGrath
The Woman With You	Kenny Chesney
Breathe	Fabolous
Fall To Pieces	Velvet Revolver
Sugar (Gimme Some)	Trick Daddy Featuring Ludacris, Lil' Kim & Cee-Lo
Getting Away With Murder	Papa Roach
Balla Baby	Chingy
Vitamin R (Leading Us Along)	Chevelle
You're The One	Guerilla Black Featuring Mario Winans
Just Lose It	Eminem
I Smoke, I Drank	Body Head Bangerz Featuring YoungBloodz
Gotta Go Solo	Patti LaBelle Featuring Ron Isley
I Changed My Mind	Keyshia Cole Featuring Shyne
Perdidos	Monchy & Alexandra
Take Me Home	Terror Squad
Hold You Down	The Alchemist Featuring Prodigy, Illa Ghee & Nina Sky
What You Waiting For?	Gwen Stefani
Ghetto	Akon
I'll Be Around	Daryl Hall John Oates
Dangerously In Love	Beyonce
