Candy Shop	50 Cent Featuring Olivia
Hate It Or Love It	The Game Featuring 50 Cent
Since U Been Gone	Kelly Clarkson
Lonely	Akon
Obsession (No Es Amor)	Frankie J Featuring Baby Bash
Boulevard Of Broken Dreams	Green Day
Disco Inferno	50 Cent
1 Thing	Amerie
Lonely No More	Rob Thomas
Hollaback Girl	Gwen Stefani
Rich Girl	Gwen Stefani Featuring Eve
Switch	Will Smith
Beverly Hills	Weezer
Let Me Love You	Mario
Some Cut	Trillville Featuring Cutty
Mr. Brightside	The Killers
Oh	Ciara Featuring Ludacris
Caught Up	Usher
1, 2 Step	Ciara Featuring Missy Elliott
Goin' Crazy	Natalie
How We Do	The Game Featuring 50 Cent
Number One Spot	Ludacris
Karma	Alicia Keys
U Don't Know Me	T.I.
Slow Down	Bobby Valentino
Truth Is	Fantasia
Sugar (Gimme Some)	Trick Daddy Featuring Ludacris, Lil' Kim & Cee-Lo
Breakaway	Kelly Clarkson
Ordinary People	John Legend
Wait (The Whisper Song)	Ying Yang Twins
O	Omarion
Be Yourself	Audioslave
Let Me Go	3 Doors Down
Mockingbird	Eminem
Just A Lil Bit	50 Cent
It's Like That	Mariah Carey
Girlfight	Brooke Valentine Featuring Lil Jon & Big Boi
Look What You've Done	Jet
U Already Know	112 Featuring Foxy Brown
Drop It Like It's Hot	Snoop Dogg Featuring Pharrell
Collide	Howie Day
Baby I'm Back	Baby Bash Featuring Akon
She Will Be Loved	Maroon 5
Okay	Nivea Featuring Lil Jon & YoungBloodZ
Beautiful Soul	Jesse McCartney
Lovers And Friends	Lil Jon & The East Side Boyz Featuring Usher & Ludacris
Almost	Bowling For Soup
Anything But Mine	Kenny Chesney
I Don't Want To Be	Gavin DeGraw
Girl	Destiny's Child
Signs	Snoop Dogg Featuring Charlie Wilson & Justin Timberlake
I'm A Hustla	Cassidy
Baby Girl	Sugarland
Gone	Montgomery Gentry
Incomplete	Backstreet Boys
Bless The Broken Road	Rascal Flatts
It's Getting Better All The Time	Brooks & Dunn
Get Right	Jennifer Lopez
How Could You	Mario
Still Tippin'	Mike Jones Featuring Slim Thug & Paul Wall
We Belong Together	Mariah Carey
True	Ryan Cabrera
That's What I Love About Sunday	Craig Morgan
Sunday Morning	Maroon 5
Scars	Papa Roach
Nothin' To Lose	Josh Gracin
Hold You Down	Jennifer Lopez Featuring Fat Joe
E-Pro	Beck
You And Me	Lifehouse
B.Y.O.B.	System Of A Down
Again	Faith Evans
Grind With Me	Pretty Ricky
Homewrecker	Gretchen Wilson
If Heaven	Andy Griggs
Honkytonk U	Toby Keith
My Give A Damn's Busted	Jo Dee Messina
The Hand That Feeds	Nine Inch Nails
Songs About Me	Trace Adkins
Baby Mama	Fantasia
What's A Guy Gotta Do	Joe Nichols
Sitting, Waiting, Wishing	Jack Johnson
Lot Of Leavin' Left To Do	Dierks Bentley
Lady	Lenny Kravitz
So Much More	Fat Joe
Jerk It Out	Caesars
Holiday	Green Day
Behind These Hazel Eyes	Kelly Clarkson
God's Will	Martina McBride
Somewhere Only We Know	Keane
Making Memories Of Us	Keith Urban
How Do You Get That Lonely	Blaine Larsen
In The Kitchen	R. Kelly
Drugs Or Jesus	Tim McGraw
Chariot	Gavin DeGraw
La Camisa Negra	Juanes
You'll Be There	George Strait
Don't Phunk With My Heart	The Black Eyed Peas
I May Hate Myself In The Morning	Lee Ann Womack
Sometimes You Can't Make It On Your Own	U2
Little Sister	Queens Of The Stone Age
