Hollaback Girl	Gwen Stefani
We Belong Together	Mariah Carey
Oh	Ciara Featuring Ludacris
Just A Lil Bit	50 Cent
Hate It Or Love It	The Game Featuring 50 Cent
Don't Phunk With My Heart	The Black Eyed Peas
Lonely No More	Rob Thomas
Since U Been Gone	Kelly Clarkson
Slow Down	Bobby Valentino
Lonely	Akon
Switch	Will Smith
Mr. Brightside	The Killers
Candy Shop	50 Cent Featuring Olivia
Incomplete	Backstreet Boys
Boulevard Of Broken Dreams	Green Day
Let Me Go	3 Doors Down
Obsession (No Es Amor)	Frankie J Featuring Baby Bash
Behind These Hazel Eyes	Kelly Clarkson
Wait (The Whisper Song)	Ying Yang Twins
Sugar (Gimme Some)	Trick Daddy Featuring Ludacris, Lil' Kim & Cee-Lo
Beverly Hills	Weezer
Disco Inferno	50 Cent
Girl	Destiny's Child
Girlfight	Brooke Valentine Featuring Lil Jon & Big Boi
Grind With Me	Pretty Ricky
Collide	Howie Day
Some Cut	Trillville Featuring Cutty
1 Thing	Amerie
Rich Girl	Gwen Stefani Featuring Eve
Speed Of Sound	Coldplay
Holiday	Green Day
1, 2 Step	Ciara Featuring Missy Elliott
American Baby	Dave Matthews Band
U Already Know	112 Featuring Foxy Brown
Let Me Love You	Mario
Karma	Alicia Keys
Baby I'm Back	Baby Bash Featuring Akon
Breakaway	Kelly Clarkson
I'm A Hustla	Cassidy
Goin' Crazy	Natalie
Scars	Papa Roach
You And Me	Lifehouse
B.Y.O.B.	System Of A Down
Making Memories Of Us	Keith Urban
U Don't Know Me	T.I.
Caught Up	Usher
How We Do	The Game Featuring 50 Cent
Truth Is	Fantasia
Don't Cha	The Pussycat Dolls Featuring Busta Rhymes
The Hand That Feeds	Nine Inch Nails
Trapped In The Closet	R. Kelly
Number One Spot	Ludacris
It's Like That	Mariah Carey
How Could You	Mario
Errtime	Nelly Featuring Jung Tru & King Jacob
Homewrecker	Gretchen Wilson
Lot Of Leavin' Left To Do	Dierks Bentley
Again	Faith Evans
Chariot	Gavin DeGraw
Breathe (2 AM)	Anna Nalick
Songs About Me	Trace Adkins
Best Of You	Foo Fighters
My Give A Damn's Busted	Jo Dee Messina
What's A Guy Gotta Do	Joe Nichols
Almost	Bowling For Soup
Fast Cars And Freedom	Rascal Flatts
Be Yourself	Audioslave
Look What You've Done	Jet
When You Tell Me That You Love Me	American Idol Finalists Season 4
You'll Be There	George Strait
That's What I Love About Sunday	Craig Morgan
Lose Control	Missy Elliott Featuring Ciara & Fat Man Scoop
Untitled (How Can This Happen To Me?)	Simple Plan
Feel Good Inc	Gorillaz
Anything But Mine	Kenny Chesney
All Because Of You	Marques Houston Featuring Young Rome
MJB Da MVP	Mary J. Blige Featuring The Game & 50 Cent
Free Yourself	Fantasia
Gone	Montgomery Gentry
La Tortura	Shakira Feat. Alejandro Sanz
Still Tippin'	Mike Jones Featuring Slim Thug & Paul Wall
O	Omarion
Cater 2 U	Destiny's Child
Give Me That	Webbie Featuring Bun B
Sitting, Waiting, Wishing	Jack Johnson
Diamonds From Sierra Leone	Kanye West
Nothin' To Lose	Josh Gracin
If Heaven	Andy Griggs
La Camisa Negra	Juanes
Something More	Sugarland
She's No You	Jesse McCartney
It's Getting Better All The Time	Brooks & Dunn
Let Me Hold You	Bow Wow Featuring Omarion
How To Deal	Frankie J
I'll Take That As A Yes (The Hot Tub Song)	Phil Vassar
E-Pro	Beck
Home	Michael Buble
I Can't Stop Loving You	Kem
Must Be Nice	Lyfe Jennings
If Something Should Happen	Darryl Worley
