Inside Your Heaven	Carrie Underwood
We Belong Together	Mariah Carey
Hollaback Girl	Gwen Stefani
Don't Phunk With My Heart	The Black Eyed Peas
Just A Lil Bit	50 Cent
Behind These Hazel Eyes	Kelly Clarkson
Oh	Ciara Featuring Ludacris
Grind With Me	Pretty Ricky
Switch	Will Smith
Get It Poppin'	Fat Joe Featuring Nelly
Don't Cha	The Pussycat Dolls Featuring Busta Rhymes
Since U Been Gone	Kelly Clarkson
Pon de Replay	Rihanna
Incomplete	Backstreet Boys
Speed Of Sound	Coldplay
Lonely No More	Rob Thomas
Mr. Brightside	The Killers
Best Of You	Foo Fighters
You And Me	Lifehouse
Slow Down	Bobby Valentino
Lose Control	Missy Elliott Featuring Ciara & Fat Man Scoop
Let Me Go	3 Doors Down
Beverly Hills	Weezer
Baby I'm Back	Baby Bash Featuring Akon
Wait (The Whisper Song)	Ying Yang Twins
Hate It Or Love It	The Game Featuring 50 Cent
Collide	Howie Day
Let Me Hold You	Bow Wow Featuring Omarion
Live Like You Were Dying	Tim McGraw
Scars	Papa Roach
Holiday	Green Day
Pimpin' All Over The World	Ludacris Featuring Bobby Valentino
Chariot	Gavin DeGraw
Dreams	The Game
Boulevard Of Broken Dreams	Green Day
Listen To Your Heart	D.H.T.
Give Me That	Webbie Featuring Bun B
Sugar (Gimme Some)	Trick Daddy Featuring Ludacris, Lil' Kim & Cee-Lo
Making Memories Of Us	Keith Urban
Fast Cars And Freedom	Rascal Flatts
Candy Shop	50 Cent Featuring Olivia
Breakaway	Kelly Clarkson
As Good As I Once Was	Toby Keith
1, 2 Step	Ciara Featuring Missy Elliott
Cater 2 U	Destiny's Child
Trapped In The Closet	R. Kelly
How To Deal	Frankie J
Free Yourself	Fantasia
Girlfight	Brooke Valentine Featuring Lil Jon & Big Boi
U Already Know	112 Featuring Foxy Brown
Something More	Sugarland
B.Y.O.B.	System Of A Down
Mississippi Girl	Faith Hill
Lonely	Akon
Untitled (How Can This Happen To Me?)	Simple Plan
La Tortura	Shakira Feat. Alejandro Sanz
Lot Of Leavin' Left To Do	Dierks Bentley
Back Then	Mike Jones
Breathe (2 AM)	Anna Nalick
Ass Like That	Eminem
You'll Be There	George Strait
Feel Good Inc	Gorillaz
Diamonds From Sierra Leone	Kanye West
Keg In The Closet	Kenny Chesney
Girl	Destiny's Child
Must Be Nice	Lyfe Jennings
So Seductive	Tony Yayo Featuring 50 Cent
Make Her Feel Good	Teairra Mari
The Hand That Feeds	Nine Inch Nails
How Could You	Mario
Energy	Natalie Featuring Baby Bash
I'm A Hustla	Cassidy
Pickin' Wildflowers	Keith Anderson
Errtime	Nelly Featuring Jung Tru & King Jacob
My Give A Damn's Busted	Jo Dee Messina
Summer Nights	Lil Rob
Right Here	Staind
Like You	Daddy Yankee
Goodbye Time	Blake Shelton
Be Yourself	Audioslave
If Something Should Happen	Darryl Worley
Pump It	The Black Eyed Peas
American Baby	Dave Matthews Band
Dem Boyz	Boyz N Da Hood
Sitting, Waiting, Wishing	Jack Johnson
ASAP	T.I.
Blue Orchid	The White Stripes
Don't Ask Me How I Know	Bobby Pinson
Alcohol	Brad Paisley
Don't Worry 'Bout A Thing	SHeDAISY
All Because Of You	Marques Houston Featuring Young Rome
Play Something Country	Brooks & Dunn
Sugar, We're Goin' Down	Fall Out Boy
La Camisa Negra	Juanes
Almost	Bowling For Soup
Songs About Me	Trace Adkins
Home	Michael Buble
Touch	Omarion
I Can't Stop Loving You	Kem
These Words	Natasha Bedingfield
