We Belong Together	Mariah Carey
Hollaback Girl	Gwen Stefani
Don't Phunk With My Heart	The Black Eyed Peas
Inside Your Heaven	Carrie Underwood
Inside Your Heaven	Bo Bice
Just A Lil Bit	50 Cent
Don't Cha	The Pussycat Dolls Featuring Busta Rhymes
Behind These Hazel Eyes	Kelly Clarkson
Pon de Replay	Rihanna
Lose Control	Missy Elliott Featuring Ciara & Fat Man Scoop
Grind With Me	Pretty Ricky
Oh	Ciara Featuring Ludacris
Switch	Will Smith
Get It Poppin'	Fat Joe Featuring Nelly
Let Me Hold You	Bow Wow Featuring Omarion
Pimpin' All Over The World	Ludacris Featuring Bobby Valentino
You And Me	Lifehouse
Best Of You	Foo Fighters
Listen To Your Heart	D.H.T.
Since U Been Gone	Kelly Clarkson
Scars	Papa Roach
Beverly Hills	Weezer
Speed Of Sound	Coldplay
Lonely No More	Rob Thomas
Let Me Go	3 Doors Down
Mr. Brightside	The Killers
Holiday	Green Day
Collide	Howie Day
Slow Down	Bobby Valentino
Chariot	Gavin DeGraw
Baby I'm Back	Baby Bash Featuring Akon
Dreams	The Game
These Boots Are Made For Walkin'	Jessica Simpson
Incomplete	Backstreet Boys
As Good As I Once Was	Toby Keith
Give Me That	Webbie Featuring Bun B
Cater 2 U	Destiny's Child
Fast Cars And Freedom	Rascal Flatts
Back Then	Mike Jones
Boulevard Of Broken Dreams	Green Day
How To Deal	Frankie J
Something More	Sugarland
Wait (The Whisper Song)	Ying Yang Twins
1, 2 Step	Ciara Featuring Missy Elliott
Mississippi Girl	Faith Hill
Sugar (Gimme Some)	Trick Daddy Featuring Ludacris, Lil' Kim & Cee-Lo
Hate It Or Love It	The Game Featuring 50 Cent
Feel Good Inc	Gorillaz
Making Memories Of Us	Keith Urban
Untitled (How Can This Happen To Me?)	Simple Plan
Free Yourself	Fantasia
B.Y.O.B.	System Of A Down
So Seductive	Tony Yayo Featuring 50 Cent
You'll Be There	George Strait
La Tortura	Shakira Feat. Alejandro Sanz
Dem Boyz	Boyz N Da Hood
Breathe (2 AM)	Anna Nalick
Girlfight	Brooke Valentine Featuring Lil Jon & Big Boi
Summer Nights	Lil Rob
These Words	Natasha Bedingfield
Make Her Feel Good	Teairra Mari
Diamonds From Sierra Leone	Kanye West
Must Be Nice	Lyfe Jennings
Pickin' Wildflowers	Keith Anderson
Keg In The Closet	Kenny Chesney
Energy	Natalie Featuring Baby Bash
Don't Worry 'Bout A Thing	SHeDAISY
Sugar, We're Goin' Down	Fall Out Boy
Ass Like That	Eminem
U Already Know	112 Featuring Foxy Brown
The Hand That Feeds	Nine Inch Nails
Lot Of Leavin' Left To Do	Dierks Bentley
Playa's Only	R. Kelly Featuring The Game
I'm A Hustla	Cassidy
Trapped In The Closet	R. Kelly
ASAP	T.I.
Goodbye Time	Blake Shelton
If Something Should Happen	Darryl Worley
Girl	Destiny's Child
A Real Fine Place To Start	Sara Evans
Go!	Common
Play Something Country	Brooks & Dunn
Alcohol	Brad Paisley
Helena (So Long & Goodnight)	My Chemical Romance
Tell Me	Bobby Valentino
Cool	Gwen Stefani
American Baby	Dave Matthews Band
Don't Ask Me How I Know	Bobby Pinson
Right Here	Staind
Do You Want Fries With That	Tim McGraw
Help Somebody	Van Zant
Badd	Ying Yang Twins Featuring Mike Jones & Mr. ColliPark
My Sister	Reba McEntire
Like You	Daddy Yankee
I Can't Stop Loving You	Kem
Wordplay	Jason Mraz
Be Yourself	Audioslave
This Is How A Heart Breaks	Rob Thomas
The Talkin' Song Repair Blues	Alan Jackson
Gotta Getcha	Jermaine Dupri
