Run It!	Chris Brown
Gold Digger	Kanye West Featuring Jamie Foxx
My Humps	The Black Eyed Peas
Soul Survivor	Young Jeezy Featuring Akon
Photograph	Nickelback
Laffy Taffy	D4L
Hung Up	Madonna
We Be Burnin'	Sean Paul
Because Of You	Kelly Clarkson
Stickwitu	The Pussycat Dolls
Don't Forget About Us	Mariah Carey
I'm Sprung	T-Pain
Stay Fly	Three 6 Mafia Featuring Young Buck & Eightball & MJG
Sugar, We're Goin' Down	Fall Out Boy
I Think They Like Me	Dem Franchize Boyz Featuring Jermaine Dupri, Da Brat & Bow Wow
One Wish	Ray J
Here We Go	Trina Featuring Kelly Rowland
Shake It Off	Mariah Carey
There It Go! (The Whistle Song)	Juelz Santana
Window Shopper	50 Cent
Wake Me Up When September Ends	Green Day
Girl Tonite	Twista Featuring Trey Songz
Like You	Bow Wow Featuring Ciara
Luxurious	Gwen Stefani
You And Me	Lifehouse
Your Body	Pretty Ricky
Feel Good Inc	Gorillaz
Beverly Hills	Weezer
Dance, Dance	Fall Out Boy
Don't Cha	The Pussycat Dolls Featuring Busta Rhymes
Come A Little Closer	Dierks Bentley
Tequila Makes Her Clothes Fall Off	Joe Nichols
We Belong Together	Mariah Carey
Check On It	Beyonce Featuring Slim Thug
I Should Have Cheated	Keyshia Cole
Unbreakable	Alicia Keys
Who You'd Be Today	Kenny Chesney
Heard 'Em Say	Kanye West Featuring Adam Levine
Dirty Little Secret	The All-American Rejects
Behind These Hazel Eyes	Kelly Clarkson
Pon de Replay	Rihanna
Jesus, Take The Wheel	Carrie Underwood
Play	David Banner
La Tortura	Shakira Feat. Alejandro Sanz
Like We Never Loved At All	Faith Hill
Better Life	Keith Urban
Boyfriend	Ashlee Simpson
Shake	Ying Yang Twins Featuring Pitbull
Listen To Your Heart	D.H.T.
Honky Tonk Badonkadonk	Trace Adkins
If It's Lovin' That You Want	Rihanna
Grillz	Nelly Featuring Paul Wall, Ali & Gipp
Skin (Sarabeth)	Rascal Flatts
Must Be Doin' Somethin' Right	Billy Currington
Best I Ever Had	Gary Allan
More Than Words	Frankie J
Belly Dancer (Bananza)	Akon
Confessions Of A Broken Heart (Daughter To Father)	Lindsay Lohan
Lighters Up	Lil' Kim
Be Without You	Mary J. Blige
Don't Lie	The Black Eyed Peas
Seasons Of Love	Cast Of Rent
You're Beautiful	James Blunt
Boondocks	Little Big Town
Big Blue Note	Toby Keith
Good Ride Cowboy	Garth Brooks
Can I Have It Like That	Pharrell Featuring Gwen Stefani
Better Days	Goo Goo Dolls
When I'm Gone	Eminem
Turn It Up	Chamillionaire Featuring Lil' Flip
She Let Herself Go	George Strait
Comin' To Your City	Big & Rich
I'm Feeling You	Santana Featuring Michelle Branch & The Wreckers
Something To Be Proud Of	Montgomery Gentry
Kryptonite (I'm On It)	Purple Ribbon All-Stars
DOA	Foo Fighters
Soul Meets Body	Death Cab For Cutie
You're Like Comin' Home	Lonestar
Don't Bother	Shakira
Miss Me Baby	Chris Cagle
When I Get Where I'm Going	Brad Paisley Featuring Dolly Parton
Bat Country	Avenged Sevenfold
Just The Girl	The Click Five
Home	Michael Buble
Fireman	Lil Wayne
Redneck Yacht Club	Craig Morgan
Save Me	Shinedown
Presidential	YoungBloodZ
Hypnotize	System Of A Down
Rompe	Daddy Yankee
Just Might (Make Me Believe)	Sugarland
Probably Wouldn't Be This Way	LeAnn Rimes
Hustler's Ambition	50 Cent
Only	Nine Inch Nails
Twisted Transistor	Korn
Gotta Go	Trey Songz
My Old Friend	Tim McGraw
(I Never Promised You A) Rose Garden	Martina McBride
Billy's Got His Beer Goggles On	Neal McCoy
Unpredictable	Jamie Foxx Featuring Ludacris
