Laffy Taffy	D4L
Run It!	Chris Brown
Photograph	Nickelback
Gold Digger	Kanye West Featuring Jamie Foxx
Grillz	Nelly Featuring Paul Wall, Ali & Gipp
My Humps	The Black Eyed Peas
Don't Forget About Us	Mariah Carey
Stickwitu	The Pussycat Dolls
Dance, Dance	Fall Out Boy
Check On It	Beyonce Featuring Slim Thug
Dirty Little Secret	The All-American Rejects
There It Go! (The Whistle Song)	Juelz Santana
Sugar, We're Goin' Down	Fall Out Boy
Soul Survivor	Young Jeezy Featuring Akon
Beverly Hills	Weezer
Because Of You	Kelly Clarkson
When I'm Gone	Eminem
Stay Fly	Three 6 Mafia Featuring Young Buck & Eightball & MJG
Wake Me Up When September Ends	Green Day
We Be Burnin'	Sean Paul
One Wish	Ray J
I'm Sprung	T-Pain
Hung Up	Madonna
I Think They Like Me	Dem Franchize Boyz Featuring Jermaine Dupri, Da Brat & Bow Wow
You're Beautiful	James Blunt
You And Me	Lifehouse
Be Without You	Mary J. Blige
Feel Good Inc	Gorillaz
Don't Cha	The Pussycat Dolls Featuring Busta Rhymes
Honky Tonk Badonkadonk	Trace Adkins
Jesus, Take The Wheel	Carrie Underwood
Unwritten	Natasha Bedingfield
Unpredictable	Jamie Foxx Featuring Ludacris
Boyfriend	Ashlee Simpson
Luxurious	Gwen Stefani
L.O.V.E.	Ashlee Simpson
We Belong Together	Mariah Carey
Fireman	Lil Wayne
Georgia	Ludacris & Field Mob Featuring Jamie Foxx
Heard 'Em Say	Kanye West Featuring Adam Levine
Here We Go	Trina Featuring Kelly Rowland
Shake It Off	Mariah Carey
If It's Lovin' That You Want	Rihanna
Turn It Up	Chamillionaire Featuring Lil' Flip
So Sick	Ne-Yo
Must Be Doin' Somethin' Right	Billy Currington
Window Shopper	50 Cent
Nasty Girl	The Notorious B.I.G. Featuring Diddy, Nelly, Jagged Edge & Avery Storm
Tequila Makes Her Clothes Fall Off	Joe Nichols
Better Days	Goo Goo Dolls
Come A Little Closer	Dierks Bentley
Pump It	The Black Eyed Peas
Kryptonite (I'm On It)	Purple Ribbon All-Stars
Perfect Situation	Weezer
Boondocks	Little Big Town
Everytime We Touch	Cascada
Hypnotize	System Of A Down
Have A Nice Day	Bon Jovi
Like We Never Loved At All	Faith Hill
Bat Country	Avenged Sevenfold
Shake That	Eminem Featuring Nate Dogg
Confessions Of A Broken Heart (Daughter To Father)	Lindsay Lohan
I Should Have Cheated	Keyshia Cole
Yo (Excuse Me Miss)	Chris Brown
Seasons Of Love	Cast Of Rent
Twisted Transistor	Korn
Soul Meets Body	Death Cab For Cutie
Unbreakable	Alicia Keys
Fresh Azimiz	Bow Wow Featuring J-Kwon & Jermaine Dupri
Remedy	Seether
She Let Herself Go	George Strait
Girl Tonite	Twista Featuring Trey Songz
Don't Bother	Shakira
When I Get Where I'm Going	Brad Paisley Featuring Dolly Parton
I'm N Luv (Wit A Stripper)	T-Pain Featuring Mike Jones
Who You'd Be Today	Kenny Chesney
Skin (Sarabeth)	Rascal Flatts
Kerosene	Miranda Lambert
Who I Am Hates Who I've Been	Relient K
Touch It	Busta Rhymes
Miss Me Baby	Chris Cagle
DOA	Foo Fighters
Rodeo	Juvenile
The Ghost Of You	My Chemical Romance
Rompe	Daddy Yankee
Presidential	YoungBloodZ
Dare	Gorillaz Featuring Shaun Ryder
Better Life	Keith Urban
Comin' To Your City	Big & Rich
More Than Words	Frankie J
Shake	Ying Yang Twins Featuring Pitbull
Just Might (Make Me Believe)	Sugarland
Save Me	Shinedown
Best I Ever Had	Gary Allan
Stricken	Disturbed
Tonight I Wanna Cry	Keith Urban
Fix You	Coldplay
Pretty Vegas	INXS
Looking For You	Kirk Franklin
Gotta Go	Trey Songz
