Check On It	Beyonce Featuring Slim Thug
Grillz	Nelly Featuring Paul Wall, Ali & Gipp
Run It!	Chris Brown
Be Without You	Mary J. Blige
Stickwitu	The Pussycat Dolls
There It Go! (The Whistle Song)	Juelz Santana
Don't Forget About Us	Mariah Carey
You're Beautiful	James Blunt
Dirty Little Secret	The All-American Rejects
Laffy Taffy	D4L
Dance, Dance	Fall Out Boy
So Sick	Ne-Yo
Photograph	Nickelback
Unwritten	Natasha Bedingfield
Because Of You	Kelly Clarkson
One Wish	Ray J
Gold Digger	Kanye West Featuring Jamie Foxx
Unpredictable	Jamie Foxx Featuring Ludacris
Yo (Excuse Me Miss)	Chris Brown
My Humps	The Black Eyed Peas
I'm N Luv (Wit A Stripper)	T-Pain Featuring Mike Jones
L.O.V.E.	Ashlee Simpson
Shake That	Eminem Featuring Nate Dogg
Sugar, We're Goin' Down	Fall Out Boy
When I'm Gone	Eminem
We Belong Together	Gavin DeGraw
Jesus, Take The Wheel	Carrie Underwood
I Think They Like Me	Dem Franchize Boyz Featuring Jermaine Dupri, Da Brat & Bow Wow
Temperature	Sean Paul
Stay Fly	Three 6 Mafia Featuring Young Buck & Eightball & MJG
We Be Burnin'	Sean Paul
You And Me	Lifehouse
Pump It	The Black Eyed Peas
Honky Tonk Badonkadonk	Trace Adkins
Soul Survivor	Young Jeezy Featuring Akon
Everytime We Touch	Cascada
I'm Sprung	T-Pain
Beverly Hills	Weezer
Kryptonite (I'm On It)	Purple Ribbon All-Stars
Feel Good Inc	Gorillaz
Don't Cha	The Pussycat Dolls Featuring Busta Rhymes
Fireman	Lil Wayne
Rompe	Daddy Yankee
Wake Me Up When September Ends	Green Day
Hung Up	Madonna
Nasty Girl	The Notorious B.I.G. Featuring Diddy, Nelly, Jagged Edge & Avery Storm
If It's Lovin' That You Want	Rihanna
We Belong Together	Mariah Carey
Must Be Doin' Somethin' Right	Billy Currington
Lean Wit It, Rock Wit It	Dem Franchize Boyz Featuring Lil Peanut & Charlay
Turn It Up	Chamillionaire Featuring Lil' Flip
Luxurious	Gwen Stefani
Here We Go	Trina Featuring Kelly Rowland
Perfect Situation	Weezer
Fresh Azimiz	Bow Wow Featuring J-Kwon & Jermaine Dupri
Touch It	Busta Rhymes
When I Get Where I'm Going	Brad Paisley Featuring Dolly Parton
Upside Down	Jack Johnson
Like We Never Loved At All	Faith Hill
Boondocks	Little Big Town
Better Days	Goo Goo Dolls
Who I Am Hates Who I've Been	Relient K
Rodeo	Juvenile
Georgia	Ludacris & Field Mob Featuring Jamie Foxx
Soul Meets Body	Death Cab For Cutie
Walk Away	Kelly Clarkson
Tonight I Wanna Cry	Keith Urban
She Let Herself Go	George Strait
Come A Little Closer	Dierks Bentley
Kerosene	Miranda Lambert
Heard 'Em Say	Kanye West Featuring Adam Levine
Tequila Makes Her Clothes Fall Off	Joe Nichols
Your Man	Josh Turner
Just Might (Make Me Believe)	Sugarland
Bat Country	Avenged Sevenfold
Lights And Sounds	Yellowcard
Boyfriend	Ashlee Simpson
I Should Have Cheated	Keyshia Cole
Hypnotize	System Of A Down
My Old Friend	Tim McGraw
Gotta Go	Trey Songz
Love	Keyshia Cole
Looking For You	Kirk Franklin
Unbreakable	Alicia Keys
Believe	Brooks & Dunn
Breaking Free	Zac Efron, Andrew Seeley & Vanessa Anne Hudgens
Ms. New Booty	Bubba Sparxxx Featuring Ying Yang Twins & Mr. ColliPark
Who Says You Can't Go Home	Bon Jovi
Twisted Transistor	Korn
Have A Nice Day	Bon Jovi
She Don't Tell Me To	Montgomery Gentry
Get Drunk And Be Somebody	Toby Keith
Beep	The Pussycat Dolls Featuring will.i.am
Oh Yes (aka 'Postman')	Juelz Santana
Living In Fast Forward	Kenny Chesney
Cheatin'	Sara Evans
Miss Me Baby	Chris Cagle
King Without A Crown	Matisyahu
Ever The Same	Rob Thomas
Get'cha Head In The Game	Andrew Seeley
