You're Beautiful	James Blunt
Check On It	Beyonce Featuring Slim Thug
Temperature	Sean Paul
Grillz	Nelly Featuring Paul Wall, Ali & Gipp
Be Without You	Mary J. Blige
I'm N Luv (Wit A Stripper)	T-Pain Featuring Mike Jones
Yo (Excuse Me Miss)	Chris Brown
Unwritten	Natasha Bedingfield
So Sick	Ne-Yo
Everytime We Touch	Cascada
Lean Wit It, Rock Wit It	Dem Franchize Boyz Featuring Lil Peanut & Charlay
Shake That	Eminem Featuring Nate Dogg
Unpredictable	Jamie Foxx Featuring Ludacris
Dirty Little Secret	The All-American Rejects
Dance, Dance	Fall Out Boy
Touch It	Busta Rhymes
Stupid Girls	P!nk
Pump It	The Black Eyed Peas
Run It!	Chris Brown
Because Of You	Kelly Clarkson
Ms. New Booty	Bubba Sparxxx Featuring Ying Yang Twins & Mr. ColliPark
Stickwitu	The Pussycat Dolls
Gold Digger	Kanye West Featuring Jamie Foxx
My Humps	The Black Eyed Peas
Love	Keyshia Cole
One Wish	Ray J
Walk Away	Kelly Clarkson
Jesus, Take The Wheel	Carrie Underwood
Bad Day	Daniel Powter
Photograph	Nickelback
Beep	The Pussycat Dolls Featuring will.i.am
Fresh Azimiz	Bow Wow Featuring J-Kwon & Jermaine Dupri
There It Go! (The Whistle Song)	Juelz Santana
Laffy Taffy	D4L
You And Me	Lifehouse
Sugar, We're Goin' Down	Fall Out Boy
Who Says You Can't Go Home	Bon Jovi
Your Man	Josh Turner
Rompe	Daddy Yankee
Feel Good Inc	Gorillaz
We Be Burnin'	Sean Paul
When I Get Where I'm Going	Brad Paisley Featuring Dolly Parton
Tonight I Wanna Cry	Keith Urban
Rodeo	Juvenile
L.O.V.E.	Ashlee Simpson
Honky Tonk Badonkadonk	Trace Adkins
Don't Forget About Us	Mariah Carey
Upside Down	Jack Johnson
Crash	Gwen Stefani
I Think They Like Me	Dem Franchize Boyz Featuring Jermaine Dupri, Da Brat & Bow Wow
Perfect Situation	Weezer
Touch The Sky	Kanye West Featuring Lupe Fiasco
For You I Will (Confidence)	Teddy Geiger
Hung Up	Madonna
Living In Fast Forward	Kenny Chesney
SOS	Rihanna
Ever The Same	Rob Thomas
Turn It Up	Chamillionaire Featuring Lil' Flip
Rush	Aly & AJ
Black Sweat	Prince
King Without A Crown	Matisyahu
Girl Next Door	Saving Jane
Nasty Girl	The Notorious B.I.G. Featuring Diddy, Nelly, Jagged Edge & Avery Storm
Kerosene	Miranda Lambert
Oh Yes (aka 'Postman')	Juelz Santana
Lights And Sounds	Yellowcard
She Don't Tell Me To	Montgomery Gentry
Get Drunk And Be Somebody	Toby Keith
Looking For You	Kirk Franklin
Sorry	Madonna
Move Along	The All-American Rejects
Best Friend	50 Cent & Olivia
Ridin'	Chamillionaire Featuring Krayzie Bone
When I'm Gone	Eminem
Believe	Brooks & Dunn
Kryptonite (I'm On It)	Purple Ribbon All-Stars
Betcha Can't Do It Like Me	D4L
What Hurts The Most	Rascal Flatts
Just Might (Make Me Believe)	Sugarland
Breaking Free	Zac Efron, Andrew Seeley & Vanessa Anne Hudgens
Who I Am Hates Who I've Been	Relient K
Nobody But Me	Blake Shelton
Over My Head (Cable Car)	The Fray
Cheatin'	Sara Evans
My Hood	Young Jeezy
Poppin' My Collar	Three 6 Mafia
Gotta Go	Trey Songz
Tell Me When To Go	E-40 Featuring Keak Da Sneak
What's Left Of Me	Nick Lachey
In My Mind	Heather Headley
Boondocks	Little Big Town
Bring Out The Freak In You	Lil Rob
Control Myself	LL Cool J Featuring Jennifer Lopez
Luxurious	Gwen Stefani
Talk	Coldplay
Fireman	Lil Wayne
Wings Of A Butterfly	HIM
Dare	Gorillaz Featuring Shaun Ryder
She Let Herself Go	George Strait
Animals	Nickelback
