Bad Day	Daniel Powter
Temperature	Sean Paul
You're Beautiful	James Blunt
What You Know	T.I.
Be Without You	Mary J. Blige
Unwritten	Natasha Bedingfield
So Sick	Ne-Yo
Lean Wit It, Rock Wit It	Dem Franchize Boyz Featuring Lil Peanut & Charlay
Ms. New Booty	Bubba Sparxxx Featuring Ying Yang Twins & Mr. ColliPark
I'm N Luv (Wit A Stripper)	T-Pain Featuring Mike Jones
Yo (Excuse Me Miss)	Chris Brown
Everytime We Touch	Cascada
Walk Away	Kelly Clarkson
Beep	The Pussycat Dolls Featuring will.i.am
Check On It	Beyonce Featuring Slim Thug
Touch It	Busta Rhymes
Ridin'	Chamillionaire Featuring Krayzie Bone
Move Along	The All-American Rejects
Grillz	Nelly Featuring Paul Wall, Ali & Gipp
Love	Keyshia Cole
Savin' Me	Nickelback
Poppin' My Collar	Three 6 Mafia
Who Says You Can't Go Home	Bon Jovi
Rompe	Daddy Yankee
Dance, Dance	Fall Out Boy
Because Of You	Kelly Clarkson
Shake That	Eminem Featuring Nate Dogg
Unpredictable	Jamie Foxx Featuring Ludacris
Dirty Little Secret	The All-American Rejects
Stupid Girls	P!nk
Over My Head (Cable Car)	The Fray
Fresh Azimiz	Bow Wow Featuring J-Kwon & Jermaine Dupri
SOS	Rihanna
For You I Will (Confidence)	Teddy Geiger
Pump It	The Black Eyed Peas
Run It!	Chris Brown
My Humps	The Black Eyed Peas
Tell Me When To Go	E-40 Featuring Keak Da Sneak
Jesus, Take The Wheel	Carrie Underwood
Tonight I Wanna Cry	Keith Urban
Hips Don't Lie	Shakira Featuring Wyclef Jean
When You're Mad	Ne-Yo
Photograph	Nickelback
Gold Digger	Kanye West Featuring Jamie Foxx
You And Me	Lifehouse
Stickwitu	The Pussycat Dolls
Girl Next Door	Saving Jane
Get Drunk And Be Somebody	Toby Keith
Sugar, We're Goin' Down	Fall Out Boy
Ever The Same	Rob Thomas
I Write Sins Not Tragedies	Panic! At The Disco
What Hurts The Most	Rascal Flatts
Girl	Paul Wall
What's Left Of Me	Nick Lachey
King Without A Crown	Matisyahu
Best Friend	50 Cent & Olivia
When The Stars Go Blue	Tim McGraw
Upside Down	Jack Johnson
Your Man	Josh Turner
Nobody But Me	Blake Shelton
Looking For You	Kirk Franklin
Believe	Brooks & Dunn
When I Get Where I'm Going	Brad Paisley Featuring Dolly Parton
Living In Fast Forward	Kenny Chesney
Why	Jason Aldean
She Don't Tell Me To	Montgomery Gentry
Gettin' Some	Shawnna
Rush	Aly & AJ
Touch The Sky	Kanye West Featuring Lupe Fiasco
The Real Thing	Bo Bice
Can't Let Go	Anthony Hamilton
4 Minutes	Avant
Settle For A Slowdown	Dierks Bentley
Always On Your Side	Sheryl Crow & Sting
Something's Gotta Give	LeAnn Rimes
Back Like That	Ghostface Killah Featuring Ne-Yo
In My Mind	Heather Headley
The Only Difference Between Martyrdom And Suicide Is Press Coverage	Panic! At The Disco
Lo Que Son Las Cosas	Anais
A Little Less Sixteen Candles, A Little More Touch Me	Fall Out Boy
Wherever You Are	Jack Ingram
Rodeo	Juvenile
World Wide Suicide	Pearl Jam
The Lucky One	Faith Hill
Speak	Godsmack
Black Horse & The Cherry Tree	KT Tunstall
L.O.V.E.	Ashlee Simpson
Gold Lion	Yeah Yeah Yeahs
Snap Yo Fingers	Lil Jon Featuring E-40 & Sean Paul Of The YoungBloodZ
Breaking Free	Zac Efron, Andrew Seeley & Vanessa Anne Hudgens
Sorry	Madonna
Conceited (There's Something About Remy)	Remy Ma
How To Save A Life	The Fray
Lo Que Me Gusta A Mi	Juanes
It's Goin' Down	Yung Joc
Beautiful Love	The Afters
Perfect Situation	Weezer
Say I	Christina Milian Featuring Young Jeezy
Cheatin'	Sara Evans
Size Matters (Someday)	Joe Nichols
