Ridin'	Chamillionaire Featuring Krayzie Bone
Bad Day	Daniel Powter
SOS	Rihanna
Temperature	Sean Paul
Where'd You Go	Fort Minor Featuring Holly Brook
Dani California	Red Hot Chili Peppers
Snap Yo Fingers	Lil Jon Featuring E-40 & Sean Paul Of The YoungBloodZ
Over My Head (Cable Car)	The Fray
Promiscuous	Nelly Furtado Featuring Timbaland
What You Know	T.I.
What's Left Of Me	Nick Lachey
Ms. New Booty	Bubba Sparxxx Featuring Ying Yang Twins & Mr. ColliPark
Me & U	Cassie
Unfaithful	Rihanna
Unwritten	Natasha Bedingfield
Hips Don't Lie	Shakira Featuring Wyclef Jean
Gimme That	Chris Brown Featuring Lil Wayne
You're Beautiful	James Blunt
Savin' Me	Nickelback
When You're Mad	Ne-Yo
Walk Away	Kelly Clarkson
Be Without You	Mary J. Blige
Lean Wit It, Rock Wit It	Dem Franchize Boyz Featuring Lil Peanut & Charlay
Move Along	The All-American Rejects
Say I	Christina Milian Featuring Young Jeezy
It's Goin' Down	Yung Joc
Black Horse & The Cherry Tree	KT Tunstall
Everytime We Touch	Cascada
Let U Go	Ashley Parker Angel
Who Says You Can't Go Home	Bon Jovi
So What	Field Mob Featuring Ciara
What Hurts The Most	Rascal Flatts
Enough Cryin	Mary J. Blige Featuring Brook-Lyn
Gettin' Some	Shawnna
For You I Will (Confidence)	Teddy Geiger
Rompe	Daddy Yankee
I Write Sins Not Tragedies	Panic! At The Disco
Crazy	Gnarls Barkley
Girl Next Door	Saving Jane
Girl	Paul Wall
When The Stars Go Blue	Tim McGraw
Torn	LeToya
Settle For A Slowdown	Dierks Bentley
Why You Wanna	T.I.
Breathe (2 AM)	Anna Nalick
Summertime	Kenny Chesney
Dance, Dance	Fall Out Boy
Last Day Of My Life	Phil Vassar
Why	Jason Aldean
Bossy	Kelis Featuring Too $hort
Something's Gotta Give	LeAnn Rimes
Buttons	The Pussycat Dolls Featuring Snoop Dogg
DJ Play A Love Song	Jamie Foxx Featuring Twista
Chasing Cars	Snow Patrol
Beep	The Pussycat Dolls Featuring will.i.am
Do It To It	Cherish Featuring Sean Paul Of The YoungBloodZ
Best Friend	50 Cent & Olivia
4 Minutes	Avant
Hate Me	Blue October
Upside Down	Jack Johnson
The Real Thing	Bo Bice
Ever The Same	Rob Thomas
Doing Too Much	Paula DeAnda Featuring Baby Bash
Poppin' My Collar	Three 6 Mafia
The Adventure	Angels & Airwaves
Stupid Girls	P!nk
Stay With You	Goo Goo Dolls
A Little Less Sixteen Candles, A Little More Touch Me	Fall Out Boy
The World	Brad Paisley
Hustlin'	Rick Ross
Control Myself	LL Cool J Featuring Jennifer Lopez
Back Like That	Ghostface Killah Featuring Ne-Yo
MakeDamnSure	Taking Back Sunday
Size Matters (Someday)	Joe Nichols
Soundtrack To Your Life	Ashley Parker Angel
Every Time I Hear Your Name	Keith Anderson
Not Ready To Make Nice	Dixie Chicks
Don't Forget To Remember Me	Carrie Underwood
Wherever You Are	Jack Ingram
Miss Murder	AFI
Good Luck Charm	Jagged Edge
Steady, As She Goes	The Raconteurs
U And Dat	E-40 Featuring T-Pain & Kandi Girl
How To Save A Life	The Fray
The Lucky One	Faith Hill
The Seashores Of Old Mexico	George Strait
Can't Let Go	Anthony Hamilton
Love	Keyshia Cole
We Run This	Missy Elliott
Tell Me When To Go	E-40 Featuring Keak Da Sneak
Me And My Gang	Rascal Flatts
Life Ain't Always Beautiful	Gary Allan
A Little Too Late	Toby Keith
Crazy Bitch	Buckcherry
Hustler Musik	Lil Wayne
If You're Going Through Hell (Before The Devil Even Knows)	Rodney Atkins
I Am Not My Hair	India.Arie
Snow ((Hey Oh))	Red Hot Chili Peppers
I Got You	Craig Morgan
Get Drunk And Be Somebody	Toby Keith
