London Bridge	Fergie
Crazy	Gnarls Barkley
Promiscuous	Nelly Furtado Featuring Timbaland
Me & U	Cassie
Buttons	The Pussycat Dolls Featuring Snoop Dogg
(When You Gonna) Give It Up To Me	Sean Paul Feat. Keyshia Cole
I Write Sins Not Tragedies	Panic! At The Disco
Ain't No Other Man	Christina Aguilera
Sexy Love	Ne-Yo
Shoulder Lean	Young Dro Featuring T.I.
Over My Head (Cable Car)	The Fray
Deja Vu	Beyonce Featuring Jay Z
U And Dat	E-40 Featuring T-Pain & Kandi Girl
Do It To It	Cherish Featuring Sean Paul Of The YoungBloodZ
It's Goin' Down	Yung Joc
Unfaithful	Rihanna
Hips Don't Lie	Shakira Featuring Wyclef Jean
Bossy	Kelis Featuring Too $hort
Snap Yo Fingers	Lil Jon Featuring E-40 & Sean Paul Of The YoungBloodZ
Pullin' Me Back	Chingy Featuring Tyrese
Get Up	Ciara Featuring Chamillionaire
I Know You See It	Yung Joc Featuring Brandy 'Ms. B.' Hambrick
Far Away	Nickelback
A Public Affair	Jessica Simpson
Move Along	The All-American Rejects
Dani California	Red Hot Chili Peppers
So What	Field Mob Featuring Ciara
Ridin'	Chamillionaire Featuring Krayzie Bone
When You Were Young	The Killers
Black Horse & The Cherry Tree	KT Tunstall
Chasing Cars	Snow Patrol
Bad Day	Daniel Powter
About Us	Brooke Hogan Featuring Paul Wall
Savin' Me	Nickelback
SexyBack	Justin Timberlake
If You're Going Through Hell (Before The Devil Even Knows)	Rodney Atkins
Unwritten	Natasha Bedingfield
Leave The Pieces	The Wreckers
Chain Hang Low	Jibbs
SOS	Rihanna
Brand New Girlfriend	Steve Holy
Stars Are Blind	Paris Hilton
What Hurts The Most	Rascal Flatts
Call On Me	Janet & Nelly
What's Left Of Me	Nick Lachey
The Riddle	Five For Fighting
Hate Me	Blue October
Why You Wanna	T.I.
Lips Of An Angel	Hinder
Life Is A Highway	Rascal Flatts
Where'd You Go	Fort Minor Featuring Holly Brook
S.E.X.	Lyfe Jennings
Miss Murder	AFI
Hustlin'	Rick Ross
The Diary Of Jane	Breaking Benjamin
Gimme That	Chris Brown Featuring Lil Wayne
Would You Go With Me	Josh Turner
Waiting On The World To Change	John Mayer
Summertime	Kenny Chesney
Torn	LeToya
How To Save A Life	The Fray
Me And My Gang	Rascal Flatts
Bring It On Home	Little Big Town
The World	Brad Paisley
Steady, As She Goes	The Raconteurs
Life Ain't Always Beautiful	Gary Allan
A Little Too Late	Toby Keith
Animal I Have Become	Three Days Grace
Crazy Bitch	Buckcherry
Gallery	Mario Vazquez
Through Glass	Stone Sour
I Love My B****	Busta Rhymes Featuring will.i.am & Kelis
Sunshine And Summertime	Faith Hill
Doing Too Much	Paula DeAnda Featuring Baby Bash
I Loved Her First	Heartland
Invisible	Ashlee Simpson
Building Bridges	Brooks & Dunn With Sheryl Crow & Vince Gill
Breathe (2 AM)	Anna Nalick
Say Goodbye	Chris Brown
Don't Forget To Remember Me	Carrie Underwood
Stay With You	Goo Goo Dolls
Swing	Trace Adkins
MakeDamnSure	Taking Back Sunday
Put Your Records On	Corinne Bailey Rae
Entourage	Omarion
The Kill (Bury Me)	30 Seconds To Mars
Enough Cryin	Mary J. Blige Featuring Brook-Lyn
I Call It Love	Lionel Richie
Suddenly I See	KT Tunstall
Give It Away	George Strait
Yee Haw	Jake Owen
Everytime Tha Beat Drop	Monica Featuring Dem Franchize Boyz
Not Ready To Make Nice	Dixie Chicks
Face Down	The Red Jumpsuit Apparatus
Every Mile A Memory	Dierks Bentley
Money Maker	Ludacris Featuring Pharrell
When The Stars Go Blue	Tim McGraw
Every Time I Hear Your Name	Keith Anderson
Need A Boss	Shareefa Featuring Ludacris
That Girl	Frankie J Featuring Mannie Fresh & Chamillionaire
