SexyBack	Justin Timberlake
Money Maker	Ludacris Featuring Pharrell
Lips Of An Angel	Hinder
Smack That	Akon Featuring Eminem
How To Save A Life	The Fray
Chasing Cars	Snow Patrol
Chain Hang Low	Jibbs
Too Little Too Late	JoJo
White & Nerdy	"Weird Al" Yankovic
Far Away	Nickelback
London Bridge	Fergie
Call Me When You're Sober	Evanescence
My Love	Justin Timberlake Featuring T.I.
When You Were Young	The Killers
Pullin' Me Back	Chingy Featuring Tyrese
Show Stopper	Danity Kane
Say Goodbye	Chris Brown
Buttons	The Pussycat Dolls Featuring Snoop Dogg
Maneater	Nelly Furtado
Ring The Alarm	Beyonce
Get Up	Ciara Featuring Chamillionaire
I Know You See It	Yung Joc Featuring Brandy 'Ms. B.' Hambrick
Crazy	Gnarls Barkley
Sexy Love	Ne-Yo
Over My Head (Cable Car)	The Fray
(When You Gonna) Give It Up To Me	Sean Paul Feat. Keyshia Cole
Waiting On The World To Change	John Mayer
Come To Me	Diddy Featuring Nicole Scherzinger
I Write Sins Not Tragedies	Panic! At The Disco
Promiscuous	Nelly Furtado Featuring Timbaland
U And Dat	E-40 Featuring T-Pain & Kandi Girl
Shoulder Lean	Young Dro Featuring T.I.
Before He Cheats	Carrie Underwood
What Hurts The Most	Rascal Flatts
Give It Away	George Strait
I Loved Her First	Heartland
S.E.X.	Lyfe Jennings
Ain't No Other Man	Christina Aguilera
Hate Me	Blue October
Gallery	Mario Vazquez
Move Along	The All-American Rejects
Me & U	Cassie
Would You Go With Me	Josh Turner
Hips Don't Lie	Shakira Featuring Wyclef Jean
Chicken Noodle Soup.	Webstar & Young B Featuring The Voice Of Harlem
It's Goin' Down	Yung Joc
Walk It Out	Unk
Everytime Tha Beat Drop	Monica Featuring Dem Franchize Boyz
That Girl	Frankie J Featuring Mannie Fresh & Chamillionaire
You Save Me	Kenny Chesney
Want To	Sugarland
My Wish	Rascal Flatts
Call On Me	Janet & Nelly
Once In A Lifetime	Keith Urban
Fergalicious	Fergie
Stuntin' Like My Daddy	Birdman & Lil Wayne
My Little Girl	Tim McGraw
Every Mile A Memory	Dierks Bentley
Tell Me Baby	Red Hot Chili Peppers
About Us	Brooke Hogan Featuring Paul Wall
Push It	Rick Ross
I Call It Love	Lionel Richie
The Riddle	Five For Fighting
Right Where You Want Me	Jesse McCartney
Money In The Bank	Lil Scrappy Featuring Young Buck
Leave The Pieces	The Wreckers
Need A Boss	Shareefa Featuring Ludacris
Tim McGraw	Taylor Swift
Life Is A Highway	Rascal Flatts
Remember The Name	Fort Minor Featuring Styles Of Beyond
Put Your Records On	Corinne Bailey Rae
Suddenly I See	KT Tunstall
Take Me As I Am	Mary J. Blige
Here It Goes Again	OK Go
Hurt	Christina Aguilera
It's Okay (One Blood)	The Game Featuring Junior Reid
Brand New Girlfriend	Steve Holy
Welcome To The Black Parade	My Chemical Romance
I Wanna Love You	Akon Featuring Snoop Dogg
Shortie Like Mine	Bow Wow Featuring Chris Brown & Johnta Austin
Through Glass	Stone Sour
Canadian Idiot	"Weird Al" Yankovic
Building Bridges	Brooks & Dunn With Sheryl Crow & Vince Gill
It Ends Tonight	The All-American Rejects
Like Red On A Rose	Alan Jackson
The Kill (Bury Me)	30 Seconds To Mars
We Fly High	Jim Jones
Boston	Augustana
The Diary Of Jane	Breaking Benjamin
Show Me What You Got	JAY-Z
Come Back To Me	Vanessa Hudgens
Rockstar	Nickelback
Unappreciated	Cherish
I Can't Hate You Anymore	Nick Lachey
Walk Away (Remember Me)	Paula DeAnda Featuring The DEY
She's Everything	Brad Paisley
Face Down	The Red Jumpsuit Apparatus
Chemicals React	Aly & AJ
Deja Vu	Beyonce Featuring Jay Z
So Excited	Janet Featuring Khia
