My Love	Justin Timberlake Featuring T.I.
Smack That	Akon Featuring Eminem
Fergalicious	Fergie
Money Maker	Ludacris Featuring Pharrell
Lips Of An Angel	Hinder
How To Save A Life	The Fray
SexyBack	Justin Timberlake
Chasing Cars	Snow Patrol
Irreplaceable	Beyonce
Say Goodbye	Chris Brown
Too Little Too Late	JoJo
Far Away	Nickelback
Show Stopper	Danity Kane
Shortie Like Mine	Bow Wow Featuring Chris Brown & Johnta Austin
Welcome To The Black Parade	My Chemical Romance
Call Me When You're Sober	Evanescence
Come To Me	Diddy Featuring Nicole Scherzinger
It Ends Tonight	The All-American Rejects
Walk It Out	Unk
I Wanna Love You	Akon Featuring Snoop Dogg
Stuntin' Like My Daddy	Birdman & Lil Wayne
Hurt	Christina Aguilera
White & Nerdy	"Weird Al" Yankovic
Chain Hang Low	Jibbs
Before He Cheats	Carrie Underwood
Get Up	Ciara Featuring Chamillionaire
London Bridge	Fergie
Maneater	Nelly Furtado
We Fly High	Jim Jones
Buttons	The Pussycat Dolls Featuring Snoop Dogg
Waiting On The World To Change	John Mayer
Money In The Bank	Lil Scrappy Featuring Young Buck
Crazy	Gnarls Barkley
What Hurts The Most	Rascal Flatts
When You Were Young	The Killers
Over My Head (Cable Car)	The Fray
Gallery	Mario Vazquez
My Wish	Rascal Flatts
My Little Girl	Tim McGraw
Wind It Up	Gwen Stefani
I Write Sins Not Tragedies	Panic! At The Disco
Sexy Love	Ne-Yo
Want To	Sugarland
I Know You See It	Yung Joc Featuring Brandy 'Ms. B.' Hambrick
Love Me Or Hate Me (F**k You!!!!)	Lady Sovereign
Ring The Alarm	Beyonce
Show Me What You Got	JAY-Z
You Save Me	Kenny Chesney
I Loved Her First	Heartland
Walk Away (Remember Me)	Paula DeAnda Featuring The DEY
Tim McGraw	Taylor Swift
About Us	Brooke Hogan Featuring Paul Wall
Once In A Lifetime	Keith Urban
She's Everything	Brad Paisley
Make It Rain	Fat Joe Featuring Lil Wayne
Suddenly I See	KT Tunstall
Push It	Rick Ross
Take Me As I Am	Mary J. Blige
Through Glass	Stone Sour
Unappreciated	Cherish
S.E.X.	Lyfe Jennings
Every Mile A Memory	Dierks Bentley
Tell Me	Diddy Featuring Christina Aguilera
Would You Go With Me	Josh Turner
Tu Amor	RBD
Boston	Augustana
Need A Boss	Shareefa Featuring Ludacris
I Call It Love	Lionel Richie
Come Back To Me	Vanessa Hudgens
Some People Change	Montgomery Gentry
If We Were A Movie	Hannah Montana
Streetcorner Symphony	Rob Thomas
Give It Away	George Strait
The Riddle	Five For Fighting
Tell Me Baby	Red Hot Chili Peppers
Chicken Noodle Soup.	Webstar & Young B Featuring The Voice Of Harlem
Here It Goes Again	OK Go
Everytime Tha Beat Drop	Monica Featuring Dem Franchize Boyz
Rockstar	Nickelback
The Kill (Bury Me)	30 Seconds To Mars
Save Room	John Legend
The Diary Of Jane	Breaking Benjamin
Hate (I Really Don't Like You)	Plain White T's
Amarillo Sky	Jason Aldean
Mountains	Lonestar
It Just Comes Natural	George Strait
Love You	Jack Ingram
It's Okay (One Blood)	The Game Featuring Junior Reid
That Girl	Frankie J Featuring Mannie Fresh & Chamillionaire
Watching You	Rodney Atkins
Put Your Records On	Corinne Bailey Rae
Upgrade U	Beyonce Featuring Jay Z
Dem Jeans	Chingy Featuring Jermaine Dupri
Change Me	Ruben Studdard
Right Where You Want Me	Jesse McCartney
Crash Here Tonight	Toby Keith
Here (In Your Arms)	Hellogoodbye
Who Said	Hannah Montana
Red High Heels	Kellie Pickler
Tengo Un Amor	Toby Love Featuring Rakim & Ken-Y
