Irreplaceable	Beyonce
I Wanna Love You	Akon Featuring Snoop Dogg
Smack That	Akon Featuring Eminem
Fergalicious	Fergie
My Love	Justin Timberlake Featuring T.I.
Say It Right	Nelly Furtado
We Fly High	Jim Jones
How To Save A Life	The Fray
Shortie Like Mine	Bow Wow Featuring Chris Brown & Johnta Austin
Lips Of An Angel	Hinder
Promise	Ciara
Wind It Up	Gwen Stefani
Walk It Out	Unk
I Luv It	Young Jeezy
Money Maker	Ludacris Featuring Pharrell
SexyBack	Justin Timberlake
Chasing Cars	Snow Patrol
It Ends Tonight	The All-American Rejects
Keep Holding On	Avril Lavigne
Far Away	Nickelback
Hurt	Christina Aguilera
Walk Away (Remember Me)	Paula DeAnda Featuring The DEY
Before He Cheats	Carrie Underwood
That's That	Snoop Dogg Featuring R. Kelly
You Don't Know	Eminem, 50 Cent, Lloyd Banks & Ca$his
You	Lloyd Featuring Lil Wayne
Welcome To The Black Parade	My Chemical Romance
Say Goodbye	Chris Brown
Waiting On The World To Change	John Mayer
Make It Rain	Fat Joe Featuring Lil Wayne
Runaway Love	Ludacris Featuring Mary J. Blige
Money In The Bank	Lil Scrappy Featuring Young Buck
My Wish	Rascal Flatts
Call Me When You're Sober	Evanescence
Too Little Too Late	JoJo
She's Everything	Brad Paisley
Wait A Minute	The Pussycat Dolls Featuring Timbaland
What Goes Around...Comes Around	Justin Timberlake
Want To	Sugarland
Watching You	Rodney Atkins
Through Glass	Stone Sour
Stuntin' Like My Daddy	Birdman & Lil Wayne
My Little Girl	Tim McGraw
It's Not Over	Daughtry
Tim McGraw	Taylor Swift
What Hurts The Most	Rascal Flatts
Tell Me	Diddy Featuring Christina Aguilera
Come To Me	Diddy Featuring Nicole Scherzinger
Snow ((Hey Oh))	Red Hot Chili Peppers
Happy Xmas (War Is Over)	The Fray
Unappreciated	Cherish
Show Me What You Got	JAY-Z
Show Stopper	Danity Kane
Break It Off	Rihanna & Sean Paul
White & Nerdy	"Weird Al" Yankovic
Hip Hop Is Dead	Nas Featuring will.i.am
Ice Box	Omarion
It Just Comes Natural	George Strait
When You Were Young	The Killers
Lost One	Jay-Z Featuring Chrisette Michele
Maneater	Nelly Furtado
Here It Goes Again	OK Go
Here (In Your Arms)	Hellogoodbye
Poppin'	Chris Brown Featuring Jay Biz
Amarillo Sky	Jason Aldean
Into The Ocean	Blue October
Some People Change	Montgomery Gentry
You Save Me	Kenny Chesney
Boston	Augustana
Zoom	Lil' Boosie Featuring Yung Joc
River	Sarah McLachlan
Rockstar	Nickelback
Streetcorner Symphony	Rob Thomas
Upgrade U	Beyonce Featuring Jay Z
The Saints Are Coming	U2 & Green Day
Take Me As I Am	Mary J. Blige
Anna-Molly	Incubus
Face Down	The Red Jumpsuit Apparatus
Come Back To Me	Vanessa Hudgens
Pain	Three Days Grace
The Carpal Tunnel Of Love	Fall Out Boy
Stupid Boy	Keith Urban
Top Back	T.I.
Chain Hang Low	Jibbs
Dem Jeans	Chingy Featuring Jermaine Dupri
Throw Some D's	Rich Boy Featuring Polow Da Don
I Loved Her First	Heartland
Love Like Winter	AFI
Let's Ride	The Game
Ladies Love Country Boys	Trace Adkins
Lost Without U	Robin Thicke
Nothing Left To Lose	Mat Kearney
The Sweet Escape	Gwen Stefani Featuring Akon
Red High Heels	Kellie Pickler
I'll Be Home For Christmas (Live)	Josh Groban
Ay Chico (Lengua Afuera)	Pitbull
Little Bit Of Life	Craig Morgan
Fidelity	Regina Spektor
One Wing In The Fire	Trent Tomlinson
The Way I Live	Baby Boy Da Prince Featuring Lil Boosie
