Say It Right	Nelly Furtado
Irreplaceable	Beyonce
The Sweet Escape	Gwen Stefani Featuring Akon
This Ain't A Scene, It's An Arms Race	Fall Out Boy
Runaway Love	Ludacris Featuring Mary J. Blige
It's Not Over	Daughtry
Cupid's Chokehold/Breakfast In America	Gym Class Heroes Featuring Patrick Stump
What Goes Around...Comes Around	Justin Timberlake
Glamorous	Fergie Featuring Ludacris
I Wanna Love You	Akon Featuring Snoop Dogg
Don't Matter	Akon
You	Lloyd Featuring Lil Wayne
Walk It Out	Unk
We Fly High	Jim Jones
Make It Rain	Fat Joe Featuring Lil Wayne
On The Hotline	Pretty Ricky
Here (In Your Arms)	Hellogoodbye
Ice Box	Omarion
Fergalicious	Fergie
My Love	Justin Timberlake Featuring T.I.
Smack That	Akon Featuring Eminem
How To Save A Life	The Fray
Welcome To The Black Parade	My Chemical Romance
Waiting On The World To Change	John Mayer
Lost Without U	Robin Thicke
Promise	Ciara
Walk Away (Remember Me)	Paula DeAnda Featuring The DEY
Lips Of An Angel	Hinder
Snow ((Hey Oh))	Red Hot Chili Peppers
SexyBack	Justin Timberlake
It Ends Tonight	The All-American Rejects
Suddenly I See	KT Tunstall
Chasing Cars	Snow Patrol
Top Back	T.I.
Shortie Like Mine	Bow Wow Featuring Chris Brown & Johnta Austin
Before He Cheats	Carrie Underwood
Keep Holding On	Avril Lavigne
Boston	Augustana
If Everyone Cared	Nickelback
Face Down	The Red Jumpsuit Apparatus
The Way I Live	Baby Boy Da Prince Featuring Lil Boosie
Poppin'	Chris Brown Featuring Jay Biz
Stupid Boy	Keith Urban
Watching You	Rodney Atkins
Throw Some D's	Rich Boy Featuring Polow Da Don
This Is Why I'm Hot	Mims
Break It Off	Rihanna & Sean Paul
Far Away	Nickelback
Smile	Lily Allen
She's Everything	Brad Paisley
Last Night	Diddy Featuring Keyshia Cole
That's That	Snoop Dogg Featuring R. Kelly
Into The Ocean	Blue October
Tell Me	Diddy Featuring Christina Aguilera
Buddy	Musiq Soulchild
King Kong	Jibbs Featuring Chamillionaire
Nothing Left To Lose	Mat Kearney
She's Like The Wind	Lumidee Featuring Tony Sunshine
Hurt	Christina Aguilera
Over It	Katharine McPhee
Say OK	Vanessa Hudgens
Go Getta	Young Jeezy Featuring R. Kelly
Pain	Three Days Grace
Alyssa Lies	Jason Michael Carroll
It Just Comes Natural	George Strait
Fidelity	Regina Spektor
Ladies Love Country Boys	Trace Adkins
Wind It Up	Gwen Stefani
Wait A Minute	The Pussycat Dolls Featuring Timbaland
I Luv It	Young Jeezy
Push It To The Limit	Corbin Bleu
Amarillo Sky	Jason Aldean
Wouldn't Get Far	The Game Featuring Kanye West
White & Nerdy	"Weird Al" Yankovic
Little Bit Of Life	Craig Morgan
From Yesterday	30 Seconds To Mars
Outside Looking In	Jordan Pruitt
Not Fade Away	Sheryl Crow
Zoom	Lil' Boosie Featuring Yung Joc
Be Good To Me	Ashley Tisdale
And I Am Telling You I'm Not Going	Jennifer Hudson
Wasted	Carrie Underwood
Red High Heels	Kellie Pickler
Beer In Mexico	Kenny Chesney
Settlin'	Sugarland
Grace Kelly	MIKA
Give It To Me	Timbaland Featuring Nelly Furtado & Justin Timberlake
Streetcorner Symphony	Rob Thomas
Hillbilly Deluxe	Brooks & Dunn
Candyman	Christina Aguilera
Listen	Beyonce
I'll Wait For You	Joe Nichols
1st Time	Yung Joc Featuring Marques Houston & Trey Songz
2 Step	Unk
Famous Last Words	My Chemical Romance
U + Ur Hand	P!nk
Thinking About You	Norah Jones
Anyway	Martina McBride
Dashboard	Modest Mouse
Rock Yo Hips	Crime Mob Featuring Lil Scrappy
