Makes Me Wonder	Maroon 5
Girlfriend	Avril Lavigne
Give It To Me	Timbaland Featuring Nelly Furtado & Justin Timberlake
Buy U A Drank (Shawty Snappin')	T-Pain Featuring Yung Joc
Because Of You	Ne-Yo
I'll Stand By You	Carrie Underwood
Glamorous	Fergie Featuring Ludacris
Never Again	Kelly Clarkson
Don't Matter	Akon
The Sweet Escape	Gwen Stefani Featuring Akon
I Tried	Bone Thugs-N-Harmony Featuring Akon
Pop, Lock & Drop It	Huey
Last Night	Diddy Featuring Keyshia Cole
Before He Cheats	Carrie Underwood
Cupid's Chokehold/Breakfast In America	Gym Class Heroes Featuring Patrick Stump
U + Ur Hand	P!nk
This Is Why I'm Hot	Mims
I'm A Flirt	R. Kelly Or Bow Wow (Featuring T.I. & T-Pain)
Beautiful Liar	Beyonce & Shakira
Like A Boy	Ciara
Home	Daughtry
Summer Love	Justin Timberlake
The Way I Live	Baby Boy Da Prince Featuring Lil Boosie
Get It Shawty	Lloyd
What I've Done	Linkin Park
If Everyone Cared	Nickelback
Lost Without U	Robin Thicke
Icky Thump	The White Stripes
It's Not Over	Daughtry
Say It Right	Nelly Furtado
Outta My System	Bow Wow Featuring T-Pain & Johnta Austin
Face Down	The Red Jumpsuit Apparatus
What Goes Around...Comes Around	Justin Timberlake
2 Step	Unk
Go Getta	Young Jeezy Featuring R. Kelly
Rock Yo Hips	Crime Mob Featuring Lil Scrappy
Better Than Me	Hinder
We Takin' Over	DJ Khaled Featuring T.I., Akon, Rick Ross, Fat Joe, Lil' Wayne & Baby
How To Save A Life	The Fray
Wasted	Carrie Underwood
Thnks Fr Th Mmrs	Fall Out Boy
Irreplaceable	Beyonce
Walk It Out	Unk
Hey There Delilah	Plain White T's
Throw Some D's	Rich Boy Featuring Polow Da Don
Stand	Rascal Flatts
Last Dollar (Fly Away)	Tim McGraw
Ticks	Brad Paisley
Good Directions	Billy Currington
Big Girls Don't Cry	Fergie
Buddy	Musiq Soulchild
Over It	Katharine McPhee
Teardrops On My Guitar	Taylor Swift
Settlin'	Sugarland
Forever	Papa Roach
Up To The Mountain	Kelly Clarkson Featuring Jeff Beck
This Ain't A Scene, It's An Arms Race	Fall Out Boy
Anyway	Martina McBride
With Love	Hilary Duff
Little Wonders	Rob Thomas
Stolen	Dashboard Confessional
Like This	Kelly Rowland Featuring Eve
Umbrella	Rihanna Featuring Jay-Z
Candyman	Christina Aguilera
Signal Fire	Snow Patrol
Moments	Emerson Drive
Party Like A Rockstar	Shop Boyz
High Maintenance Woman	Toby Keith
Lost In This Moment	Big & Rich
Long Trip Alone	Dierks Bentley
Doe Boy Fresh	Three 6 Mafia Featuring Chamillionaire
Please Don't Go	Tank
Read My Mind	The Killers
A Woman's Love	Alan Jackson
When I See U	Fantasia
Find Out Who Your Friends Are	Tracy Lawrence
She's Like The Wind	Lumidee Featuring Tony Sunshine
You Raise Me Up	Josh Groban & The African Children's Choir
Beer In Mexico	Kenny Chesney
A Different World	Bucky Covington
Grace Kelly	MIKA
You Know I'm No Good	Amy Winehouse
Look After You	The Fray
If I Was Your Man	Joe
On The Hotline	Pretty Ricky
Lucky Man	Montgomery Gentry
Breath	Breaking Benjamin
Wrapped	George Strait
I'm Throwed	Paul Wall Featuring Jermaine Dupri
Don't Make Me	Blake Shelton
It's Me Snitches	Swizz Beatz
Johnny Cash	Jason Aldean
I Don't Need A Man	The Pussycat Dolls
Dig	Incubus
Smile	Lily Allen
Upgrade U	Beyonce Featuring Jay Z
Gravity	John Mayer
Me And God	Josh Turner
Sexy Lady	Yung Berg Featuring Junior
Wipe Me Down	Lil Boosie Featuring Foxx & Webbie
