Umbrella	Rihanna Featuring Jay-Z
Party Like A Rockstar	Shop Boyz
Makes Me Wonder	Maroon 5
Buy U A Drank (Shawty Snappin')	T-Pain Featuring Yung Joc
Home	Daughtry
Summer Love	Justin Timberlake
Girlfriend	Avril Lavigne
Big Girls Don't Cry	Fergie
Never Again	Kelly Clarkson
Pop, Lock & Drop It	Huey
Give It To Me	Timbaland Featuring Nelly Furtado & Justin Timberlake
Before He Cheats	Carrie Underwood
I Tried	Bone Thugs-N-Harmony Featuring Akon
U + Ur Hand	P!nk
This Is My Now	Jordin Sparks
Glamorous	Fergie Featuring Ludacris
Thnks Fr Th Mmrs	Fall Out Boy
You Give Love A Bad Name	Blake Lewis
The Sweet Escape	Gwen Stefani Featuring Akon
What I've Done	Linkin Park
Get It Shawty	Lloyd
I'm A Flirt	R. Kelly Or Bow Wow (Featuring T.I. & T-Pain)
Because Of You	Ne-Yo
Don't Matter	Akon
Last Night	Diddy Featuring Keyshia Cole
This Is Why I'm Hot	Mims
Hey There Delilah	Plain White T's
Like A Boy	Ciara
Cupid's Chokehold/Breakfast In America	Gym Class Heroes Featuring Patrick Stump
Big Things Poppin' (Do It)	T.I.
Outta My System	Bow Wow Featuring T-Pain & Johnta Austin
The Way I Live	Baby Boy Da Prince Featuring Lil Boosie
Do You Know? (The Ping Pong Song)/Dimelo	Enrique Iglesias
It's Not Over	Daughtry
Wait For You	Elliott Yamin
We Takin' Over	DJ Khaled Featuring T.I., Akon, Rick Ross, Fat Joe, Lil' Wayne & Baby
2 Step	Unk
Rock Yo Hips	Crime Mob Featuring Lil Scrappy
If Everyone Cared	Nickelback
Better Than Me	Hinder
Face Down	The Red Jumpsuit Apparatus
Wipe Me Down	Lil Boosie Featuring Foxx & Webbie
Ticks	Brad Paisley
Say It Right	Nelly Furtado
Please Don't Go	Tank
Teardrops On My Guitar	Taylor Swift
Good Directions	Billy Currington
Beautiful Liar	Beyonce & Shakira
Lean Like A Cholo	Down A.K.A. Kilo
What Goes Around...Comes Around	Justin Timberlake
Lost In This Moment	Big & Rich
Anonymous	Bobby Valentino Featuring Timbaland
Working Class Hero	Green Day
Tarantula	The Smashing Pumpkins
Like This	Kelly Rowland Featuring Eve
Moments	Emerson Drive
Stolen	Dashboard Confessional
Wasted	Carrie Underwood
When I See U	Fantasia
Forever	Papa Roach
I Don't Wanna Stop	Ozzy Osbourne
Find Out Who Your Friends Are	Tracy Lawrence
Rehab	Amy Winehouse
Go Getta	Young Jeezy Featuring R. Kelly
Same Girl	R. Kelly Duet With Usher
A Broken Wing	Jordin Sparks
The Great Escape	Boys Like Girls
Straight To The Bank	50 Cent
Little Wonders	Rob Thomas
Sexy Lady	Yung Berg Featuring Junior
Stand	Rascal Flatts
Lucky Man	Montgomery Gentry
Icky Thump	The White Stripes
Impacto	Daddy Yankee Featuring Fergie
High Maintenance Woman	Toby Keith
4 In The Morning	Gwen Stefani
A Woman's Love	Alan Jackson
Like This	Mims
Wrapped	George Strait
I Who Have Nothing	Jordin Sparks
Settlin'	Sugarland
teachme	Musiq Soulchild
Beautiful Girls	Sean Kingston
I Told You So	Keith Urban
(You Want To) Make A Memory	Bon Jovi
This Ain't A Scene, It's An Arms Race	Fall Out Boy
Johnny Cash	Jason Aldean
Tambourine	Eve
Last Dollar (Fly Away)	Tim McGraw
A Different World	Bucky Covington
First Time	Lifehouse
Buddy	Musiq Soulchild
Candyman	Christina Aguilera
I Need You	Tim McGraw With Faith Hill
Lip Gloss	Lil Mama
Make Me Better	Fabolous Featuring Ne-Yo
Get Me Bodied	Beyonce
I'll Stand By You	Carrie Underwood
Time Of The Season	Blake Lewis
Don't Make Me	Blake Shelton
