Hey There Delilah	Plain White T's
Umbrella	Rihanna Featuring Jay-Z
Big Girls Don't Cry	Fergie
Party Like A Rockstar	Shop Boyz
The Way I Are	Timbaland Featuring Keri Hilson
Buy U A Drank (Shawty Snappin')	T-Pain Featuring Yung Joc
A Bay Bay	Hurricane Chris
Bartender	T-Pain Featuring Akon
Makes Me Wonder	Maroon 5
Make Me Better	Fabolous Featuring Ne-Yo
Big Things Poppin' (Do It)	T.I.
Summer Love	Justin Timberlake
What I've Done	Linkin Park
Rehab	Amy Winehouse
Thnks Fr Th Mmrs	Fall Out Boy
Girlfriend	Avril Lavigne
Beautiful Girls	Sean Kingston
Before He Cheats	Carrie Underwood
Wait For You	Elliott Yamin
Shawty	Plies Featuring T-Pain
Home	Daughtry
Shut Up And Drive	Rihanna
Potential Breakup Song	Aly & AJ
Rockstar	Nickelback
Get It Shawty	Lloyd
Same Girl	R. Kelly Duet With Usher
The Sweet Escape	Gwen Stefani Featuring Akon
Pop, Lock & Drop It	Huey
Whine Up	Kat DeLuna Featuring Elephant Man
Sexy Lady	Yung Berg Featuring Junior
Glamorous	Fergie Featuring Ludacris
Like This	Mims
U + Ur Hand	P!nk
Lip Gloss	Lil Mama
Never Wanted Nothing More	Kenny Chesney
Give It To Me	Timbaland Featuring Nelly Furtado & Justin Timberlake
The Great Escape	Boys Like Girls
Lost In This Moment	Big & Rich
Tambourine	Eve
Teardrops On My Guitar	Taylor Swift
Lean Like A Cholo	Down A.K.A. Kilo
When I See U	Fantasia
Wipe Me Down	Lil Boosie Featuring Foxx & Webbie
Like This	Kelly Rowland Featuring Eve
First Time	Lifehouse
Do You	Ne-Yo
Crank That (Soulja Boy)	Soulja Boy Tell'em
Let It Go	Keyshia Cole Featuring Missy Elliott & Lil Kim
Never Again	Kelly Clarkson
I Need You	Tim McGraw With Faith Hill
How Do I Breathe	Mario
When You're Gone	Avril Lavigne
Because Of You	Ne-Yo
Do You Know? (The Ping Pong Song)/Dimelo	Enrique Iglesias
teachme	Musiq Soulchild
I Told You So	Keith Urban
I Tried	Bone Thugs-N-Harmony Featuring Akon
Like A Boy	Ciara
4 In The Morning	Gwen Stefani
Icky Thump	The White Stripes
Everything	Michael Buble
Nobody's Perfect	Hannah Montana
Life's What You Make It	Hannah Montana
Better Than Me	Hinder
Because Of You	Reba McEntire Duet With Kelly Clarkson
Paralyzer	Finger Eleven
Who Knew	P!nk
(You Want To) Make A Memory	Bon Jovi
Teenagers	My Chemical Romance
Get Me Bodied	Beyonce
Please Don't Go	Tank
Ticks	Brad Paisley
LoveStoned	Justin Timberlake
These Are My People	Rodney Atkins
Good Directions	Billy Currington
Johnny Cash	Jason Aldean
A Different World	Bucky Covington
We Takin' Over	DJ Khaled Featuring T.I., Akon, Rick Ross, Fat Joe, Lil' Wayne & Baby
You Know What It Is	T.I. Featuring Wyclef Jean
Lucky Man	Montgomery Gentry
Wrapped	George Strait
Find Out Who Your Friends Are	Tracy Lawrence
Startin' With Me	Jake Owen
Anonymous	Bobby Valentino Featuring Timbaland
Forever	Papa Roach
Misery Business	Paramore
Before It's Too Late (Sam And Mikaela's Theme)	Goo Goo Dolls
Easy	Paula DeAnda Featuring Bow Wow
I Wonder	Kellie Pickler
Cupid Shuffle	Cupid
Beautiful Liar	Beyonce & Shakira
Little Wonders	Rob Thomas
Outta My System	Bow Wow Featuring T-Pain & Johnta Austin
Tough	Craig Morgan
Moments	Emerson Drive
Everyday America	Sugarland
Until The End Of Time	Justin Timberlake Duet With Beyonce
Bubbly	Colbie Caillat
Guys Like Me	Eric Church
Never Too Late	Three Days Grace
