Big Girls Don't Cry	Fergie
Crank That (Soulja Boy)	Soulja Boy Tell'em
Stronger	Kanye West
The Way I Are	Timbaland Featuring Keri Hilson
Beautiful Girls	Sean Kingston
Hey There Delilah	Plain White T's
Bartender	T-Pain Featuring Akon
Make Me Better	Fabolous Featuring Ne-Yo
Shawty	Plies Featuring T-Pain
Umbrella	Rihanna Featuring Jay-Z
Rockstar	Nickelback
Let It Go	Keyshia Cole Featuring Missy Elliott & Lil Kim
Wait For You	Elliott Yamin
A Bay Bay	Hurricane Chris
Bed	J. Holiday
Who Knew	P!nk
Me Love	Sean Kingston
S.O.S.	Jonas Brothers
Buy U A Drank (Shawty Snappin')	T-Pain Featuring Yung Joc
Sorry, Blame It On Me	Akon
Ayo Technology	50 Cent Featuring Justin Timberlake & Timbaland
Shut Up And Drive	Rihanna
LoveStoned	Justin Timberlake
When You're Gone	Avril Lavigne
The Great Escape	Boys Like Girls
Home	Daughtry
Party Like A Rockstar	Shop Boyz
Makes Me Wonder	Maroon 5
First Time	Lifehouse
Before He Cheats	Carrie Underwood
You Are The Music In Me	Zac Efron & Vanessa Anne Hudgens
I Got It From My Mama	will.i.am
Sexy Lady	Yung Berg Featuring Junior
Gotta Go My Own Way	Zac Efron & Vanessa Anne Hudgens
The Sweet Escape	Gwen Stefani Featuring Akon
Do You	Ne-Yo
You Know What It Is	T.I. Featuring Wyclef Jean
Thnks Fr Th Mmrs	Fall Out Boy
What I've Done	Linkin Park
Whine Up	Kat DeLuna Featuring Elephant Man
Potential Breakup Song	Aly & AJ
Cyclone	Baby Bash Featuring T-Pain
Never Wanted Nothing More	Kenny Chesney
When I See U	Fantasia
These Are My People	Rodney Atkins
Bet On It	Zac Efron
Summer Love	Justin Timberlake
If You're Reading This	Tim McGraw
Same Girl	R. Kelly Duet With Usher
Teardrops On My Guitar	Taylor Swift
Can't Leave 'Em Alone	Ciara Featuring 50 Cent
What Time Is It	High School Musical 2 Cast
Because Of You	Reba McEntire Duet With Kelly Clarkson
Paralyzer	Finger Eleven
Big Things Poppin' (Do It)	T.I.
teachme	Musiq Soulchild
Misery Business	Paramore
Online	Brad Paisley
Bubbly	Colbie Caillat
Hold On	Jonas Brothers
Rehab	Amy Winehouse
Over You	Daughtry
Wake Up Call	Maroon 5
Everything	Michael Buble
Everyday	Zac Efron & Vanessa Anne Hudgens
Like This	Mims
Clothes Off!!	Gym Class Heroes
Love Me If You Can	Toby Keith
Take Me There	Rascal Flatts
I Don't Dance	Corbin Bleu & Lucas Grabeel
Proud Of The House We Built	Brooks & Dunn
All My Friends Say	Luke Bryan
Lean Like A Cholo	Down A.K.A. Kilo
Int'l Players Anthem (I Choose You)	UGK Featuring OutKast
Easy	Paula DeAnda Featuring Bow Wow
Fabulous	Ashley Tisdale & Lucas Grabeel
Until The End Of Time	Justin Timberlake Duet With Beyonce
Bleed It Out	Linkin Park
Can't Tell Me Nothing	Kanye West
Everyday America	Sugarland
I Need You	Tim McGraw With Faith Hill
The Pretender	Foo Fighters
Free And Easy (Down The Road I Go)	Dierks Bentley
How Do I Breathe	Mario
I Get Money	50 Cent
Hood Figga	Gorilla Zoe
Teenagers	My Chemical Romance
A Different World	Bucky Covington
Cupid Shuffle	Cupid
4 In The Morning	Gwen Stefani
Wipe Me Down	Lil Boosie Featuring Foxx & Webbie
I Told You So	Keith Urban
So Small	Carrie Underwood
Do You Know? (The Ping Pong Song)/Dimelo	Enrique Iglesias
Tough	Craig Morgan
Apologize	Timbaland Featuring OneRepublic
(You Want To) Make A Memory	Bon Jovi
All For One	High School Musical 2 Cast
Tambourine	Eve
Never Too Late	Three Days Grace
