Crank That (Soulja Boy)	Soulja Boy Tell'em
Stronger	Kanye West
Apologize	Timbaland Featuring OneRepublic
No One	Alicia Keys
Bubbly	Colbie Caillat
Gimme More	Britney Spears
The Way I Are	Timbaland Featuring Keri Hilson
Bed	J. Holiday
Big Girls Don't Cry	Fergie
Good Life	Kanye West Featuring T-Pain
Cyclone	Baby Bash Featuring T-Pain
Ayo Technology	50 Cent Featuring Justin Timberlake & Timbaland
Rockstar	Nickelback
Who Knew	P!nk
Hate That I Love You	Rihanna Featuring Ne-Yo
Let It Go	Keyshia Cole Featuring Missy Elliott & Lil Kim
How Far We've Come	matchbox twenty
Shawty	Plies Featuring T-Pain
Wake Up Call	Maroon 5
Hey There Delilah	Plain White T's
LoveStoned	Justin Timberlake
Kiss Kiss	Chris Brown Featuring T-Pain
Over You	Daughtry
Until The End Of Time	Justin Timberlake Duet With Beyonce
Wait For You	Elliott Yamin
Paralyzer	Finger Eleven
Baby Don't Go	Fabolous Featuring Jermaine Dupri
Bartender	T-Pain Featuring Akon
Don't Blink	Kenny Chesney
Umbrella	Rihanna Featuring Jay-Z
Do It Well	Jennifer Lopez
The Great Escape	Boys Like Girls
Shawty Is A 10	The-Dream
Take Me There	Rascal Flatts
Duffle Bag Boy	Playaz Circle Featuring Lil Wayne
So Small	Carrie Underwood
First Time	Lifehouse
Beautiful Girls	Sean Kingston
Home	Daughtry
I'm So Hood	DJ Khaled Featuring T-Pain, Trick Daddy, Rick Ross & Plies
Hood Figga	Gorilla Zoe
Before He Cheats	Carrie Underwood
Buy U A Drank (Shawty Snappin')	T-Pain Featuring Yung Joc
When You're Gone	Avril Lavigne
Thnks Fr Th Mmrs	Fall Out Boy
If You're Reading This	Tim McGraw
Make Me Better	Fabolous Featuring Ne-Yo
The Pretender	Foo Fighters
Online	Brad Paisley
Love Me If You Can	Toby Keith
1234	Feist
Me Love	Sean Kingston
I Get Money	50 Cent
The Way I Am	Ingrid Michaelson
Tattoo	Jordin Sparks
Our Song	Taylor Swift
You Know What It Is	T.I. Featuring Wyclef Jean
Soulja Girl	Soulja Boy Tell'em Featuring I-15
Free And Easy (Down The Road I Go)	Dierks Bentley
Can't Help But Wait	Trey Songz
A Bay Bay	Hurricane Chris
I Don't Wanna Be In Love (Dance Floor Anthem)	Good Charlotte
My Drink N' My 2 Step	Cassidy Featuring Swizz Beatz
Bleed It Out	Linkin Park
Proud Of The House We Built	Brooks & Dunn
Sorry, Blame It On Me	Akon
Misery Business	Paramore
More Than A Memory	Garth Brooks
Livin' Our Love Song	Jason Michael Carroll
Fall	Clay Walker
Freaky Gurl	Gucci Mane
Shut Up And Drive	Rihanna
Whine Up	Kat DeLuna Featuring Elephant Man
As If	Sara Evans
Firecracker	Josh Turner
Teenagers	My Chemical Romance
How 'Bout Them Cowgirls	George Strait
Sweetest Girl (Dollar Bill)	Wyclef Jean Featuring Akon, Lil Wayne & Niia
S.O.S.	Jonas Brothers
Into The Night	Santana Featuring Chad Kroeger
Never Too Late	Three Days Grace
Shoulda Let You Go	Keyshia Cole Introducing Amina
Do You	Ne-Yo
Hypnotized	Plies Featuring Akon
Can't Tell Me Nothing	Kanye West
All My Friends Say	Luke Bryan
Nothin' Better To Do	LeAnn Rimes
Blue Magic	JAY-Z
Stay	Sugarland
Never Wanted Nothing More	Kenny Chesney
Clumsy	Fergie
Fake It	Seether
These Are My People	Rodney Atkins
Can't Leave 'Em Alone	Ciara Featuring 50 Cent
Pictures Of You	The Last Goodnight
Ready, Set, Don't Go	Billy Ray Cyrus With Miley Cyrus
Potential Breakup Song	Aly & AJ
Famous In A Small Town	Miranda Lambert
Everybody	Keith Urban
What Do Ya Think About That	Montgomery Gentry
