Low	Flo Rida Featuring T-Pain
With You	Chris Brown
Don't Stop The Music	Rihanna
Love Song	Sara Bareilles
No One	Alicia Keys
Apologize	Timbaland Featuring OneRepublic
Sensual Seduction	Snoop Dogg
Take You There	Sean Kingston
Independent	Webbie Featuring Lil' Phat & Lil' Boosie
Sorry	Buckcherry
See You Again	Miley Cyrus
Superstar	Lupe Fiasco Featuring Matthew Santos
No Air	Jordin Sparks Duet With Chris Brown
Like You'll Never See Me Again	Alicia Keys
Shadow Of The Day	Linkin Park
Teardrops On My Guitar	Taylor Swift
Clumsy	Fergie
Sexy Can I	Ray J & Yung Berg
Suffocate	J. Holiday
Tattoo	Jordin Sparks
Bubbly	Colbie Caillat
Paralyzer	Finger Eleven
Sweetest Girl (Dollar Bill)	Wyclef Jean Featuring Akon, Lil Wayne & Niia
I Remember	Keyshia Cole
When You Look Me In The Eyes	Jonas Brothers
Stop And Stare	OneRepublic
Just Fine	Mary J. Blige
Elevator	Flo Rida Featuring Timbaland
Kiss Kiss	Chris Brown Featuring T-Pain
All-American Girl	Carrie Underwood
Hypnotized	Plies Featuring Akon
Love Like This	Natasha Bedingfield Featuring Sean Kingston
Can't Help But Wait	Trey Songz
Touch My Body	Mariah Carey
Our Song	Taylor Swift
Falsetto	The-Dream
Crying Out For Me	Mario
Flashing Lights	Kanye West Featuring Dwele
Piece Of Me	Britney Spears
Into The Night	Santana Featuring Chad Kroeger
Big Girls Don't Cry	Fergie
Dey Know	Shawty Lo
Ready, Set, Don't Go	Billy Ray Cyrus With Miley Cyrus
I Won't Tell	Fat Joe Featuring J. Holiday
Cleaning This Gun (Come On In Boy)	Rodney Atkins
Calabria 2008	Enur Featuring Natasja
Feels Like Tonight	Daughtry
Hate That I Love You	Rihanna Featuring Ne-Yo
New Soul	Yael Naim
Watching Airplanes	Gary Allan
Love In This Club	Usher Featuring Young Jeezy
Letter To Me	Brad Paisley
Feedback	Janet
I Saw God Today	George Strait
Shiftwork	Kenny Chesney Duet With George Strait
Small Town Southern Man	Alan Jackson
Won't Go Home Without You	Maroon 5
What Hurts The Most	Cascada
The Anthem	Pitbull Featuring Lil Jon
YAHHH!	Soulja Boy Tell'em Featuring Arab
Stealing Cinderella	Chuck Wicks
Bleeding Love	Leona Lewis
Ching-A-Ling	Missy Elliott
Pop Bottles	Birdman Featuring Lil Wayne
What Kinda Gone	Chris Cagle
Killa	Cherish Featuring Yung Joc
International Harvester	Craig Morgan
Whatever It Takes	Lifehouse
Hero/Heroine	Boys Like Girls
The Way I Am	Ingrid Michaelson
What Is It	Baby Bash Featuring Sean Kingston
Stay	Sugarland
You're Gonna Miss This	Trace Adkins
crushcrushcrush	Paramore
Say	John Mayer
Umma Do Me	Rocko
Winner At A Losing Game	Rascal Flatts
Laughed Until We Cried	Jason Aldean
Realize	Colbie Caillat
Dance Like There's No Tomorrow	Paula Abdul & Randy Jackson
Never	Jaheim
Like Whoa	Aly & AJ
Picture To Burn	Taylor Swift
She Got It	2 Pistols Featuring T-Pain & Tay Dizm
Get Buck In Here	DJ Felli Fel Featuring Diddy, Akon, Ludacris & Lil Jon
God Must Be Busy	Brooks & Dunn
Psycho	Puddle Of Mudd
The Boss	Rick Ross Featuring T-Pain
Nine In The Afternoon	Panic! At The Disco
If I Had Eyes	Jack Johnson
Long Road To Ruin	Foo Fighters
Shawty Get Loose	Lil Mama Featuring Chris Brown & T-Pain
Just Got Started Lovin' You	James Otto
It's Not My Time	3 Doors Down
Shake Your Pom Pom	Missy Elliott
It's Good To Be Us	Bucky Covington
Love Is A Beautiful Thing	Phil Vassar
Love Is Free	Sheryl Crow
Te Quiero	Flex
Rock Star	Hannah Montana
