Bleeding Love	Leona Lewis
Lollipop	Lil Wayne Featuring Static Major
No Air	Jordin Sparks Duet With Chris Brown
Love In This Club	Usher Featuring Young Jeezy
Sexy Can I	Ray J & Yung Berg
4 Minutes	Madonna Featuring Justin Timberlake & Timbaland
Touch My Body	Mariah Carey
Pocketful Of Sunshine	Natasha Bedingfield
Love Song	Sara Bareilles
Leavin'	Jesse McCartney
Damaged	Danity Kane
Low	Flo Rida Featuring T-Pain
Say	John Mayer
See You Again	Miley Cyrus
Forever	Chris Brown
With You	Chris Brown
Stop And Stare	OneRepublic
Don't Stop The Music	Rihanna
Bust It Baby Part 2	Plies Featuring Ne-Yo
Realize	Colbie Caillat
What You Got	Colby O'Donis Featuring Akon
The Boss	Rick Ross Featuring T-Pain
Sorry	Buckcherry
Apologize	Timbaland Featuring OneRepublic
She Got It	2 Pistols Featuring T-Pain & Tay Dizm
No One	Alicia Keys
Just Got Started Lovin' You	James Otto
Picture To Burn	Taylor Swift
Our Song	Taylor Swift
It's Not My Time	3 Doors Down
A Milli	Lil Wayne
You're Gonna Miss This	Trace Adkins
Whatever It Takes	Lifehouse
In Love With A Girl	Gavin DeGraw
Feels Like Tonight	Daughtry
Shake It	Metro Station
The Way That I Love You	Ashanti
Bye Bye	Mariah Carey
Independent	Webbie Featuring Lil' Phat & Lil' Boosie
I'm Still A Guy	Brad Paisley
Bubbly	Colbie Caillat
Paralyzer	Finger Eleven
Elevator	Flo Rida Featuring Timbaland
I Saw God Today	George Strait
Break The Ice	Britney Spears
Party People	Nelly Featuring Fergie
All Around Me	Flyleaf
Love Is A Beautiful Thing	Phil Vassar
Teardrops On My Guitar	Taylor Swift
Last Name	Carrie Underwood
Every Day	Rascal Flatts
Killa	Cherish Featuring Yung Joc
Take A Bow	Rihanna
Closer	Ne-Yo
Love Don't Live Here	Lady Antebellum
Better As A Memory	Kenny Chesney
Give It 2 Me	Madonna
Take You Down	Chris Brown
Love In This Club Part II	Usher Featuring Beyonce & Lil Wayne
All-American Girl	Carrie Underwood
Mercy	Duffy
Hollywood's Not America	Ferras
What Kinda Gone	Chris Cagle
Handlebars	Flobots
We Made It	Busta Rhymes Featuring Linkin Park
Home	Blake Shelton
Psycho	Puddle Of Mudd
Nine In The Afternoon	Panic! At The Disco
Last Time	Trey Songz
Shawty Get Loose	Lil Mama Featuring Chris Brown & T-Pain
American Boy	Estelle Featuring Kanye West
New Soul	Yael Naim
I'm Yours	Jason Mraz
When You Look Me In The Eyes	Jonas Brothers
Get Silly	V.I.C.
I Luv Your Girl	The-Dream
Customer	Raheem DeVaughn
Boyfriend/Girlfriend	C-Side Featuring Keyshia Cole
Back When I Knew It All	Montgomery Gentry
Dey Know	Shawty Lo
Falsetto	The-Dream
She's A Hottie	Toby Keith
Heaven Sent	Keyshia Cole
I Will Possess Your Heart	Death Cab For Cutie
Trying To Stop Your Leaving	Dierks Bentley
Small Town Southern Man	Alan Jackson
The Anthem	Pitbull Featuring Lil Jon
Sweet And Low	Augustana
Inside The Fire	Disturbed
Pork And Beans	Weezer
Stronger Woman	Jewel
There's Nothin	Sean Kingston Featuring Elan & Juelz Santana
Shut Up And Let Me Go	The Ting Tings
Laughed Until We Cried	Jason Aldean
Beat It	Fall Out Boy Featuring John Mayer
Dreams Collide	Colbie Caillat
Rise Above This	Seether
Te Quiero	Flex
We Weren't Crazy	Josh Gracin
Gunpowder And Lead	Miranda Lambert
