I Kissed A Girl	Katy Perry
Take A Bow	Rihanna
Lollipop	Lil Wayne Featuring Static Major
Bleeding Love	Leona Lewis
Viva La Vida	Coldplay
Forever	Chris Brown
Pocketful Of Sunshine	Natasha Bedingfield
Burnin' Up	Jonas Brothers
Bust It Baby Part 2	Plies Featuring Ne-Yo
7 Things	Miley Cyrus
A Milli	Lil Wayne
When I Grow Up	The Pussycat Dolls
Leavin'	Jesse McCartney
Shake It	Metro Station
Disturbia	Rihanna
Dangerous	Kardinal Offishall Featuring Akon
Damaged	Danity Kane
All I Want To Do	Sugarland
No Air	Jordin Sparks Duet With Chris Brown
What You Got	Colby O'Donis Featuring Akon
Lolli Lolli (Pop That Body)	Three 6 Mafia Featuring Project Pat, Young D & Superpower
I Luv Your Girl	The-Dream
Love In This Club	Usher Featuring Young Jeezy
Get Like Me	David Banner Featuring Chris Brown
It's Not My Time	3 Doors Down
Sexy Can I	Ray J & Yung Berg
Closer	Ne-Yo
Realize	Colbie Caillat
This Is Me	Demi Lovato & Joe Jonas
Get Silly	V.I.C.
4 Minutes	Madonna Featuring Justin Timberlake & Timbaland
In Love With A Girl	Gavin DeGraw
Love Song	Sara Bareilles
Say	John Mayer
Got Money	Lil Wayne Featuring T-Pain
Summertime	New Kids On The Block
Heaven Sent	Keyshia Cole
Out Here Grindin	DJ Khaled Feat. Akon, Plies, Young Jeezy, Rick Ross, Ace Hood, Trick Daddy & Lil' Boosie
Low	Flo Rida Featuring T-Pain
American Boy	Estelle Featuring Kanye West
Home	Blake Shelton
Put On	Young Jeezy Featuring Kanye West
Mercy	Duffy
I'm Yours	Jason Mraz
Good Time	Alan Jackson
Should've Said No	Taylor Swift
Take You Down	Chris Brown
Stop And Stare	OneRepublic
Last Name	Carrie Underwood
Handlebars	Flobots
Free Fallin'	John Mayer
The Time Of My Life	David Cook
In The Ayer	Flo Rida Featuring will.i.am
Lookin Boy	Hot Stylz Featuring Yung Joc
Better As A Memory	Kenny Chesney
Back When I Knew It All	Montgomery Gentry
You Look Good In My Shirt	Keith Urban
Teenage Love Affair	Alicia Keys
All Around Me	Flyleaf
If I Never See Your Face Again	Maroon 5 Featuring Rihanna
Gunpowder And Lead	Miranda Lambert
Fall For You	Secondhand Serenade
Play My Music	Jonas Brothers
I'm Still A Guy	Brad Paisley
Girls Around The World	Lloyd Featuring Lil Wayne
Put A Girl In It	Brooks & Dunn
Life In A Northern Town	Sugarland Featuring Little Big Town & Jake Owen
Love In This Club Part II	Usher Featuring Beyonce & Lil Wayne
Just Got Started Lovin' You	James Otto
One Step At A Time	Jordin Sparks
Pork And Beans	Weezer
Moving Mountains	Usher
Trying To Stop Your Leaving	Dierks Bentley
Come On Over	Jessica Simpson
Violet Hill	Coldplay
Here I Am	Rick Ross Featuring Nelly & Avery Storm
Game's Pain	The Game Featuring Keyshia Cole
I Still Miss You	Keith Anderson
Bartender Song	Rehab
All Summer Long	Kid Rock
That's What You Get	Paramore
Gotta Find You	Joe Jonas
Love Remains The Same	Gavin Rossdale
Bye Bye	Mariah Carey
I Saw God Today	George Strait
Inside The Fire	Disturbed
Thunder	Boys Like Girls
Sneakernight	Vanessa Hudgens
Never Would Have Made It	Marvin Sapp
Every Day	Rascal Flatts
Magic	Robin Thicke
We Weren't Crazy	Josh Gracin
We Rock	Cast Of Camp Rock
Addicted	Saving Abel
Mr. Carter	Lil Wayne Featuring Jay-Z
That Song In My Head	Julianne Hough
Rise Above This	Seether
Holler Back	The Lost Trailers
The Way That I Love You	Ashanti
Homecoming	Kanye West Featuring Chris Martin
