Whatever You Like	T.I.
Disturbia	Rihanna
So What	P!nk
Forever	Chris Brown
Paper Planes	M.I.A.
Dangerous	Kardinal Offishall Featuring Akon
Viva La Vida	Coldplay
Closer	Ne-Yo
I'm Yours	Jason Mraz
I Kissed A Girl	Katy Perry
When I Grow Up	The Pussycat Dolls
Put On	Young Jeezy Featuring Kanye West
Can't Believe It	T-Pain Featuring Lil Wayne
Take A Bow	Rihanna
Leavin'	Jesse McCartney
Got Money	Lil Wayne Featuring T-Pain
One Step At A Time	Jordin Sparks
Get Like Me	David Banner Featuring Chris Brown
A Milli	Lil Wayne
Hot N Cold	Katy Perry
In The Ayer	Flo Rida Featuring will.i.am
Better In Time	Leona Lewis
All Summer Long	Kid Rock
Fall For You	Secondhand Serenade
Bleeding Love	Leona Lewis
My Life	The Game Featuring Lil Wayne
Shake It	Metro Station
Lolli Lolli (Pop That Body)	Three 6 Mafia Featuring Project Pat, Young D & Superpower
Burnin' Up	Jonas Brothers
Pocketful Of Sunshine	Natasha Bedingfield
Crush	David Archuleta
Miss Independent	Ne-Yo
All Summer Long	Hit Masters
The Business	Yung Berg Featuring Casha
Lollipop	Lil Wayne Featuring Static Major
The Time Of My Life	David Cook
Love Remains The Same	Gavin Rossdale
I Luv Your Girl	The-Dream
Do You Believe Me Now	Jimmy Wayne
Don't Think I Don't Think About It	Darius Rucker
Need U Bad	Jazmine Sullivan
The Day That Never Comes	Metallica
It's Not My Time	3 Doors Down
Waitin' On A Woman	Brad Paisley
You Look Good In My Shirt	Keith Urban
Everybody Wants To Go To Heaven	Kenny Chesney With The Wailers
Here I Am	Rick Ross Featuring Nelly & Avery Storm
Just A Dream	Carrie Underwood
I Still Miss You	Keith Anderson
No Air	Jordin Sparks Duet With Chris Brown
Should've Said No	Taylor Swift
American Boy	Studio All-Stars
Mrs. Officer	Lil Wayne Featuring Bobby Valentino & Kidd Kidd
She Never Cried In Front Of Me	Toby Keith
Baby	LL Cool J Featuring The-Dream
Troubadour	George Strait
American Boy	Estelle Featuring Kanye West
All I Want To Do	Sugarland
What Them Girls Like	Ludacris Co-Starring Chris Brown & Sean Garrett
Spotlight	Jennifer Hudson
Heaven Sent	Keyshia Cole
Swing Ya Rag	T.I. Featuring Swizz Beatz
Johnny & June	Heidi Newfield
Body On Me	Nelly Featuring Ashanti & Akon
Swing	Savage Featuring Soulja Boy Tell'em
Out Here Grindin	DJ Khaled Feat. Akon, Plies, Young Jeezy, Rick Ross, Ace Hood, Trick Daddy & Lil' Boosie
My Apocalypse	Metallica
Holler Back	The Lost Trailers
Shattered (Turn The Car Around)	O.A.R.
Addicted	Saving Abel
That's What You Get	Paramore
Get Back	Demi Lovato
Magic	Robin Thicke
Bartender Song	Rehab
Check Yes Juliet (Run Baby Run)	WE the Kings
Corona And Lime	Shwayze
Good Time	Alan Jackson
Just Stand Up!	Artists Stand Up To Cancer
Just Dance	Lady Gaga Featuring Colby O'Donis
Please Excuse My Hands	Plies Featuring Jamie Foxx & The-Dream
7 Things	Miley Cyrus
Thunder	Boys Like Girls
Energy	Keri Hilson
Cry For You	September
Let It Rock	Kevin Rudolf Featuring Lil Wayne
What About Now	Daughtry
Shut Up And Let Me Go	The Ting Tings
If I Never See Your Face Again	Maroon 5 Featuring Rihanna
Come On Get Higher	Matt Nathanson
Take You Down	Chris Brown
I'll Be Lovin' U Long Time	Mariah Carey
So Fly	Slim Featuring Yung Joc
Cookie Jar	Gym Class Heroes Featuring The-Dream
Gunpowder And Lead	Miranda Lambert
Mr. Carter	Lil Wayne Featuring Jay-Z
Believe	Staind
Mercy	Duffy
Never Would Have Made It	Marvin Sapp
Free Fallin'	John Mayer
Change	Taylor Swift
