Live Your Life	T.I. Featuring Rihanna
Single Ladies (Put A Ring On It)	Beyonce
If I Were A Boy	Beyonce
Whatever You Like	T.I.
Hot N Cold	Katy Perry
Love Lockdown	Kanye West
Just Dance	Lady Gaga Featuring Colby O'Donis
So What	P!nk
Miss Independent	Ne-Yo
Right Now (Na Na Na)	Akon
Let It Rock	Kevin Rudolf Featuring Lil Wayne
Womanizer	Britney Spears
I'm Yours	Jason Mraz
Love Story	Taylor Swift
Can't Believe It	T-Pain Featuring Lil Wayne
Mrs. Officer	Lil Wayne Featuring Bobby Valentino & Kidd Kidd
Disturbia	Rihanna
Better In Time	Leona Lewis
Gotta Be Somebody	Nickelback
Chicken Fried	Zac Brown Band
Heartless	Kanye West
Addicted	Saving Abel
Crush	David Archuleta
Green Light	John Legend Featuring Andre 3000
Spotlight	Jennifer Hudson
Keeps Gettin' Better	Christina Aguilera
Viva La Vida	Coldplay
You Found Me	The Fray
Closer	Ne-Yo
Chopped 'N' Skrewed	T-Pain Featuring Ludacris
Bust Your Windows	Jazmine Sullivan
Swagga Like Us	Jay-Z & T.I. Featuring Kanye West & Lil Wayne
Pop Champagne	Jim Jones & Ron Browz Featuring Juelz Santana
Rehab	Rihanna
Fall For You	Secondhand Serenade
Just A Dream	Carrie Underwood
Shattered (Turn The Car Around)	O.A.R.
One More Drink	Ludacris Co-Starring T-Pain
Paper Planes	M.I.A.
Forever	Chris Brown
Roll With Me	Montgomery Gentry
Love Remains The Same	Gavin Rossdale
T-Shirt	Shontelle
I'd Come For You	Nickelback
Decode	Paramore
My Life	The Game Featuring Lil Wayne
Let It Go	Tim McGraw
Already Gone	Sugarland
Got Money	Lil Wayne Featuring T-Pain
Krazy	Pitbull Featuring Lil Jon
Swing	Savage Featuring Soulja Boy Tell'em
Don't Think I Don't Think About It	Darius Rucker
Gives You Hell	The All-American Rejects
Right Here (Departed)	Brandy
Here	Rascal Flatts
White Horse	Taylor Swift
If Today Was Your Last Day	Nickelback
Get Up	50 Cent
Start A Band	Brad Paisley Duet With Keith Urban
Sweet Thing	Keith Urban
Trading Places	Usher
She Wouldn't Be Gone	Blake Shelton
Human	The Killers
Need U Bad	Jazmine Sullivan
Sex On Fire	Kings Of Leon
Everybody Wants To Go To Heaven	Kenny Chesney With The Wailers
In Color	Jamey Johnson
Never Gonna Be Alone	Nickelback
You're Gonna Go Far, Kid	The Offspring
I Don't Care	Fall Out Boy
Feel That Fire	Dierks Bentley
Lookin' For A Good Time	Lady Antebellum
So Fly	Slim Featuring Yung Joc
Come On Get Higher	Matt Nathanson
Chinese Democracy	Guns N' Roses
Don't	Billy Currington
Country Boy	Alan Jackson
Love Remembers	Craig Morgan
Cowgirls Don't Cry	Brooks & Dunn Featuring Reba McEntire
Waitin' On A Woman	Brad Paisley
What About Now	Daughtry
Another Way to Die	Jack White & Alicia Keys
Playa Cardz Right	Keyshia Cole Featuring 2Pac
I'm So Paid	Akon Featuring Lil Wayne & Young Jeezy
She Never Cried In Front Of Me	Toby Keith
Do You Believe Me Now	Jimmy Wayne
I Don't Care	Apocalyptica Featuring Adam Gontier
I'll Walk	Bucky Covington
God Love Her	Toby Keith
Ride	Ace Hood Featuring Trey Songz
Light On	David Cook
Put It On Ya	Plies Featuring Chris J
All Summer Long	The Rock Heroes
IfULeave	Musiq Soulchild Featuring Mary J. Blige
Broken	Lifehouse
Did You Wrong	Pleasure P
No Me Doy Por Vencido	Luis Fonsi
Lovebug	Jonas Brothers
What Them Girls Like	Ludacris Co-Starring Chris Brown & Sean Garrett
Anything Goes	Randy Houser
